Energy,Value,Error,Angle
0.011927,3.72977746564088e-09,0.018,24.9 deg
0.0125385,2.959768941043182e-08,0.0551,24.9 deg
0.0131815,3.338904134003686e-08,0.0542,24.9 deg
0.013857,3.658122091626977e-08,0.0493,24.9 deg
0.0145675,4.026158698626562e-08,0.0489,24.9 deg
0.0153145,4.7397896055123685e-08,0.0479,24.9 deg
0.0160995,4.995686616775099e-08,0.0422,24.9 deg
0.016925,6.061103213774829e-08,0.0408,24.9 deg
0.017793,6.888867185697883e-08,0.0361,24.9 deg
0.0187055,7.889411317516564e-08,0.0345,24.9 deg
0.0196645,1.044798717916432e-07,0.0292,24.9 deg
0.0206725,1.1858189366684751e-07,0.0268,24.9 deg
0.021732,1.283600570875302e-07,0.0254,24.9 deg
0.0228465,2.8509898294025553e-07,0.0166,24.9 deg
0.024018,5.783130381315837e-07,0.0112,24.9 deg
0.025249,1.8033350712322283e-06,0.0069,24.9 deg
0.0265435,4.031253382453301e-07,0.0148,24.9 deg
0.0279045,4.582998647703678e-09,0.1442,24.9 deg
0.0293355,1.4436451277632311e-09,0.2562,24.9 deg
0.0308395,5.6909334268079e-09,0.133,24.9 deg
0.0324205,1.1881802542126476e-08,0.0868,24.9 deg
0.034083,2.11829007680271e-08,0.0719,24.9 deg
0.0358305,2.485302235827064e-08,0.0632,24.9 deg
0.0376675,3.4701071664272937e-08,0.0533,24.9 deg
0.039599,4.424850281112488e-08,0.0474,24.9 deg
0.0416295,5.431736712702885e-08,0.0439,24.9 deg
0.0437635,5.778630206291789e-08,0.0401,24.9 deg
0.046007,7.54573268776166e-08,0.0364,24.9 deg
0.048366,7.664919055288862e-08,0.0351,24.9 deg
0.050846,1.0105816925937136e-07,0.0319,24.9 deg
0.053453,6.095980718032134e-08,0.0402,24.9 deg
0.0561935,7.495690546450503e-08,0.0372,24.9 deg
0.0590745,1.1069543587965806e-07,0.03,24.9 deg
0.0621035,1.1994103030952072e-07,0.029,24.9 deg
0.0652875,1.4789038887433236e-07,0.0267,24.9 deg
0.0686345,2.3941523435743904e-07,0.0204,24.9 deg
0.0721535,3.7409248107907755e-07,0.0166,24.9 deg
0.075853,1.2959400894124143e-07,0.0249,24.9 deg
0.079742,1.7630373935591403e-07,0.0243,24.9 deg
0.0838305,1.0327660868862913e-06,0.0092,24.9 deg
0.088129,3.0315521790150404e-08,0.0562,24.9 deg
0.0926475,8.045468682189653e-08,0.0371,24.9 deg
0.0973975,1.1873858673082364e-07,0.0296,24.9 deg
0.102391,1.4438278077321508e-07,0.027,24.9 deg
0.10764,2.0037001708131524e-07,0.0235,24.9 deg
0.11316,2.215518260531048e-07,0.022,24.9 deg
0.11896,3.026274772787735e-07,0.0185,24.9 deg
0.12506,4.382906001798818e-07,0.0155,24.9 deg
0.131475,7.155294635076061e-07,0.0108,24.9 deg
0.138215,1.9018267051727087e-06,0.0071,24.9 deg
0.1453,1.9845138707490472e-07,0.0186,24.9 deg
0.15275,1.1574270669003309e-07,0.0331,24.9 deg
