Energy,Value,Error
0.01 - 0.03,0.004749705558,0.0013241656197555374
0.03 - 0.06,0.0045865727505,0.0011390087729672164
0.06 - 0.1,0.01065527073,0.0008356859256066884
0.1 - 0.15,0.01847659788,0.0006851001795496102
0.15 - 0.2,0.019703152170000002,0.0006641456151920541
0.2 - 0.4,0.0886677597,0.00032930423539456115
0.4 - 0.5,0.0379682082,0.0005117470633320001
0.5 - 0.7,0.09152304525,0.0003733143216101527
0.7 - 1,0.0971233965,0.0003666572138042805
1 - 1.2,0.048561318,0.0004980640799491211
1.2 - 1.5,0.056860127999999996,0.00048341527137671153
1.5 - 2,0.0663156585,0.00046822027470118133
2 - 2.5,0.029095852499999998,0.0007858182425226262
2.5 - 3,0.024739240500000002,0.0009421981411680889
3 - 4,0.0281483865,0.0009717460098323547
4 - 7,0.03131665407,0.0011014427422101087
7 - 10,0.01726556715,0.0016490044626145531
10 - 20,0.43890562707615,0.0003392772543139421
