Energy,Value,Error
0.9,5.16391460530557e-06,9.393331269882772e-05
1.0,3.3208844813790207e-06,0.00013473752083510132
1.1,2.1537522436545618e-06,0.0001961090722197049
1.2,1.4720566084640553e-06,0.00022577935372715445
1.3,8.740956650611242e-07,0.00026837703016741195
1.4,5.671352104719122e-07,0.0003511840599320634
1.5,3.897854931338171e-07,0.00040384731502719003
1.6,3.096215807432467e-07,0.0004757720830105257
1.7,2.8053542243934436e-07,0.0005353228247801294
1.8,2.390844946853331e-07,0.0005505917473920825
1.9,2.0445250882342857e-07,0.0005802354839987187
2.0,1.8104444484755963e-07,0.0006294419567836196
2.1,1.5081099217598135e-07,0.0006643294175206984
2.2,1.2573639862660016e-07,0.0007215931676711761
2.3,1.1059239662180811e-07,0.0007991330908942121
2.4,9.57925495769445e-08,0.0008682292973377625
2.5,8.126184147904488e-08,0.0009517227237916994
2.6,6.971557917282506e-08,0.0010141679924853342
2.7,6.110968348067392e-08,0.0010734244053477477
2.8,5.369725027550949e-08,0.001144485859966524
2.9,4.64943922462911e-08,0.0012399934027559991
3.0,4.159145680347535e-08,0.001335044425665201
3.1,3.910361917011026e-08,0.0014262129439298003
3.2,3.5775640932911725e-08,0.0015068720338668516
3.3,3.060589408993274e-08,0.0016137568577088493
3.4,2.5202659616708345e-08,0.0017639069663733747
3.5,2.0869617276198457e-08,0.0019068190968455512
3.6,1.8254225362577242e-08,0.002022999271758046
3.7,1.6986806759287202e-08,0.0021866468926100054
3.8,1.5687235906715202e-08,0.0022984488352145475
3.9,1.4099871930211349e-08,0.002411312138830947
4.0,1.2816769333262316e-08,0.002538397346063118
4.1,1.1902796824905213e-08,0.0026660969490970216
4.2,1.1117484536627081e-08,0.0028040817608406456
4.3,1.0337782139344642e-08,0.002941170898273625
4.4,9.565520639926872e-09,0.003070846506405297
4.5,8.842809942693719e-09,0.0031837490432476503
4.6,8.171664166159117e-09,0.0033014704974402356
4.7,7.51936068586455e-09,0.003438570922835639
4.8,6.96552946731736e-09,0.0035511426948786075
4.9,6.684709243610567e-09,0.003691022958882371
5.0,6.557726675572466e-09,0.0039100160016794176
5.1,6.220348007640756e-09,0.004036839286699357
5.2,5.65785140085236e-09,0.004171058081725471
5.3,5.130026305190152e-09,0.0043736496860444654
5.4,4.735027282354097e-09,0.0045318640448550164
5.5,4.413722220973945e-09,0.00464533680325587
5.6,4.113947003897112e-09,0.004783601712282131
5.7,3.821573802437377e-09,0.004955227076355041
5.8,3.537905784632188e-09,0.005123213993906606
5.9,3.295077609696112e-09,0.005244222016090646
6.0,3.139052940677881e-09,0.005364805392783811
6.1,3.0448369564546713e-09,0.005561451004946591
6.2,2.9288764191662562e-09,0.005735994817188482
6.3,2.76880877990199e-09,0.0059369845807910986
6.4,2.6085002216888398e-09,0.0061614124446788205
6.5,2.472105129151058e-09,0.006327835618766824
6.6,2.351214496609595e-09,0.006472820918580446
6.7,2.235823995656108e-09,0.006646429249607999
6.8,2.121507443591335e-09,0.006804765297591293
6.9,2.00711165175838e-09,0.006931259683528121
7.0,1.8949057781548597e-09,0.007088027173555972
7.1,1.7891692258286994e-09,0.007291334578001697
7.2,1.6946596829359269e-09,0.0075123794118066274
7.3,1.6189454261036453e-09,0.007749288224927885
7.4,1.5647393939065253e-09,0.008014278571224026
7.5,1.5163993549007507e-09,0.008251086321215486
7.6,1.4505178658687789e-09,0.008379177757204122
7.7,1.363401978677529e-09,0.008531967022346158
7.8,1.2712419180124832e-09,0.00883348954635636
7.9,1.1889737459689713e-09,0.009125681217396313
8.0,1.1207380125466073e-09,0.009313907132232417
8.1,1.0654478781450375e-09,0.00950990853138271
8.2,1.0196549775698554e-09,0.009816251697855136
8.3,9.77988362640491e-10,0.010215888901759215
8.4,9.346946778448338e-10,0.010593933841277966
8.5,8.879176623787359e-10,0.010833175907058042
8.6,8.387716248592029e-10,0.010972317297579205
8.7,7.884295046129151e-10,0.011149586028142023
8.8,7.373353666314574e-10,0.01142449646041061
8.9,6.869786329705718e-10,0.01179585933678932
9.0,6.399143502811129e-10,0.012241665270399882
9.1,5.979056123522125e-10,0.012691107976657151
9.2,5.613343631411494e-10,0.01309136837615919
9.3,5.296287195621716e-10,0.013530701397124702
9.4,5.011045484204578e-10,0.014097498109129181
9.5,4.73111292661735e-10,0.014626272544100193
9.6,4.434720171792807e-10,0.014875144946868233
9.7,4.1254931937929526e-10,0.014859345240763332
9.8,3.8310937013372793e-10,0.014818897495634777
9.9,3.582206428242805e-10,0.01496651871337445
10.0,3.393095265436289e-10,0.015375241429369666
10.1,3.2515892858859375e-10,0.015986634079398657
10.2,3.1296854150655084e-10,0.01666667344329878
10.3,3.0028790548012704e-10,0.017299211513801323
10.4,2.862683807253902e-10,0.0178273905124363
10.5,2.715509776390146e-10,0.01829199359652804
10.6,2.5727058847895286e-10,0.018773351821893946
10.7,2.4431348090432523e-10,0.01929038072383307
10.8,2.329635444050553e-10,0.01990340263065879
10.9,2.229528531411759e-10,0.02073684700230349
11.0,2.1354769365331783e-10,0.021816488308350587
11.1,2.034287473550006e-10,0.023099918649569152
11.2,1.9063762303807187e-10,0.024644453740068142
11.3,1.7295441835935906e-10,0.02663830892841878
11.4,1.4890154644711599e-10,0.02927263717980583
11.5,1.1917921318398614e-10,0.03255117781802429
