Cells,Value,Error
Blanket_outboard_t3_1,0.521846,0.0002
Blanket_outboard_t3_2,0.384551,0.0002
Blanket_outboard_t3_3,0.384504,0.0002
Blanket_outboard_b2_1,0.380922,0.0002
Blanket_outboard_b2_2,0.283175,0.0002
Blanket_outboard_b2_3,0.2834,0.0002
Blanket_outboard_m2_1,0.633808,0.0002
Blanket_outboard_m2_2,0.6324,0.0002
Blanket_outboard_m3_1,0.609153,0.0002
Blanket_outboard_m3_2,0.60824,0.0002
Blanket_outboard_t4,0.329327,0.0002
Blanket_outboard_b1,0.329941,0.0002
Blanket_t1_1,0.148328,0.0003
Blanket_t1_2,0.148474,0.0003
Blanket_outboard_t2_1,0.183086,0.0003
Blanket_outboard_t2_2,0.147929,0.0003
Blanket_outboard_t2_3,0.147944,0.0003
Blanket_outboard_m1_1,0.170826,0.0003
Blanket_outboard_m1_2,0.170748,0.0003
Blanket_outboard_m4_1,0.171738,0.0003
Blanket_outboard_m4_2,0.1718,0.0003
Blanket_inboard_m_1,0.429199,0.0002
Blanket_inboard_m_2,0.26528,0.0002
Blanket_inboard_m_3,0.265397,0.0002
Blanket_inboard_b1_1,0.192149,0.0003
Blanket_inboard_b1_2,0.134731,0.0003
Blanket_inboard_b1_3,0.1348,0.0003
Blanket_inboard_t2_1,0.0578628,0.0005
Blanket_inboard_t2_2,0.0462616,0.0005
Blanket_inboard_t2_3,0.0462822,0.0005
Blanket_inboard_t4_1,0.183422,0.0003
Blanket_inboard_t4_2,0.127413,0.0003
Blanket_inboard_t4_3,0.127385,0.0003
Blanket_inboard_t3_1,0.101488,0.0004
Blanket_inboard_t3_2,0.0768447,0.0004
Blanket_inboard_t3_3,0.07684,0.0004
Blanket_inboard_b2_1,0.0717225,0.0004
Blanket_inboard_b2_2,0.0545507,0.0005
Blanket_inboard_b2_3,0.0545562,0.0005
Blanket_t1_3,0.017532,0.0007
