Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,1.07646e-11,0.0545
1.445e-06,2.60381e-11,0.035
1.855e-06,3.2501e-11,0.0313
2.382e-06,4.37084e-11,0.027
3.059e-06,5.60283e-11,0.0239
3.928e-06,6.68762e-11,0.0219
5.043e-06,8.84149e-11,0.019
6.476e-06,1.17019e-10,0.0165
8.315e-06,1.47463e-10,0.0147
1.068e-05,1.88098e-10,0.0131
1.371e-05,2.37858e-10,0.0116
1.76e-05,3.0659e-10,0.0102
2.26e-05,4.01931e-10,0.0089
2.902e-05,5.07075e-10,0.0079
3.727e-05,6.59566e-10,0.007
4.785e-05,8.4413e-10,0.0062
6.144e-05,1.0783e-09,0.0054
7.889e-05,1.38446e-09,0.0048
0.0001013,1.78828e-09,0.0042
0.0001301,2.29357e-09,0.0037
0.000167,2.93884e-09,0.0033
0.0002145,3.78146e-09,0.0029
0.0002754,4.85338e-09,0.0026
0.0003536,6.23284e-09,0.0023
0.000454,8.00852e-09,0.002
0.0005829,1.02909e-08,0.0018
0.0007485,1.32166e-08,0.0016
0.0009611,1.6897e-08,0.0014
0.001234,2.17393e-08,0.0012
0.001585,2.80223e-08,0.0011
0.002035,3.5866e-08,0.0009
0.002249,1.70783e-08,0.0014
0.002485,1.87927e-08,0.0013
0.002613,1.02172e-08,0.0018
0.002747,1.07083e-08,0.0017
0.003035,2.29728e-08,0.0012
0.003355,2.55496e-08,0.0011
0.003707,2.80478e-08,0.0011
0.004307,4.78514e-08,0.0008
0.005531,9.76302e-08,0.0006
0.007102,1.25126e-07,0.0005
0.009119,1.6074e-07,0.0004
0.01059,1.17158e-07,0.0005
0.01171,8.91944e-08,0.0006
0.01503,2.64545e-07,0.0003
0.0193,3.40226e-07,0.0003
0.02187,2.05002e-07,0.0004
0.02358,1.36258e-07,0.0005
0.02418,4.77784e-08,0.0008
0.02479,4.86955e-08,0.0008
0.02606,1.01121e-07,0.0006
0.027,7.48522e-08,0.0007
0.0285,1.1942e-07,0.0005
0.03183,2.65382e-07,0.0003
0.03431,1.97483e-07,0.0004
0.04087,5.22515e-07,0.0002
0.04631,4.33522e-07,0.0003
0.05248,4.91503e-07,0.0003
0.05656,3.24978e-07,0.0003
0.06738,8.61805e-07,0.0002
0.07202,3.69802e-07,0.0003
0.0795,5.95909e-07,0.0002
0.0825,2.38928e-07,0.0004
0.08652,3.20124e-07,0.0003
0.09804,9.16217e-07,0.0002
0.1111,2.53965e-07,0.0004
0.1168,5.05134e-08,0.0008
0.1228,5.33086e-08,0.0008
0.1291,5.59569e-08,0.0008
0.1357,5.85797e-08,0.0007
0.1426,6.06577e-08,0.0007
0.15,6.55423e-08,0.0007
0.1576,6.73224e-08,0.0007
0.1657,7.18261e-08,0.0007
0.1742,7.53356e-08,0.0007
0.1832,7.96655e-08,0.0006
0.1925,8.24797e-08,0.0006
0.2024,8.80229e-08,0.0006
0.2128,9.20088e-08,0.0006
0.2237,9.61402e-08,0.0006
0.2352,1.02318e-07,0.0006
0.2472,1.06843e-07,0.0005
0.2732,2.31034e-07,0.0004
0.2872,1.23654e-07,0.0005
0.2945,6.43926e-08,0.0007
0.2972,2.39617e-08,0.0012
0.2985,1.15087e-08,0.0017
0.302,3.104e-08,0.001
0.3337,2.80993e-07,0.0003
0.3688,3.11123e-07,0.0003
0.3877,1.67629e-07,0.0004
0.4076,1.76393e-07,0.0004
0.4505,3.8033e-07,0.0003
0.4979,4.19996e-07,0.0003
0.5234,2.25909e-07,0.0004
0.5502,2.37541e-07,0.0004
0.5784,2.49665e-07,0.0004
0.6081,2.62962e-07,0.0003
0.6393,2.7628e-07,0.0003
0.6721,2.90532e-07,0.0003
0.7065,3.04571e-07,0.0003
0.7427,3.20572e-07,0.0003
0.7808,3.37477e-07,0.0003
0.8209,3.54995e-07,0.0003
0.8629,3.71675e-07,0.0003
0.9072,3.9182e-07,0.0003
0.9617,4.8138e-07,0.0003
1.003,3.4067e-07,0.0003
1.108,9.35245e-08,0.0006
1.165,5.07689e-08,0.0008
1.225,5.34477e-08,0.0008
1.287,5.52791e-08,0.0008
1.353,5.87607e-08,0.0007
1.423,6.23538e-08,0.0007
1.496,6.49798e-08,0.0007
1.572,6.7632e-08,0.0007
1.653,7.20549e-08,0.0007
1.738,7.5658e-08,0.0006
1.827,7.91902e-08,0.0006
1.921,8.36792e-08,0.0006
2.019,8.70872e-08,0.0006
2.122,9.15778e-08,0.0006
2.231,9.68699e-08,0.0006
2.307,6.75097e-08,0.0007
2.346,3.45915e-08,0.001
2.365,1.68639e-08,0.0014
2.385,1.77649e-08,0.0013
2.466,7.19285e-08,0.0007
2.592,1.11836e-07,0.0005
2.725,1.1805e-07,0.0005
2.865,1.24231e-07,0.0005
3.012,1.30487e-07,0.0005
3.166,1.36536e-07,0.0005
3.329,1.44503e-07,0.0005
3.679,3.10053e-07,0.0003
4.066,3.42965e-07,0.0003
4.493,3.78034e-07,0.0003
4.724,2.04528e-07,0.0004
4.966,2.14135e-07,0.0004
5.22,2.24812e-07,0.0004
5.488,2.37107e-07,0.0004
5.77,2.49544e-07,0.0004
6.065,2.60755e-07,0.0003
6.376,2.75083e-07,0.0003
6.592,1.90828e-07,0.0004
6.703,9.81095e-08,0.0006
7.047,3.04158e-07,0.0003
7.408,3.18892e-07,0.0003
7.788,3.35638e-07,0.0003
8.187,3.52474e-07,0.0003
8.607,3.71083e-07,0.0003
9.048,3.89512e-07,0.0003
9.512,4.10093e-07,0.0003
10.0,4.3132e-07,0.0003
10.51,1.01371e-06,0.0002
11.05,1.07324e-06,0.0002
11.62,1.1326e-06,0.0002
12.21,1.17271e-06,0.0002
12.52,6.1598e-07,0.0002
12.84,6.36081e-07,0.0002
13.5,1.31161e-06,0.0002
13.84,6.75657e-07,0.0002
14.19,3.17891e-07,0.0003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
