Energy,Value,Error
1e-07,2.651194094226591e-13,0.1214
4.14e-07,3.120083861688677e-11,0.0271
5.316e-07,1.1539109795161605e-10,0.0358
6.826e-07,1.8493929917115553e-10,0.0292
8.764e-07,2.8516018415454234e-10,0.0254
1.125e-06,3.994354269155749e-10,0.0204
1.445e-06,5.932657030455579e-10,0.0181
1.855e-06,8.200127831420688e-10,0.0174
2.382e-06,1.1341469723833882e-09,0.0148
3.059e-06,1.5384957076078893e-09,0.0119
3.928e-06,2.2150089961111513e-09,0.0102
5.043e-06,3.1042528664182964e-09,0.0084
6.476e-06,4.417399596544979e-09,0.0075
8.315e-06,6.15999298574483e-09,0.0061
1.068e-05,8.876012645854438e-09,0.0052
1.371e-05,1.2454962439538065e-08,0.0044
1.76e-05,1.787808408971779e-08,0.0037
2.26e-05,2.5224973678145983e-08,0.0031
2.902e-05,3.633174397350556e-08,0.0027
3.727e-05,5.204164517118248e-08,0.0022
4.785e-05,7.512053537537656e-08,0.0019
6.144e-05,1.0814073819961129e-07,0.0016
7.889e-05,1.5570011779006535e-07,0.0013
0.0001013,2.2443693119161437e-07,0.0011
0.0001301,3.2303923519902833e-07,0.0009
0.000167,4.635219757429558e-07,0.0008
0.0002145,6.618835752073671e-07,0.0006
0.0002754,9.361508607476703e-07,0.0005
0.0003536,1.305796279422889e-06,0.0005
0.000454,1.7758670821021804e-06,0.0004
0.0005829,2.3201568629163108e-06,0.0003
0.0007485,2.8353578835809102e-06,0.0003
0.0009611,3.1005739845136616e-06,0.0003
0.001234,2.830428860158222e-06,0.0003
0.001585,1.930997429547106e-06,0.0004
0.002035,8.015560343775934e-07,0.0006
0.002249,2.3220955979008372e-07,0.0019
0.002485,7.805847503397232e-08,0.0033
0.002613,2.3255532904790482e-08,0.0106
0.002747,8.663534419854923e-09,0.0153
0.003035,5.211328853298914e-09,0.0153
0.003355,2.3786430287150453e-08,0.0075
0.003707,8.747698781063506e-08,0.0039
0.004307,2.5440031545258197e-07,0.0017
0.005531,6.942872328220562e-07,0.0007
0.007102,1.391924552420502e-06,0.0005
0.009119,2.131922878311684e-06,0.0004
0.01059,2.7281776724356526e-06,0.0004
0.01171,3.1023837363705253e-06,0.0005
0.01503,3.6393537982482947e-06,0.0003
0.0193,4.355928727468236e-06,0.0003
0.02187,4.814410392931013e-06,0.0003
0.02358,5.028833815803078e-06,0.0004
0.02418,5.141929267257004e-06,0.0007
0.02479,5.179393346981803e-06,0.0007
0.02606,5.2420051068562474e-06,0.0006
0.027,5.311935562490036e-06,0.0006
0.0285,5.37945160055599e-06,0.0005
0.03183,5.476622383547579e-06,0.0003
0.03431,5.548397037572662e-06,0.0004
0.04087,5.500314793632896e-06,0.0003
0.04631,5.557346197913732e-06,0.0003
0.05248,3.560757646517124e-06,0.0004
0.05656,1.7810367190082123e-06,0.0008
0.06738,4.773207997469777e-06,0.0003
0.07202,5.047404000096422e-06,0.0005
0.0795,5.025777767997202e-06,0.0004
0.0825,5.029578941233701e-06,0.0006
0.08652,5.041689229023836e-06,0.0005
0.09804,5.0744737222741994e-06,0.0003
0.1111,5.1888871617121666e-06,0.0003
0.1168,5.527381159045197e-06,0.0005
0.1228,5.7447261973062374e-06,0.0005
0.1291,5.958591222181217e-06,0.0005
0.1357,6.1619635874033145e-06,0.0005
0.1426,6.351238458735066e-06,0.0005
0.15,6.508625713363988e-06,0.0005
0.1576,6.753764046097735e-06,0.0005
0.1657,6.99714220586672e-06,0.0004
0.1742,7.289794693286089e-06,0.0004
0.1832,7.186906196894077e-06,0.0004
0.1925,6.472291531522398e-06,0.0004
0.2024,3.4408124486086224e-06,0.0007
0.2128,4.04855067195752e-06,0.0006
0.2237,5.102024573686901e-06,0.0005
0.2352,5.359747403463498e-06,0.0005
0.2472,3.0384930308542e-06,0.0008
0.2732,7.798240747807568e-06,0.0003
0.2872,9.650721435764971e-06,0.0004
0.2945,1.2042191314296923e-05,0.0004
0.2972,1.9910347658419178e-05,0.0005
0.2985,1.6610770280538635e-05,0.0009
0.302,3.5621771335388365e-06,0.0014
0.3337,7.8392136669959e-06,0.0003
0.3688,8.594529552688756e-06,0.0003
0.3877,6.22079764877821e-06,0.0005
0.4076,4.576555520371462e-06,0.0006
0.4505,6.896050311628686e-06,0.0003
0.4979,1.097598046445612e-05,0.0002
0.5234,1.4908001061822744e-05,0.0003
0.5502,8.89074533360845e-06,0.0004
0.5784,5.510582965200391e-06,0.0005
0.6081,4.1036336010753125e-06,0.0006
0.6393,4.298075561700913e-06,0.0005
0.6721,3.0577628448083977e-06,0.0007
0.7065,1.6940538709585054e-06,0.001
0.7427,1.6991797445967074e-06,0.001
0.7808,2.6641098832426317e-06,0.0007
0.8209,2.417662256296559e-06,0.0008
0.8629,3.682849092281199e-06,0.0006
0.9072,3.3091760836465887e-06,0.0006
0.9617,3.359003781919099e-06,0.0006
1.003,3.830124979972213e-06,0.0006
1.108,3.144742926240682e-06,0.0005
1.165,3.7856851946996796e-06,0.0006
1.225,4.168478953162344e-06,0.0006
1.287,4.823295968762717e-06,0.0005
1.353,4.892200409207545e-06,0.0005
1.423,5.709973073792848e-06,0.0005
1.496,6.347361278026596e-06,0.0004
1.572,6.980047929831754e-06,0.0004
1.653,5.055497659629443e-06,0.0005
1.738,5.785988004099052e-06,0.0004
1.827,5.0923252724130985e-06,0.0005
1.921,7.107886981154157e-06,0.0004
2.019,4.855771926619294e-06,0.0005
2.122,3.769783702574207e-06,0.0006
2.231,4.007336644921585e-06,0.0005
2.307,4.293472037997775e-06,0.0006
2.346,4.570397664028299e-06,0.0009
2.365,4.489013176109846e-06,0.0013
2.385,4.293998374301149e-06,0.0013
2.466,3.5904243738657902e-06,0.0007
2.592,4.04949603687306e-06,0.0005
2.725,4.510713252470031e-06,0.0005
2.865,4.048808694582491e-06,0.0005
3.012,4.113401660369837e-06,0.0005
3.166,5.305602103479322e-06,0.0004
3.329,4.524291635287019e-06,0.0005
3.679,3.972210688995011e-06,0.0004
4.066,4.098092055107169e-06,0.0003
4.493,3.896289158378688e-06,0.0004
4.724,4.008475610612759e-06,0.0005
4.966,3.753173459330041e-06,0.0005
5.22,3.873405862962295e-06,0.0005
5.488,3.4053516635407616e-06,0.0005
5.77,3.4509129079946756e-06,0.0005
6.065,3.5059039089307875e-06,0.0005
6.376,3.205329776003836e-06,0.0005
6.592,3.2737869913507375e-06,0.0006
6.703,3.170688005256671e-06,0.0009
7.047,3.348405425816347e-06,0.0005
7.408,3.4042453194289766e-06,0.0005
7.788,3.327669994243864e-06,0.0005
8.187,3.3910193177068442e-06,0.0005
8.607,3.5927468449421594e-06,0.0005
9.048,3.6698750948919777e-06,0.0004
9.512,4.152394593242349e-06,0.0004
10.0,4.611327100526824e-06,0.0004
10.51,7.515023710512119e-06,0.0003
11.05,7.790613462215729e-06,0.0003
11.62,8.001499330675808e-06,0.0003
12.21,8.236084957754143e-06,0.0003
12.52,8.414659678075311e-06,0.0004
12.84,8.459448856985832e-06,0.0004
13.5,8.00556420846474e-06,0.0003
13.84,7.297634703762332e-06,0.0004
14.19,2.585240707544067e-06,0.0007
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
