Energy,Value,Error
0.01,2.4300500243005003e-10,0.2076
0.02,0.0,0.0
0.05,1.9031333333333333e-07,0.0048
0.1,9.41958e-06,0.0005
0.2,1.1767999999999998e-05,0.0003
0.3,7.310630000000002e-06,0.0004
0.4,5.409639999999998e-06,0.0004
0.6,4.147430000000001e-06,0.0003
0.8,2.693509999999999e-06,0.0004
1.0,2.0983200000000004e-06,0.0004
1.22,1.965563636363637e-06,0.0004
1.44,3.105295454545455e-06,0.0003
1.66,1.2056818181818184e-06,0.0005
2.0,1.2528941176470585e-06,0.0004
2.5,1.302556e-06,0.0003
3.0,4.39914e-07,0.0005
4.0,2.13376e-07,0.0005
5.0,1.74796e-07,0.0006
6.5,4.8219599999999996e-08,0.0009
8.0,2.58322e-08,0.0012
10.0,3.248945e-09,0.0029
12.0,1.388185e-09,0.0045
14.0,5.3274e-11,0.0215
20.0,9.394899999999999e-12,0.0289
