Energy,Value,Error
0.01,3.17196e-11,0.0585
0.02,0.0,0.0
0.05,8.92893e-11,0.032
0.1,1.41667e-07,0.0009
0.2,1.1423e-06,0.0003
0.3,9.61473e-07,0.0003
0.4,7.65305e-07,0.0003
0.6,1.16732e-06,0.0003
0.8,6.79763e-07,0.0003
1.0,5.54631e-07,0.0003
1.22,5.72506e-07,0.0003
1.44,1.76752e-06,0.0002
1.66,1.52223e-07,0.0006
2.0,2.73522e-07,0.0005
2.5,4.00208e-07,0.0004
3.0,2.36192e-07,0.0005
4.0,4.82704e-07,0.0003
5.0,3.37414e-07,0.0004
6.5,2.78203e-07,0.0004
8.0,9.82418e-08,0.0007
10.0,2.85211e-08,0.0014
12.0,1.26541e-09,0.0065
14.0,1.00571e-10,0.0223
20.0,9.05901e-11,0.0241
