Energy,Value,Error
1e-07,1.4441478594866992e-12,0.0755
4.14e-07,4.5079108805901414e-11,0.0297
5.316e-07,1.237122540860716e-10,0.0434
6.826e-07,1.7274856274505314e-10,0.0387
8.764e-07,2.2823970589110462e-10,0.0314
1.125e-06,3.3371148747014244e-10,0.0256
1.445e-06,4.2808928199965026e-10,0.0221
1.855e-06,5.655521497489578e-10,0.0198
2.382e-06,7.081860040602422e-10,0.0167
3.059e-06,9.248819710096596e-10,0.0164
3.928e-06,1.1967653860717475e-09,0.0136
5.043e-06,1.5014922558665372e-09,0.0117
6.476e-06,1.939005717727092e-09,0.0104
8.315e-06,2.445978172639863e-09,0.0095
1.068e-05,3.1903180449148935e-09,0.0082
1.371e-05,4.069386087132672e-09,0.0075
1.76e-05,5.202675528835121e-09,0.0064
2.26e-05,6.694234262833242e-09,0.0057
2.902e-05,8.492519457439486e-09,0.0051
3.727e-05,1.095544375718275e-08,0.0044
4.785e-05,1.3983297496600302e-08,0.004
6.144e-05,1.7934399460640497e-08,0.0036
7.889e-05,2.303244913756255e-08,0.0031
0.0001013,2.9371568176021862e-08,0.0027
0.0001301,3.7645087939031666e-08,0.0024
0.000167,4.8010651224858134e-08,0.0021
0.0002145,6.111476903381398e-08,0.0019
0.0002754,7.8040981405544e-08,0.0017
0.0003536,9.951358886787126e-08,0.0015
0.000454,1.2653779160794993e-07,0.0013
0.0005829,1.6137424220774333e-07,0.0012
0.0007485,2.0435578494457603e-07,0.001
0.0009611,2.5978085807376387e-07,0.0009
0.001234,3.294116331996912e-07,0.0008
0.001585,4.1644515021612166e-07,0.0007
0.002035,5.246539130756442e-07,0.0006
0.002249,6.156534636917705e-07,0.0009
0.002485,6.750128680536422e-07,0.0009
0.002613,7.236921785525207e-07,0.0012
0.002747,7.553505762584911e-07,0.0012
0.003035,8.096656628069034e-07,0.0008
0.003355,8.85960629842618e-07,0.0008
0.003707,9.672815876892136e-07,0.0007
0.004307,1.0823651957199567e-06,0.0006
0.005531,1.2923473586143182e-06,0.0004
0.007102,1.601794001548503e-06,0.0004
0.009119,1.9742926099170026e-06,0.0003
0.01059,2.3163756289087084e-06,0.0004
0.01171,2.557080301811227e-06,0.0005
0.01503,2.933406475335027e-06,0.0003
0.0193,3.5195870525587912e-06,0.0002
0.02187,3.9937688944249e-06,0.0003
0.02358,4.259802911950535e-06,0.0004
0.02418,4.404752652390234e-06,0.0007
0.02479,4.47907829360276e-06,0.0007
0.02606,4.582393586692032e-06,0.0005
0.027,4.708017903045277e-06,0.0006
0.0285,4.843785085437296e-06,0.0004
0.03183,5.099734985221436e-06,0.0003
0.03431,5.405129789674313e-06,0.0004
0.04087,5.803402182264642e-06,0.0002
0.04631,6.236282642718937e-06,0.0003
0.05248,6.59022277089209e-06,0.0002
0.05656,6.857417440739747e-06,0.0003
0.06738,7.1195483438655956e-06,0.0002
0.07202,7.367196194205622e-06,0.0003
0.0795,7.565358439893206e-06,0.0002
0.0825,7.740743959179802e-06,0.0004
0.08652,7.854185487100746e-06,0.0004
0.09804,8.116962754893669e-06,0.0002
0.1111,6.143993860436407e-06,0.0003
0.1168,5.972872714413373e-06,0.0004
0.1228,6.128684775085442e-06,0.0004
0.1291,6.2738602817480355e-06,0.0004
0.1357,6.416159051099196e-06,0.0004
0.1426,6.5485490140876715e-06,0.0004
0.15,6.661990529980671e-06,0.0004
0.1576,6.761007361122429e-06,0.0004
0.1657,6.843866227146408e-06,0.0004
0.1742,6.89985075698718e-06,0.0004
0.1832,6.969394868740611e-06,0.0004
0.1925,7.008221092116674e-06,0.0004
0.2024,7.0440981802747044e-06,0.0004
0.2128,7.054089635259593e-06,0.0004
0.2237,7.05207328925617e-06,0.0004
0.2352,7.0455924886614885e-06,0.0004
0.2472,7.027097913598319e-06,0.0004
0.2732,6.9733135605790816e-06,0.0003
0.2872,6.8815207451138415e-06,0.0004
0.2945,6.826887143404752e-06,0.0005
0.2972,6.8031550196558906e-06,0.0009
0.2985,6.7816213265395465e-06,0.0013
0.302,6.774258152974579e-06,0.0008
0.3337,6.621325059560137e-06,0.0003
0.3688,6.25379292051248e-06,0.0003
0.3877,5.776756524742154e-06,0.0004
0.4076,5.432243561916576e-06,0.0004
0.4505,4.870364261967047e-06,0.0003
0.4979,4.130849056817827e-06,0.0003
0.5234,3.585659699443678e-06,0.0005
0.5502,3.226278774011709e-06,0.0005
0.5784,2.8738098295572358e-06,0.0006
0.6081,2.5305514206782874e-06,0.0006
0.6393,2.1989433603268954e-06,0.0007
0.6721,1.870170047708985e-06,0.0008
0.7065,1.563240269321834e-06,0.0009
0.7427,1.2882449037716006e-06,0.001
0.7808,1.0495046170295038e-06,0.0011
0.8209,8.654500878598071e-07,0.0013
0.8629,7.269701410682568e-07,0.0014
0.9072,6.349177375668683e-07,0.0016
0.9617,5.771138160362996e-07,0.0016
1.003,5.462678592981666e-07,0.0019
1.108,5.518833299249207e-07,0.0013
1.165,5.975062201596061e-07,0.0017
1.225,6.530736501512182e-07,0.0017
1.287,7.271309920835123e-07,0.0016
1.353,8.20690958571845e-07,0.0015
1.423,9.335215605971491e-07,0.0014
1.496,1.0597718443365418e-06,0.0012
1.572,1.1986867338792942e-06,0.0012
1.653,1.3533911401319613e-06,0.0011
1.738,1.5179443643384908e-06,0.001
1.827,1.6876146808898075e-06,0.0009
1.921,1.8584985653584362e-06,0.0009
2.019,2.029083440442224e-06,0.0008
2.122,2.194217022241828e-06,0.0008
2.231,2.359291974633654e-06,0.0008
2.307,2.4967801317148945e-06,0.0009
2.346,2.57867993410976e-06,0.0013
2.365,2.6142436991091738e-06,0.0018
2.385,2.642290635189376e-06,0.0017
2.466,2.7046422424491414e-06,0.0009
2.592,2.8373522946220725e-06,0.0007
2.725,2.9875706302988565e-06,0.0007
2.865,3.131242396719802e-06,0.0006
3.012,3.2793215269807524e-06,0.0006
3.166,3.427177264588636e-06,0.0006
3.329,3.568671398672812e-06,0.0006
3.679,3.7926250489275025e-06,0.0004
4.066,4.104450863524748e-06,0.0004
4.493,4.4435202754242854e-06,0.0004
4.724,4.718055936874658e-06,0.0005
4.966,4.925419653929647e-06,0.0005
5.22,5.142623070625577e-06,0.0005
5.488,5.394246889181538e-06,0.0004
5.77,5.682424359213111e-06,0.0004
6.065,6.008046709465827e-06,0.0004
6.376,6.389302285349912e-06,0.0004
6.592,6.726948058381201e-06,0.0005
6.703,6.961866790827882e-06,0.0007
7.047,7.293292461707285e-06,0.0004
7.408,7.815846683954312e-06,0.0004
7.788,8.397757909924954e-06,0.0003
8.187,9.001661495605329e-06,0.0003
8.607,9.636846455968316e-06,0.0003
9.048,1.0286681344749891e-05,0.0003
9.512,1.0927582566200003e-05,0.0003
10.0,1.1551893165865566e-05,0.0003
10.51,1.3794534444811684e-05,0.0002
11.05,1.3513356789855297e-05,0.0002
11.62,1.3017074368194595e-05,0.0002
12.21,1.2295402529360235e-05,0.0002
12.52,1.1595808102773877e-05,0.0003
12.84,1.1016987980690695e-05,0.0003
13.5,9.988251790021069e-06,0.0003
13.84,8.772310439972926e-06,0.0004
14.19,3.7294218967040907e-06,0.0006
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
