Energy,Value,Error
0.01,2.25631e-11,0.1604
0.02,2.79703e-12,0.232
0.05,7.3271e-12,0.119
0.1,1.54095e-08,0.003
0.2,2.06597e-07,0.0008
0.3,2.05324e-07,0.0008
0.4,1.99912e-07,0.0008
0.6,2.14095e-07,0.0007
0.8,9.1847e-08,0.001
1.0,8.14564e-08,0.001
1.22,5.73444e-08,0.0012
1.44,5.5892e-08,0.0011
1.66,7.18731e-08,0.0011
2.0,6.65528e-08,0.0011
2.5,7.35604e-08,0.001
3.0,6.70442e-08,0.001
4.0,1.2074e-07,0.0008
5.0,9.14819e-08,0.0009
6.5,1.04843e-07,0.0008
8.0,1.20651e-07,0.0008
10.0,3.48921e-09,0.0045
12.0,4.54293e-10,0.0131
14.0,9.73482e-12,0.0717
20.0,1.37581e-11,0.0687
