Energy,Value,Error
0.01,1.92967e-12,0.1838
0.02,0.0,0.0
0.05,2.42301e-13,0.4572
0.1,1.55649e-09,0.01
0.2,2.64784e-08,0.0023
0.3,2.97389e-08,0.0021
0.4,2.35198e-08,0.0023
0.6,4.29722e-08,0.0017
0.8,2.14575e-08,0.0022
1.0,1.91632e-08,0.0022
1.22,1.54621e-08,0.0024
1.44,4.12133e-08,0.0017
1.66,8.24075e-09,0.0033
2.0,8.97737e-09,0.003
2.5,1.19157e-08,0.0027
3.0,9.02041e-09,0.0033
4.0,1.66315e-08,0.0023
5.0,1.35388e-08,0.0029
6.5,1.33996e-08,0.0026
8.0,1.20494e-08,0.0033
10.0,2.66699e-09,0.0059
12.0,1.14312e-10,0.0312
14.0,4.24595e-12,0.1288
20.0,3.46348e-12,0.1584
