Energy,Value,Error
0.01,1.9296700192967002e-10,0.1838
0.02,0.0,0.0
0.05,8.0767e-12,0.4572
0.1,3.11298e-08,0.01
0.2,2.6478399999999997e-07,0.0023
0.3,2.9738900000000007e-07,0.0021
0.4,2.3519799999999993e-07,0.0023
0.6,2.1486100000000006e-07,0.0017
0.8,1.0728749999999996e-07,0.0022
1.0,9.581600000000002e-08,0.0022
1.22,7.028227272727273e-08,0.0024
1.44,1.8733318181818186e-07,0.0017
1.66,3.745795454545455e-08,0.0033
2.0,2.64040294117647e-08,0.003
2.5,2.38314e-08,0.0027
3.0,1.804082e-08,0.0033
4.0,1.66315e-08,0.0023
5.0,1.35388e-08,0.0029
6.5,8.933066666666667e-09,0.0026
8.0,8.032933333333332e-09,0.0033
10.0,1.333495e-09,0.0059
12.0,5.7156e-11,0.0312
14.0,2.122975e-12,0.1288
20.0,5.772466666666666e-13,0.1584
