Energy,Value,Error
1e-07,2.2488492097086883e-15,1.0
4.14e-07,2.934379080792805e-13,0.2981
5.316e-07,6.934256782769043e-13,0.3976
6.826e-07,1.668821783111267e-12,0.2532
8.764e-07,5.207120179579861e-12,0.1494
1.125e-06,1.6794057737787375e-11,0.0827
1.445e-06,2.916369718633029e-11,0.0631
1.855e-06,4.842310826058622e-11,0.0494
2.382e-06,7.482130740411496e-11,0.0414
3.059e-06,1.3217276824518416e-10,0.0317
3.928e-06,2.0710613666310633e-10,0.0258
5.043e-06,3.178743377236982e-10,0.0214
6.476e-06,4.872174243640405e-10,0.0172
8.315e-06,7.331269400228128e-10,0.0137
1.068e-05,1.1447885819505047e-09,0.0113
1.371e-05,1.7274610806032878e-09,0.0089
1.76e-05,2.5730120909868236e-09,0.0074
2.26e-05,3.944211314090649e-09,0.0061
2.902e-05,5.944919598157862e-09,0.0051
3.727e-05,8.93360925578147e-09,0.0043
4.785e-05,1.3185722331304742e-08,0.0036
6.144e-05,1.9753272426981645e-08,0.0029
7.889e-05,2.900644713146736e-08,0.0024
0.0001013,4.288892151539293e-08,0.002
0.0001301,6.287143406751109e-08,0.0017
0.000167,9.144483544537473e-08,0.0014
0.0002145,1.3172154298489441e-07,0.0012
0.0002754,1.8750626618945398e-07,0.001
0.0003536,2.614437221715163e-07,0.0009
0.000454,3.5493214970273626e-07,0.0007
0.0005829,4.723900992998822e-07,0.0006
0.0007485,6.153112561597948e-07,0.0006
0.0009611,7.849612111017098e-07,0.0005
0.001234,9.753989030578428e-07,0.0004
0.001585,1.1482102992509886e-06,0.0004
0.002035,1.3001967295722247e-06,0.0003
0.002249,1.8228549453567051e-06,0.0004
0.002485,9.237887941833894e-06,0.0002
0.002613,5.121059321176475e-05,0.0001
0.002747,0.000119383519102517,0.0001
0.003035,0.00015291766804566363,0.0
0.003355,4.0661372054429456e-05,0.0001
0.003707,2.4943181536837344e-06,0.0005
0.004307,9.50928232337625e-08,0.0028
0.005531,9.673964660855613e-07,0.0006
0.007102,9.895811111821234e-08,0.0021
0.009119,1.9005558065336969e-06,0.0004
0.01059,5.956061093264778e-06,0.0003
0.01171,8.307519426410216e-06,0.0003
0.01503,7.091804308856131e-06,0.0002
0.0193,6.077416970826619e-07,0.0005
0.02187,1.8182757915218354e-07,0.0016
0.02358,3.120396523304477e-07,0.0017
0.02418,3.7289046108382463e-07,0.0028
0.02479,3.3397056784740597e-07,0.0032
0.02606,2.3287258966780717e-07,0.0029
0.027,1.2737413610328466e-07,0.0049
0.0285,6.374990093849922e-08,0.0057
0.03183,4.697970919156181e-08,0.0056
0.03431,6.538992292787204e-08,0.0046
0.04087,1.5441178761781547e-07,0.0018
0.04631,6.280304158057906e-07,0.0009
0.05248,7.565187843315096e-07,0.0009
0.05656,3.783430820645998e-07,0.0021
0.06738,1.2466707621585314e-07,0.0024
0.07202,2.1249895936860043e-07,0.0029
