Energy,Value,Error
1e-07,3.2458445753312536e-12,0.0411
4.14e-07,3.3367804990938363e-10,0.0093
5.316e-07,1.0032822550846626e-09,0.0153
6.826e-07,1.3016557926117929e-09,0.0114
8.764e-07,1.6712017595249524e-09,0.0093
1.125e-06,2.066389841352984e-09,0.0081
1.445e-06,2.5096445533924367e-09,0.008
1.855e-06,2.96165705484629e-09,0.0075
2.382e-06,3.4714535204732255e-09,0.0074
3.059e-06,3.954093594312908e-09,0.0058
3.928e-06,4.424490927961433e-09,0.006
5.043e-06,4.955521953265458e-09,0.0059
6.476e-06,5.365013376759643e-09,0.0058
8.315e-06,5.918152430853565e-09,0.0057
1.068e-05,6.443365873095025e-09,0.0062
1.371e-05,6.666235305437212e-09,0.0055
1.76e-05,7.14071209952302e-09,0.0054
2.26e-05,7.523825012269964e-09,0.0054
2.902e-05,7.885285298920939e-09,0.0054
3.727e-05,8.304481280480351e-09,0.0057
4.785e-05,8.658752924711714e-09,0.0064
6.144e-05,8.977920160383573e-09,0.0061
7.889e-05,9.267845106047745e-09,0.0065
0.0001013,9.577056659434745e-09,0.0054
0.0001301,9.92642488507271e-09,0.0054
0.000167,1.0253536876857642e-08,0.0052
0.0002145,1.0477998912902187e-08,0.0053
0.0002754,1.101703249264302e-08,0.005
0.0003536,1.1378731496184685e-08,0.005
0.000454,1.1940902028248095e-08,0.0049
0.0005829,1.2553735178550076e-08,0.005
0.0007485,1.3199906515703657e-08,0.0051
0.0009611,1.3916795969274172e-08,0.0048
0.001234,1.5041865867668566e-08,0.0045
0.001585,1.6407130364725082e-08,0.0046
0.002035,1.8480868764942067e-08,0.0041
0.002249,1.9892518278469245e-08,0.006
0.002485,2.1267302209604564e-08,0.0061
0.002613,2.2275170553987527e-08,0.0091
0.002747,2.313377865464657e-08,0.0083
0.003035,2.4052973676742226e-08,0.0055
0.003355,2.6053282001719228e-08,0.0056
0.003707,2.84230450742235e-08,0.0058
0.004307,3.1721649194764944e-08,0.0041
0.005531,3.9858987657846735e-08,0.0031
0.007102,5.755020362602066e-08,0.0023
0.009119,1.0373715767470921e-07,0.0018
0.01059,2.3473686056359533e-07,0.0015
0.01171,6.705906312538426e-07,0.001
0.01503,1.5527972572111475e-05,0.0001
0.0193,6.020189993888717e-09,0.008
0.02187,2.1897718762104704e-08,0.0057
0.02358,3.365298894395752e-08,0.0061
0.02418,3.95219872264697e-08,0.0097
0.02479,4.3151175535148765e-08,0.009
0.02606,4.8558656607325007e-08,0.0061
0.027,5.446010926977046e-08,0.007
0.0285,6.318726799222788e-08,0.005
0.03183,7.911947707403178e-08,0.0034
0.03431,9.897568972377255e-08,0.0037
0.04087,1.5894255198698617e-07,0.0028
0.04631,2.4681737704875595e-07,0.0017
0.05248,5.078904181510955e-07,0.0012
0.05656,1.8087915395660023e-06,0.0009
0.06738,1.6811388790272707e-05,0.0001
0.07202,4.358094405366845e-08,0.0054
0.0795,9.435655812905115e-08,0.003
0.0825,1.415081006190391e-07,0.0041
0.08652,1.6401411450078437e-07,0.0033
0.09804,2.965353006439535e-07,0.0015
0.1111,3.1021436323907437e-06,0.0003
0.1168,4.831531704150717e-07,0.0019
0.1228,1.7511078323247369e-06,0.0008
0.1291,5.068070559600829e-06,0.0004
0.1357,2.956742106163063e-05,0.0002
0.1426,3.413375827438034e-06,0.0005
0.15,5.514610600226165e-07,0.0019
0.1576,2.270799492965133e-05,0.0002
0.1657,2.2706473483895778e-07,0.0031
0.1742,1.2599025213679203e-06,0.0009
0.1832,1.1583783450951876e-06,0.0012
0.1925,1.8218757593627515e-05,0.0002
0.2024,2.0543458501466384e-05,0.0002
0.2128,8.144779484284292e-06,0.0003
0.2237,7.435152533090372e-07,0.0016
0.2352,2.090031391477355e-05,0.0002
0.2472,5.805089165495058e-07,0.0017
0.2732,8.926498515469231e-06,0.0002
0.2872,4.246327836999678e-06,0.0004
0.2945,6.658959966594771e-07,0.0024
0.2972,8.564787096250958e-07,0.0032
0.2985,8.961261254840604e-07,0.0046
0.302,9.475010634093959e-07,0.0027
0.3337,3.862220880885399e-06,0.0004
0.3688,4.489476507336171e-06,0.0003
0.3877,2.5975565375467226e-06,0.0008
0.4076,1.3368160289681106e-05,0.0003
0.4505,2.1146122222789178e-05,0.0001
0.4979,5.669635436909174e-06,0.0003
0.5234,8.108637897140516e-06,0.0003
0.5502,7.262857026213912e-06,0.0004
0.5784,2.3461391001527906e-05,0.0002
0.6081,1.1934016114785507e-05,0.0003
0.6393,5.523430418609396e-06,0.0004
0.6721,6.61909020281993e-06,0.0004
0.7065,3.2843535659401175e-06,0.0006
0.7427,1.0757211073546185e-05,0.0003
