Energy,Value,Error
0.01,3.9842e-13,0.3922
0.02,3.00046e-10,0.0236
0.05,1.2418e-13,0.7273
0.1,1.23419e-10,0.0415
0.2,2.15077e-08,0.0031
0.3,7.7565e-08,0.0017
0.4,9.57994e-08,0.0013
0.6,2.11589e-07,0.0009
0.8,1.53982e-07,0.001
1.0,1.26984e-07,0.001
1.22,9.34698e-08,0.0012
1.44,8.13569e-08,0.0012
1.66,6.63541e-08,0.0014
2.0,9.19652e-08,0.0011
2.5,1.07959e-07,0.0011
3.0,6.99042e-08,0.0014
4.0,8.10803e-08,0.0012
5.0,3.78815e-08,0.0018
6.5,2.2549e-08,0.0023
8.0,1.14303e-08,0.0032
10.0,1.71924e-09,0.0083
12.0,6.72982e-13,0.3516
14.0,6.84073e-13,0.2976
20.0,2.07301e-12,0.3335
