Energy,Value,Error
1e-07,2.2743422957964093e-15,1.0
4.14e-07,1.6126253203634462e-12,0.1184
5.316e-07,1.3662134494863773e-11,0.0933
6.826e-07,2.9357080387460896e-11,0.056
8.764e-07,6.277170111897756e-11,0.0513
1.125e-06,1.0237201462251419e-10,0.0352
1.445e-06,1.5630320187140887e-10,0.0311
1.855e-06,2.1460322142794887e-10,0.0271
2.382e-06,3.1395755622780474e-10,0.0249
3.059e-06,4.202678835318339e-10,0.0201
3.928e-06,5.83045289678106e-10,0.0179
5.043e-06,7.91325106842959e-10,0.0237
6.476e-06,9.375098982627544e-10,0.014
8.315e-06,1.1872510933200363e-09,0.0136
1.068e-05,1.4573308781031805e-09,0.0121
1.371e-05,1.620082844890117e-09,0.0112
1.76e-05,1.692942425658519e-09,0.01
2.26e-05,1.900848194774482e-09,0.0123
2.902e-05,2.4787895866259455e-09,0.0096
3.727e-05,2.0494640147311624e-09,0.0102
4.785e-05,1.250844375140198e-09,0.0121
6.144e-05,7.21372938768633e-10,0.0161
7.889e-05,3.218069108047385e-10,0.0205
0.0001013,1.8894626464835522e-10,0.0317
0.0001301,1.0416359672113754e-08,0.005
0.000167,2.1357046268226005e-08,0.0036
0.0002145,2.4542305794777126e-08,0.0032
0.0002754,2.9727165319066828e-08,0.0029
0.0003536,3.857258826645626e-08,0.0025
0.000454,3.597678869334496e-08,0.0025
0.0005829,3.929982007130857e-08,0.0023
0.0007485,5.754401169316997e-08,0.002
0.0009611,5.592357643353921e-08,0.002
0.001234,4.5528537947020215e-08,0.0022
0.001585,6.48564804239372e-08,0.0015
0.002035,1.2110451383725684e-07,0.0011
0.002249,1.4032623738410683e-07,0.0016
0.002485,1.5450110810758434e-07,0.0015
0.002613,1.6813950981725179e-07,0.002
0.002747,1.7549022581998987e-07,0.002
0.003035,1.8970930070987528e-07,0.0013
0.003355,2.11595439011968e-07,0.0014
0.003707,2.3484543498311442e-07,0.0012
0.004307,2.677359878809567e-07,0.0009
0.005531,3.3555590412488594e-07,0.0006
0.007102,4.524378775889683e-07,0.0005
0.009119,6.184202853058186e-07,0.0005
0.01059,8.099497918053371e-07,0.0005
