Energy,Value,Error
0.01,3.0069100300691e-10,0.2764
0.02,3.6476399999999996e-12,1.0
0.05,3.363333333333333e-08,0.013
0.1,1.248392e-09,0.058
0.2,1.4765899999999999e-07,0.0039
0.3,7.414780000000001e-07,0.0016
0.4,1.2304199999999996e-06,0.0012
0.6,1.5393450000000002e-06,0.0008
0.8,7.998599999999997e-07,0.0009
1.0,7.903500000000002e-07,0.001
1.22,7.288727272727274e-07,0.0009
1.44,8.690545454545456e-07,0.0008
1.66,5.184181818181818e-07,0.0011
2.0,4.1692058823529407e-07,0.0009
2.5,3.53964e-07,0.0009
3.0,2.7602e-07,0.001
4.0,1.70912e-07,0.0009
5.0,8.36373e-08,0.0013
6.5,3.37842e-08,0.0016
8.0,1.2852133333333333e-08,0.0028
10.0,1.00876e-09,0.0071
12.0,2.23504e-11,0.0543
14.0,5.1088e-12,0.1097
20.0,1.88355e-12,0.1186
