Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,1.67873e-13,0.3835
8.764e-07,3.62546e-12,0.1202
1.125e-06,2.30996e-11,0.0505
1.445e-06,3.92347e-11,0.0436
1.855e-06,4.73271e-11,0.0327
2.382e-06,6.21765e-11,0.0294
3.059e-06,8.31872e-11,0.0264
3.928e-06,1.02183e-10,0.0239
5.043e-06,1.3645e-10,0.0204
6.476e-06,1.72734e-10,0.0177
8.315e-06,2.23331e-10,0.0165
1.068e-05,2.89265e-10,0.0145
1.371e-05,3.68442e-10,0.013
1.76e-05,4.77212e-10,0.0118
2.26e-05,6.15603e-10,0.01
2.902e-05,7.91067e-10,0.0087
3.727e-05,1.01199e-09,0.0076
4.785e-05,1.29614e-09,0.007
6.144e-05,1.65381e-09,0.0061
7.889e-05,2.13738e-09,0.0055
0.0001013,2.7298e-09,0.0048
0.0001301,3.49184e-09,0.0042
0.000167,4.46581e-09,0.0038
0.0002145,5.72249e-09,0.0033
0.0002754,7.30109e-09,0.0029
0.0003536,9.36892e-09,0.0025
0.000454,1.19632e-08,0.0023
0.0005829,1.51015e-08,0.002
0.0007485,1.8609e-08,0.0018
0.0009611,2.50561e-08,0.0015
0.001234,3.22341e-08,0.0014
0.001585,4.1362e-08,0.0012
0.002035,5.15746e-08,0.0011
0.002249,2.51804e-08,0.0015
0.002485,2.7751e-08,0.0015
0.002613,1.50909e-08,0.002
0.002747,1.57742e-08,0.0019
0.003035,3.38315e-08,0.0013
0.003355,3.75808e-08,0.0012
0.003707,4.14374e-08,0.0012
0.004307,7.09389e-08,0.0009
0.005531,1.41104e-07,0.0006
0.007102,1.73623e-07,0.0006
0.009119,2.46054e-07,0.0005
0.01059,1.70417e-07,0.0006
0.01171,1.30918e-07,0.0007
0.01503,3.84711e-07,0.0004
0.0193,4.86064e-07,0.0003
0.02187,2.87491e-07,0.0004
0.02358,1.87352e-07,0.0006
0.02418,6.17857e-08,0.0009
0.02479,5.84186e-08,0.001
0.02606,1.23625e-07,0.0007
0.027,8.52285e-08,0.0008
0.0285,1.23799e-07,0.0007
0.03183,6.06637e-07,0.0003
0.03431,2.18736e-07,0.0005
0.04087,6.91273e-07,0.0003
0.04631,5.20705e-07,0.0003
0.05248,9.463e-07,0.0002
0.05656,3.87029e-07,0.0004
0.06738,1.47973e-06,0.0002
0.07202,3.68268e-07,0.0004
0.0795,1.04839e-06,0.0002
0.0825,2.00668e-07,0.0006
0.08652,4.04529e-07,0.0004
0.09804,9.51946e-07,0.0002
0.1111,3.34487e-07,0.0004
0.1168,1.70111e-07,0.0006
0.1228,8.00336e-08,0.0009
0.1291,1.16145e-07,0.0007
0.1357,3.23563e-07,0.0004
0.1426,1.61906e-07,0.0006
0.15,1.92384e-07,0.0006
0.1576,2.00024e-07,0.0006
0.1657,2.15673e-07,0.0006
0.1742,2.28869e-07,0.0005
0.1832,2.4545e-07,0.0005
0.1925,2.56827e-07,0.0005
0.2024,2.76169e-07,0.0005
0.2128,2.93338e-07,0.0005
0.2237,3.10154e-07,0.0005
0.2352,3.30261e-07,0.0005
0.2472,3.48855e-07,0.0004
0.2732,7.67315e-07,0.0003
0.2872,4.18689e-07,0.0004
0.2945,2.20321e-07,0.0006
0.2972,8.18885e-08,0.0009
0.2985,3.95914e-08,0.0013
0.302,1.06431e-07,0.0008
0.3337,9.74823e-07,0.0003
0.3688,1.10111e-06,0.0002
0.3877,6.00451e-07,0.0003
0.4076,6.36515e-07,0.0003
0.4505,1.3852e-06,0.0002
0.4979,1.54439e-06,0.0002
0.5234,8.34269e-07,0.0003
0.5502,8.77466e-07,0.0003
0.5784,9.23172e-07,0.0003
0.6081,9.68949e-07,0.0003
0.6393,1.01177e-06,0.0003
0.6721,1.05181e-06,0.0003
0.7065,1.08361e-06,0.0003
0.7427,1.11251e-06,0.0003
0.7808,1.12842e-06,0.0002
0.8209,1.12415e-06,0.0002
0.8629,1.0884e-06,0.0003
0.9072,1.02259e-06,0.0003
0.9617,1.05725e-06,0.0003
1.003,6.63834e-07,0.0003
1.108,1.50791e-06,0.0002
1.165,7.66184e-07,0.0003
1.225,7.61121e-07,0.0003
1.287,7.34279e-07,0.0003
1.353,7.21132e-07,0.0003
1.423,6.85811e-07,0.0003
1.496,6.13405e-07,0.0003
1.572,5.30161e-07,0.0004
1.653,4.6467e-07,0.0004
1.738,4.00461e-07,0.0004
1.827,3.43623e-07,0.0004
1.921,2.97429e-07,0.0005
2.019,2.55753e-07,0.0005
2.122,2.2791e-07,0.0005
2.231,2.13033e-07,0.0006
2.307,1.34414e-07,0.0007
2.346,6.50689e-08,0.001
2.365,3.08044e-08,0.0014
2.385,3.17431e-08,0.0014
2.466,1.22089e-07,0.0007
2.592,1.71844e-07,0.0006
2.725,1.60973e-07,0.0006
2.865,1.49244e-07,0.0006
3.012,1.37018e-07,0.0007
3.166,1.24395e-07,0.0007
3.329,1.14059e-07,0.0007
3.679,1.98358e-07,0.0005
4.066,1.76285e-07,0.0006
4.493,1.61162e-07,0.0006
4.724,7.75153e-08,0.0008
4.966,7.62016e-08,0.0008
5.22,7.60841e-08,0.0008
5.488,7.66404e-08,0.0008
5.77,7.73056e-08,0.0008
6.065,7.75871e-08,0.0008
6.376,7.90377e-08,0.0008
6.592,5.33858e-08,0.0009
6.703,2.69735e-08,0.0013
7.047,8.20766e-08,0.0007
7.408,8.32836e-08,0.0007
7.788,8.46326e-08,0.0007
8.187,8.64813e-08,0.0007
8.607,9.12446e-08,0.0007
9.048,9.72111e-08,0.0007
9.512,1.00473e-07,0.0006
10.0,1.14207e-07,0.0006
10.51,2.22159e-07,0.0004
11.05,2.35637e-07,0.0004
11.62,2.50419e-07,0.0004
12.21,2.61513e-07,0.0004
12.52,1.36068e-07,0.0005
12.84,1.37438e-07,0.0005
13.5,2.86128e-07,0.0004
13.84,1.4413e-07,0.0005
14.19,5.43205e-08,0.0008
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
