Energy,Value,Error
0.01,2.4641700246417002e-11,0.5436
0.02,0.0,0.0
0.05,1.3138766666666667e-11,0.352
0.1,7.45406e-10,0.0533
0.2,3.6134199999999993e-10,0.0729
0.3,1.0411400000000002e-09,0.0429
0.4,1.8206499999999995e-09,0.0345
0.6,3.4266200000000007e-09,0.0173
0.8,2.988669999999999e-09,0.0156
1.0,2.9408650000000005e-09,0.0147
1.22,2.828359090909091e-09,0.0162
1.44,2.629377272727273e-09,0.0161
1.66,2.2249227272727274e-09,0.0159
2.0,1.817426470588235e-09,0.0157
2.5,1.222042e-09,0.0139
3.0,7.06546e-10,0.0184
4.0,2.91545e-10,0.0218
5.0,6.78684e-11,0.0401
6.5,1.2770866666666668e-11,0.0867
8.0,1.43566e-13,0.528
10.0,1.58231e-13,0.6053
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
