Energy,Value,Error
1e-07,2.68216e-13,0.3602
4.14e-07,2.44759e-11,0.0368
5.316e-07,2.54821e-11,0.04
6.826e-07,4.06571e-11,0.0302
8.764e-07,6.08948e-11,0.023
1.125e-06,9.68181e-11,0.0198
1.445e-06,1.38793e-10,0.0157
1.855e-06,1.82726e-10,0.0141
2.382e-06,2.33103e-10,0.0125
3.059e-06,2.8477e-10,0.0113
3.928e-06,3.36621e-10,0.0102
5.043e-06,3.80558e-10,0.0107
6.476e-06,4.21485e-10,0.0114
8.315e-06,4.34988e-10,0.011
1.068e-05,4.49661e-10,0.0113
1.371e-05,4.31062e-10,0.0116
1.76e-05,4.12199e-10,0.0124
2.26e-05,3.7658e-10,0.015
2.902e-05,3.23779e-10,0.0143
3.727e-05,2.74955e-10,0.0153
4.785e-05,2.25809e-10,0.0179
6.144e-05,1.70834e-10,0.0192
7.889e-05,1.27752e-10,0.0211
0.0001013,8.67645e-11,0.0236
0.0001301,5.97855e-11,0.0271
0.000167,4.48853e-11,0.0343
0.0002145,3.22431e-11,0.0328
0.0002754,2.37658e-11,0.0371
0.0003536,2.54995e-11,0.043
0.000454,5.35438e-11,0.0249
0.0005829,1.85641e-10,0.0148
0.0007485,1.75483e-09,0.0036
0.0009611,3.42076e-10,0.0089
0.001234,2.44718e-09,0.0029
0.001585,2.02962e-11,0.0396
0.002035,6.25301e-11,0.0252
0.002249,4.5339e-11,0.0252
0.002485,6.81686e-11,0.0219
0.002613,4.33764e-11,0.0305
0.002747,5.06574e-11,0.0263
0.003035,1.30328e-10,0.0162
0.003355,1.74797e-10,0.0144
0.003707,2.45054e-10,0.0123
0.004307,5.51105e-10,0.0105
0.005531,1.608e-09,0.0049
0.007102,2.82768e-09,0.0038
0.009119,4.75791e-09,0.0029
0.01059,4.16373e-09,0.003
0.01171,3.49748e-09,0.0036
0.01503,1.13996e-08,0.0018
0.0193,1.6867e-08,0.0016
0.02187,1.1036e-08,0.002
0.02358,7.50554e-09,0.0024
0.02418,2.66394e-09,0.0041
0.02479,2.70065e-09,0.0039
0.02606,5.71015e-09,0.0027
0.027,4.2551e-09,0.003
0.0285,6.85834e-09,0.0024
0.03183,1.54553e-08,0.0016
0.03431,1.17309e-08,0.002
0.04087,3.18073e-08,0.0012
0.04631,2.68963e-08,0.0012
0.05248,3.09696e-08,0.0012
0.05656,2.02635e-08,0.0014
