Energy,Value,Error
0.01,1.1492900114929e-09,0.1442
0.02,5.01072e-07,0.0092
0.05,3.8908666666666665e-08,0.0174
0.1,4.859699999999999e-06,0.0013
0.2,1.5499799999999999e-06,0.0015
0.3,2.5449600000000008e-06,0.0012
0.4,6.423419999999997e-06,0.0007
0.6,1.3121800000000002e-05,0.0003
0.8,1.3736099999999995e-05,0.0003
1.0,1.2593900000000002e-05,0.0003
1.22,1.0574136363636365e-05,0.0003
1.44,9.764090909090909e-06,0.0003
1.66,7.261500000000001e-06,0.0003
2.0,5.411352941176469e-06,0.0003
2.5,3.39278e-06,0.0003
3.0,1.960874e-06,0.0004
4.0,8.50247e-07,0.0004
5.0,2.69236e-07,0.0007
6.5,9.6206e-08,0.0009
8.0,1.0146133333333334e-08,0.0028
10.0,2.251715e-12,0.1228
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
