Energy,Value,Error,Position
0.3713,1.279625639989126e-05,0.001,Pos A
0.3895,9.414395604395608e-06,0.0036,Pos A
0.4092,8.86314720812183e-06,0.0036,Pos A
0.4295,8.245517241379317e-06,0.0037,Pos A
0.4503,7.821923076923082e-06,0.0038,Pos A
0.4706,7.79802955665023e-06,0.0039,Pos A
0.4924,7.346467889908261e-06,0.0039,Pos A
0.5148,3.117303571428567e-05,0.0022,Pos A
0.5377,4.568384279475998e-06,0.0048,Pos A
0.56,4.46904932735424e-06,0.005,Pos A
0.584,4.25020833333335e-06,0.005,Pos A
0.6084,3.911885245901625e-06,0.0052,Pos A
0.6334,3.7416760000000134e-06,0.0053,Pos A
0.6578,3.6429508196721178e-06,0.0054,Pos A
0.6838,3.6057576923077043e-06,0.0053,Pos A
0.7103,3.489664150943386e-06,0.0054,Pos A
0.7374,3.5427749077490756e-06,0.0054,Pos A
0.7639,3.731958490566042e-06,0.0053,Pos A
0.792,3.5729893238434147e-06,0.0053,Pos A
0.8206,3.506853146853152e-06,0.0053,Pos A
0.8497,7.899828178694153e-06,0.0036,Pos A
0.9084,2.6904940374787064e-06,0.0044,Pos A
0.9391,2.150657980456022e-06,0.0067,Pos A
0.9703,2.0340384615384614e-06,0.007,Pos A
1.002,1.9906750788643563e-06,0.007,Pos A
1.034,1.9457218749999984e-06,0.0071,Pos A
1.067,1.8148575757575805e-06,0.0073,Pos A
1.101,1.731732352941175e-06,0.0073,Pos A
1.135,1.752232352941175e-06,0.0074,Pos A
1.169,1.7662147058823515e-06,0.0074,Pos A
1.204,1.8052171428571468e-06,0.0074,Pos A
1.24,2.092238888888887e-06,0.0067,Pos A
1.277,1.6323081081081115e-06,0.0076,Pos A
1.314,1.5380891891891831e-06,0.0078,Pos A
1.35,1.7070416666666652e-06,0.0075,Pos A
1.389,1.411482051282054e-06,0.008,Pos A
1.427,1.4813552631578934e-06,0.008,Pos A
1.466,2.177292307692312e-06,0.0064,Pos A
1.506,1.207527499999999e-06,0.0087,Pos A
1.547,1.1918634146341484e-06,0.0087,Pos A
1.588,1.271736585365849e-06,0.0085,Pos A
1.63,1.1174833333333383e-06,0.009,Pos A
1.672,1.073454761904761e-06,0.0092,Pos A
1.715,1.2507069767441816e-06,0.0085,Pos A
1.759,1.3425227272727328e-06,0.0081,Pos A
1.803,1.1637136363636354e-06,0.0088,Pos A
1.848,1.3221066666666622e-06,0.0081,Pos A
1.893,1.0957044444444462e-06,0.0091,Pos A
1.939,9.38567391304347e-07,0.0097,Pos A
1.986,1.0480234042553207e-06,0.0092,Pos A
2.034,9.719875000000035e-07,0.0095,Pos A
2.082,9.051604166666658e-07,0.0098,Pos A
2.13,1.0428666666666657e-06,0.0092,Pos A
2.18,8.625799999999954e-07,0.0098,Pos A
2.231,5.248117647058853e-06,0.0042,Pos A
2.281,7.688179999999959e-07,0.0109,Pos A
2.333,7.20063461538461e-07,0.0112,Pos A
2.386,6.836716981132083e-07,0.0114,Pos A
2.438,6.883038461538456e-07,0.0114,Pos A
2.492,6.687111111111133e-07,0.0117,Pos A
2.546,7.395092592592616e-07,0.0109,Pos A
2.601,7.617127272727251e-07,0.0108,Pos A
2.657,6.181053571428567e-07,0.0118,Pos A
2.713,6.373410714285709e-07,0.0118,Pos A
2.771,6.004982758620707e-07,0.0117,Pos A
2.829,5.658724137931007e-07,0.0123,Pos A
2.888,6.083254237288164e-07,0.012,Pos A
2.947,6.139084745762695e-07,0.0119,Pos A
3.007,5.736966666666662e-07,0.0124,Pos A
3.069,5.284193548387111e-07,0.0125,Pos A
3.129,5.186966666666663e-07,0.0131,Pos A
3.192,5.431634920634906e-07,0.0128,Pos A
3.255,5.470269841269865e-07,0.0122,Pos A
3.32,4.902969230769236e-07,0.0129,Pos A
3.385,5.269507692307696e-07,0.0126,Pos A
3.451,5.23842424242422e-07,0.0128,Pos A
3.517,5.209696969696982e-07,0.0126,Pos A
3.584,4.981537313432823e-07,0.0126,Pos A
3.652,4.942735294117643e-07,0.0128,Pos A
3.722,5.299000000000012e-07,0.0124,Pos A
3.791,4.5802463768115976e-07,0.0132,Pos A
3.861,4.5215714285714107e-07,0.0135,Pos A
3.934,4.453109589041099e-07,0.0132,Pos A
4.005,3.988352112676072e-07,0.0141,Pos A
4.078,4.015109589041074e-07,0.0145,Pos A
4.153,4.115053333333372e-07,0.0137,Pos A
4.227,4.447972972972929e-07,0.0131,Pos A
4.304,3.9264935064935085e-07,0.0137,Pos A
4.38,3.8136315789473873e-07,0.0148,Pos A
4.458,5.543346153846133e-07,0.012,Pos A
4.536,3.5681538461538736e-07,0.0145,Pos A
4.616,3.295462499999997e-07,0.0148,Pos A
4.696,3.386724999999997e-07,0.0149,Pos A
4.777,3.5326172839506e-07,0.0145,Pos A
4.859,3.5886707317073236e-07,0.0146,Pos A
4.943,3.1987857142857287e-07,0.0149,Pos A
5.026,3.3641566265060164e-07,0.0142,Pos A
5.111,3.0598117647058834e-07,0.0151,Pos A
5.198,3.1831379310344595e-07,0.0151,Pos A
5.285,3.5572528735632286e-07,0.0147,Pos A
5.373,3.097193181818179e-07,0.0152,Pos A
5.462,3.2562247191011413e-07,0.015,Pos A
5.552,3.898066666666673e-07,0.0134,Pos A
5.643,4.6720659340659237e-07,0.0121,Pos A
5.735,6.287054347826051e-07,0.0102,Pos A
5.828,2.7072258064516135e-07,0.0157,Pos A
5.922,3.527797872340447e-07,0.014,Pos A
6.017,4.989810526315756e-07,0.0112,Pos A
6.113,3.9108124999999964e-07,0.0129,Pos A
6.21,1.9007628865979473e-07,0.0183,Pos A
6.309,1.841727272727269e-07,0.0194,Pos A
6.408,5.130747474747464e-07,0.011,Pos A
6.508,2.9765800000000104e-07,0.0141,Pos A
6.61,2.5573529411764627e-07,0.0154,Pos A
6.713,1.4921067961165083e-07,0.0211,Pos A
6.817,1.297980769230768e-07,0.0217,Pos A
6.922,3.4775523809523967e-07,0.013,Pos A
7.028,1.1111698113207561e-07,0.0242,Pos A
7.135,1.9682429906542018e-07,0.0182,Pos A
7.244,1.7930091743119267e-07,0.0187,Pos A
7.353,9.153403669724771e-07,0.0079,Pos A
7.464,1.9470990990990875e-07,0.0174,Pos A
7.576,2.990455357142878e-07,0.0135,Pos A
7.69,1.7975087719298125e-06,0.0054,Pos A
7.805,4.362191304347852e-08,0.0374,Pos A
7.921,1.87568103448275e-07,0.0166,Pos A
8.037,7.75632758620686e-08,0.0263,Pos A
8.155,6.692788135593303e-08,0.0285,Pos A
8.275,1.7770833333333184e-08,0.0603,Pos A
8.396,2.5650991735537097e-08,0.0485,Pos A
8.519,1.276821138211389e-07,0.02,Pos A
8.642,3.064878048780504e-07,0.0126,Pos A
8.766,1.2008790322580593e-08,0.0651,Pos A
8.891,1.915896e-07,0.0162,Pos A
9.018,6.714023622047209e-07,0.0085,Pos A
9.146,9.672265624999991e-09,0.0747,Pos A
9.275,3.3207519379845074e-08,0.0406,Pos A
9.406,4.1316335877862526e-08,0.034,Pos A
9.537,3.917961832061062e-09,0.1067,Pos A
