Energy,Value,Error
0.0337,5.008397640974474e-06,0.0055
0.03547,3.1287344632768346e-07,0.0421
0.03734,3.3654010695187226e-07,0.0401
0.03931,3.570263959390864e-07,0.0356
0.04137,3.999849514563108e-07,0.0353
0.04355,3.465472477064218e-07,0.0343
0.04584,3.787248908296943e-07,0.0296
0.04826,3.8658966942148787e-07,0.0304
0.0508,4.074921259842519e-07,0.028
0.05347,3.0684082397003757e-07,0.0315
0.05628,3.4799572953736655e-07,0.0319
0.05925,4.0219865319865313e-07,0.0252
0.06236,4.4228617363344026e-07,0.0265
0.06565,5.087902735562308e-07,0.0216
0.0691,6.765217391304359e-07,0.0179
0.07274,7.678543956043947e-07,0.0151
0.07657,4.1399738903394255e-07,0.0281
0.0806,5.930620347394533e-07,0.0177
0.08484,8.842240566037748e-07,0.0088
0.0893,2.207887892376679e-07,0.0338
0.094,2.862553191489364e-07,0.0242
0.09895,3.3638383838383864e-07,0.0215
0.1042,3.817104761904758e-07,0.0201
0.1096,4.476962962962961e-07,0.0176
0.1154,4.710724137931035e-07,0.0163
0.1215,5.71824590163935e-07,0.0142
0.1279,7.66876562499998e-07,0.0114
0.1346,6.979402985074644e-07,0.0122
0.1417,1.0731971830985923e-06,0.0056
0.1492,2.114959999999998e-07,0.0312
0.157,3.5677307692307684e-07,0.0232
0.1653,5.703433734939757e-07,0.0114
0.174,6.355517241379321e-07,0.0095
0.1831,7.550747252747233e-07,0.009
0.1928,4.70027835051547e-07,0.0081
0.2029,1.9663960396039609e-07,0.021
0.2136,3.2180093457943876e-07,0.0154
0.2248,5.298633928571434e-07,0.0378
0.2367,3.286100840336136e-07,0.0139
0.2491,4.0455806451612924e-07,0.0105
0.2622,3.972404580152672e-07,0.0115
0.276,7.881376811594184e-07,0.0062
0.2906,2.725383561643835e-07,0.0151
0.3058,8.049473684210531e-07,0.0074
0.3219,7.226521739130433e-07,0.0049
0.3389,3.0945411764705955e-07,0.0119
0.3567,7.723988764044927e-07,0.0054
0.3755,3.980281914893621e-07,0.0078
0.3953,2.719055555555558e-07,0.0067
0.4161,1.3378269230769205e-07,0.0141
0.438,2.0800867579908702e-07,0.0094
0.461,1.6344173913043462e-07,0.0123
0.4853,2.6547037037037053e-07,0.0064
0.5108,2.450807843137253e-07,0.0068
0.5377,2.601903345724914e-07,0.0084
0.566,2.893339222614842e-07,0.0072
0.5958,3.377751677852343e-07,0.0064
0.6272,4.775191082802551e-07,0.0048
0.6602,4.496212121212117e-07,0.004
0.6949,1.8856195965417893e-07,0.0085
0.7315,2.0885355191256787e-07,0.0063
0.77,1.1439662337662344e-07,0.0091
0.8105,8.941283950617288e-08,0.0127
0.8532,1.1574941451990643e-07,0.0093
0.8981,1.0729955456570145e-07,0.0079
0.9453,1.0966334745762707e-07,0.0084
0.9951,8.666987951807237e-08,0.0078
1.047,6.300732177263975e-08,0.0106
1.103,5.947499999999995e-08,0.0112
1.161,6.66781034482758e-08,0.0093
1.222,6.450754098360662e-08,0.0083
1.286,3.336203124999997e-08,0.0141
1.354,3.5867205882352906e-08,0.0124
1.425,3.184647887323946e-08,0.0135
1.5,2.4420400000000015e-08,0.0159
1.579,2.3124050632911404e-08,0.0165
1.662,2.1400602409638563e-08,0.0158
1.749,2.2282643678160872e-08,0.0156
1.842,1.7450645161290328e-08,0.0147
1.938,1.3269270833333352e-08,0.0204
2.04,1.1645784313725479e-08,0.023
2.148,1.1097129629629621e-08,0.0211
2.261,1.0726902654867257e-08,0.0203
2.3965,8.498228782287826e-09,0.0197
2.478,6.771582822085879e-09,0.0343
2.559,5.799530864197533e-09,0.0368
2.6415,5.791684848484847e-09,0.0289
2.7235,5.447756097560985e-09,0.0312
2.807,5.026227544910185e-09,0.0399
2.89,4.2578433734939664e-09,0.0329
2.9745,3.788260355029595e-09,0.0328
3.0585,3.6044047619047585e-09,0.0351
3.144,3.1558830409356678e-09,0.0492
3.229,3.2311764705882365e-09,0.0479
3.315,2.9636627906976796e-09,0.036
3.4015,2.7998381502890164e-09,0.0389
3.4885,2.3710689655172365e-09,0.0436
3.576,2.393748571428574e-09,0.0467
3.664,2.2711704545454525e-09,0.0879
3.7515,1.830800000000002e-09,0.0419
3.8405,1.8230337078651693e-09,0.0598
3.93,1.866659217877092e-09,0.0872
4.02,1.7239111111111222e-09,0.0458
4.1095,1.5019553072625676e-09,0.0381
4.2005,1.3705824175824148e-09,0.0391
4.2915,1.5446483516483484e-09,0.0495
4.383,1.6288961748633893e-09,0.1148
4.475,1.3728695652173968e-09,0.037
4.5665,1.2133661202185804e-09,0.058
4.6595,1.174731182795688e-09,0.0454
4.753,1.1577647058823568e-09,0.0532
4.846,1.119118279569893e-09,0.0627
4.9405,1.0098042328042324e-09,0.0455
5.0345,1.1388297872340387e-09,0.0553
5.1295,9.936126315789498e-10,0.0653
5.225,8.966376963350836e-10,0.0334
5.321,1.0625729166666658e-09,0.0996
5.4165,1.0936649214659643e-09,0.1867
5.5135,1.071175257731964e-09,0.1176
5.6105,7.890237113402028e-10,0.0457
5.708,7.698420512820502e-10,0.0509
5.806,8.798785714285727e-10,0.0645
5.9035,7.161538461538451e-10,0.0663
6.0025,6.934636363636349e-10,0.0477
6.1015,6.470707070707116e-10,0.0439
6.201,6.459929648241212e-10,0.0474
6.301,6.466879999999965e-10,0.0409
6.4005,5.981477386934678e-10,0.0485
6.5015,5.932386138613863e-10,0.0572
6.6025,5.73540594059406e-10,0.0646
6.704,5.591517241379326e-10,0.0479
6.806,5.857313725490178e-10,0.062
6.9075,5.007024630541887e-10,0.0456
7.0105,6.707650485436851e-10,0.2028
7.1135,4.833747572815545e-10,0.0413
7.216,4.661678048780487e-10,0.044
7.32,4.831903846153842e-10,0.0511
7.4245,4.59648803827752e-10,0.0557
7.5285,4.866432692307688e-10,0.0668
7.6335,4.2401904761904954e-10,0.0359
7.739,4.405848341232222e-10,0.0536
7.845,4.347547169811326e-10,0.0482
7.951,5.034113207547176e-10,0.0859
8.0565,4.185374407582932e-10,0.0481
8.1635,4.366046728971918e-10,0.0431
8.271,4.1768744186046543e-10,0.0341
8.378,4.3044766355140464e-10,0.0455
8.486,4.0324629629629424e-10,0.0357
8.5945,4.355161290322606e-10,0.0709
8.7035,4.29362385321101e-10,0.0446
8.8125,4.1819816513761474e-10,0.0451
8.921,4.268700460829518e-10,0.0447
9.031,4.634299999999949e-10,0.0639
9.1415,4.213918552036198e-10,0.037
9.2515,4.089754545454567e-10,0.0296
9.3625,4.512090090090063e-10,0.039
9.474,4.3696502242152666e-10,0.0302
9.585,4.825306306306278e-10,0.104
9.698,4.1640884955752383e-10,0.0433
9.8095,3.883255605381184e-10,0.0301
9.9225,3.7889203539823157e-10,0.0532
10.0355,3.336982300884917e-10,0.0289
10.149,3.3718678414097397e-10,0.0364
10.262,3.9119999999999545e-10,0.0619
10.377,3.7941217391304275e-10,0.062
10.4905,4.0446784140969107e-10,0.0338
10.6055,4.2504086956522313e-10,0.0464
10.721,5.339740259740221e-10,0.0594
10.836,7.00105217391303e-10,0.0509
10.952,5.871793103448293e-10,0.0452
11.0685,5.562866952789687e-10,0.057
11.1845,4.326482758620703e-10,0.0461
11.3015,4.2287606837606523e-10,0.0587
11.419,3.921778723404265e-10,0.0619
11.537,3.3313728813559226e-10,0.0748
11.655,3.513949152542416e-10,0.1128
11.7725,2.7898297872340073e-10,0.0681
11.8915,2.636798319327736e-10,0.0792
12.0105,2.651344537815131e-10,0.062
12.13,3.225832635983253e-10,0.1842
12.249,3.3816050420168135e-10,0.1246
12.37,3.133347107438051e-10,0.0607
12.4895,4.0752384937238363e-10,0.1143
12.6105,5.01523140495866e-10,0.0687
12.7315,8.758429752066084e-10,0.3441
12.853,7.390000000000044e-10,0.0616
12.974,8.644049586776828e-10,0.023
13.097,1.1022520325203314e-09,0.0214
13.2185,1.4696625514403165e-09,0.0575
13.3415,1.3923008130081378e-09,0.0179
13.4645,1.6036260162601713e-09,0.0235
13.588,1.9460323886639683e-09,0.0145
13.712,2.7015967741935366e-09,0.0131
13.836,4.322209677419335e-09,0.0102
13.9605,7.502048192771122e-09,0.0095
14.0845,1.856104838709669e-08,0.0067
14.2105,2.552698412698424e-08,0.004
14.335,1.9736224899598208e-08,0.0065
14.461,9.578968253968296e-09,0.0081
14.587,2.526126984126995e-09,0.0128
14.7135,2.798513833992094e-10,0.0571
14.8405,2.5741496062991993e-12,0.1696
15.5,0.0,0.0
