Energy,Value,Error,Offset
5.0,4.64411035454181e-05,0.0022,on-axis
6.0,0.004339256497760623,0.0024,on-axis
7.0,0.0038681632845745015,0.0025,on-axis
8.0,0.00357814736002577,0.0027,on-axis
9.0,0.003568918033547202,0.0028,on-axis
10.0,0.003652876958669396,0.003,on-axis
11.0,0.003875651066427199,0.0034,on-axis
12.0,0.003953092249545652,0.0035,on-axis
13.0,0.00406831564629419,0.0038,on-axis
14.0,0.0043734026256677565,0.0038,on-axis
15.0,0.004732793301142078,0.0035,on-axis
16.0,0.005022271881766243,0.0038,on-axis
17.0,0.005370738657733494,0.0041,on-axis
18.0,0.0059076691831500185,0.004,on-axis
19.0,0.006314990709310006,0.0041,on-axis
20.0,0.006746749338915416,0.0043,on-axis
21.0,0.0073618116707431696,0.0046,on-axis
22.0,0.007744257930338706,0.0046,on-axis
23.0,0.008193195926025314,0.0047,on-axis
24.0,0.00845625612249572,0.0047,on-axis
25.0,0.008933468447237452,0.0048,on-axis
26.0,0.00925419174764888,0.0047,on-axis
27.0,0.009370029856675411,0.0048,on-axis
28.0,0.009550384907201576,0.0049,on-axis
29.0,0.009718585731006608,0.005,on-axis
30.0,0.009663510482766572,0.0051,on-axis
31.0,0.009509261507243426,0.0053,on-axis
32.0,0.009473963216371206,0.0054,on-axis
33.0,0.010054349144795045,0.0054,on-axis
34.0,0.011349392631519024,0.0052,on-axis
35.0,0.013092592228841567,0.005,on-axis
36.0,0.013949618979365641,0.0049,on-axis
37.0,0.014888878583526095,0.0048,on-axis
38.0,0.02472742201496647,0.0041,on-axis
39.0,0.05884663625810359,0.0032,on-axis
40.0,0.10118924993781865,0.0027,on-axis
41.0,0.09555448988496482,0.0029,on-axis
42.0,0.03927515195454136,0.0047,on-axis
43.0,0.005800897346983641,0.0116,on-axis
44.0,0.00047494688202162454,0.0454,on-axis
