Energy,Value,Error,Angle
0.488405,6.324867902770553e-08,0.0038,24.9 deg
0.50077,2.0068807361606927e-07,0.0276,24.9 deg
0.513445,2.1390260976837907e-07,0.028,24.9 deg
0.52644,2.1848330840014156e-07,0.0273,24.9 deg
0.53977,2.1409269073616358e-07,0.0273,24.9 deg
0.553435,2.1697449071866717e-07,0.0267,24.9 deg
0.567445,2.1508495015643865e-07,0.0268,24.9 deg
0.58181,2.144018944418273e-07,0.0266,24.9 deg
0.596535,2.286246393350748e-07,0.0264,24.9 deg
0.61164,2.2915698074882755e-07,0.0265,24.9 deg
0.627125,2.3896799973881075e-07,0.0261,24.9 deg
0.643,2.3999032179274313e-07,0.0255,24.9 deg
0.65928,2.46854391574841e-07,0.026,24.9 deg
0.67597,2.5054513297285286e-07,0.0251,24.9 deg
0.69308,2.513812174894348e-07,0.0252,24.9 deg
0.710625,2.4767122845592544e-07,0.0255,24.9 deg
0.728615,2.4971153415035913e-07,0.0253,24.9 deg
0.74706,2.683008629938665e-07,0.025,24.9 deg
0.76597,2.677723634149512e-07,0.0244,24.9 deg
0.78536,2.668948669569063e-07,0.0249,24.9 deg
0.805245,2.798211146247031e-07,0.0247,24.9 deg
0.82563,2.700167546672209e-07,0.0243,24.9 deg
0.84653,2.734047235513918e-07,0.0243,24.9 deg
0.86796,2.754793139742785e-07,0.0236,24.9 deg
0.88993,2.770452806463155e-07,0.023,24.9 deg
0.912455,2.937678584967219e-07,0.0236,24.9 deg
0.935555,2.928467310435397e-07,0.0233,24.9 deg
0.95924,3.0108312249239496e-07,0.0232,24.9 deg
0.983525,2.9970618862039225e-07,0.0223,24.9 deg
1.00841,3.2044032351457467e-07,0.0223,24.9 deg
1.03395,3.275078193117674e-07,0.0223,24.9 deg
1.06015,3.2588330156154453e-07,0.0219,24.9 deg
1.087,3.389329500036566e-07,0.0215,24.9 deg
1.1145,3.3785423593247034e-07,0.0215,24.9 deg
1.1427,3.47558298319697e-07,0.0215,24.9 deg
1.17165,3.501165108480841e-07,0.0212,24.9 deg
1.2013,3.587137471305964e-07,0.0212,24.9 deg
1.2317,3.697787473146189e-07,0.0208,24.9 deg
1.2629,3.729892128228153e-07,0.0203,24.9 deg
1.29485,3.8394513538449973e-07,0.0205,24.9 deg
1.3276,4.01710428519164e-07,0.0199,24.9 deg
1.3612,4.051594620950657e-07,0.0199,24.9 deg
1.39565,4.0505180783421806e-07,0.0196,24.9 deg
1.431,4.0468561373137947e-07,0.0197,24.9 deg
1.46725,4.0339537453844484e-07,0.0191,24.9 deg
1.5044,4.3191062429800524e-07,0.0191,24.9 deg
1.5425,4.3205748795936355e-07,0.0193,24.9 deg
1.58155,4.3983613033851284e-07,0.0189,24.9 deg
1.62155,4.3309265887449924e-07,0.0192,24.9 deg
1.6626,4.460931418095614e-07,0.0188,24.9 deg
1.7047,4.518625146636792e-07,0.0182,24.9 deg
1.74785,4.5937726325882653e-07,0.0183,24.9 deg
1.7921,4.631013357833468e-07,0.0179,24.9 deg
1.83745,4.866665138989017e-07,0.017,24.9 deg
1.88395,4.7178093866886345e-07,0.0175,24.9 deg
1.93165,4.829202117610383e-07,0.0171,24.9 deg
1.98055,4.95959524822545e-07,0.0167,24.9 deg
2.0307,5.527758359538341e-07,0.0169,24.9 deg
2.0821,4.388985241060057e-07,0.0207,24.9 deg
2.1348,4.7334838520134424e-07,0.0188,24.9 deg
2.18885,5.049488160594639e-07,0.0173,24.9 deg
2.24425,5.006581710122386e-07,0.0175,24.9 deg
2.3011,4.889814025390465e-07,0.0173,24.9 deg
2.35935,4.897897878435427e-07,0.0178,24.9 deg
2.41905,4.806764247549539e-07,0.0179,24.9 deg
2.4803,4.945606152809679e-07,0.0184,24.9 deg
2.5431,4.830571325630676e-07,0.0183,24.9 deg
2.6075,4.480668515670102e-07,0.019,24.9 deg
2.6735,4.1944959019621027e-07,0.0196,24.9 deg
2.74115,3.819826796863134e-07,0.0215,24.9 deg
2.81055,3.254286609011823e-07,0.0246,24.9 deg
2.8817,2.3778885916983543e-07,0.0307,24.9 deg
2.95465,1.6435969682131923e-07,0.037,24.9 deg
3.02945,4.29584803585972e-07,0.0202,24.9 deg
3.10615,4.69688909387689e-07,0.0179,24.9 deg
3.1848,3.3378489418770153e-07,0.0236,24.9 deg
3.2654,2.810940473564742e-07,0.0287,24.9 deg
3.34805,2.4452248323084795e-07,0.0312,24.9 deg
3.43285,2.2914329133063267e-07,0.0331,24.9 deg
3.51975,2.3786014050624993e-07,0.0355,24.9 deg
3.60885,2.3836404980191849e-07,0.0319,24.9 deg
3.70025,2.7919186632611144e-07,0.0322,24.9 deg
3.7939,3.2579811272413487e-07,0.0301,24.9 deg
3.8899,3.8997297708102473e-07,0.0262,24.9 deg
3.98835,4.6356026580847787e-07,0.0229,24.9 deg
4.08935,5.932321595185037e-07,0.0229,24.9 deg
4.1929,6.296381429344874e-07,0.0229,24.9 deg
4.29905,4.864277983434385e-07,0.0264,24.9 deg
4.4079,5.687377787673615e-07,0.0262,24.9 deg
4.51945,7.157673515672804e-07,0.023,24.9 deg
4.63385,8.087207519168097e-07,0.0213,24.9 deg
4.75115,8.633950390077495e-07,0.0197,24.9 deg
4.8714,8.918299202699193e-07,0.0185,24.9 deg
4.99475,8.785174831887618e-07,0.0188,24.9 deg
5.1212,8.96912847554719e-07,0.0192,24.9 deg
5.25085,8.092977470726666e-07,0.0192,24.9 deg
5.3838,7.207989398065187e-07,0.0217,24.9 deg
5.5201,6.602355535207327e-07,0.0225,24.9 deg
5.6598,6.814062458769387e-07,0.0211,24.9 deg
5.80305,6.224783667323669e-07,0.0216,24.9 deg
5.95,5.665042777517031e-07,0.0228,24.9 deg
6.10065,4.5945658806802693e-07,0.024,24.9 deg
6.25505,3.9624203642059583e-07,0.0291,24.9 deg
6.4134,3.0443735810603766e-07,0.0394,24.9 deg
6.57575,5.763650148732793e-07,0.0268,24.9 deg
6.7422,7.070867161717624e-07,0.0224,24.9 deg
6.9129,7.217108323785842e-07,0.0211,24.9 deg
7.0879,7.815319547894902e-07,0.0205,24.9 deg
7.26735,7.623084591529203e-07,0.0231,24.9 deg
7.4513,3.2639777356226913e-07,0.0378,24.9 deg
7.6399,2.940914514026656e-07,0.0397,24.9 deg
7.8333,2.7927471517945165e-07,0.0457,24.9 deg
8.0316,3.622568843690429e-07,0.0443,24.9 deg
8.23495,4.559196049430588e-07,0.0419,24.9 deg
8.44345,7.189775656718589e-07,0.0311,24.9 deg
8.6572,8.613838785838294e-07,0.0241,24.9 deg
8.87635,1.0101086947705356e-06,0.0208,24.9 deg
9.10105,1.0566392607721956e-06,0.0172,24.9 deg
