Energy,Value,Error,Cells
1e-10,0.0,,5.04 cm
1.05e-10,0.0,,5.04 cm
1.1e-10,0.0,,5.04 cm
1.15e-10,0.0,,5.04 cm
1.2e-10,0.0,,5.04 cm
1.275e-10,0.0,,5.04 cm
1.35e-10,0.0,,5.04 cm
1.425e-10,0.0,,5.04 cm
1.5e-10,0.0,,5.04 cm
1.6e-10,0.0,,5.04 cm
1.7e-10,0.0,,5.04 cm
1.8e-10,0.0,,5.04 cm
1.9e-10,0.0,,5.04 cm
2e-10,0.0,,5.04 cm
2.1e-10,0.0,,5.04 cm
2.2e-10,0.0,,5.04 cm
2.3e-10,0.0,,5.04 cm
2.4e-10,0.0,,5.04 cm
2.55e-10,0.0,,5.04 cm
2.7e-10,0.0,,5.04 cm
2.8e-10,0.0,,5.04 cm
3e-10,0.0,,5.04 cm
3.2e-10,0.0,,5.04 cm
3.4e-10,0.0,,5.04 cm
3.6e-10,0.0,,5.04 cm
3.8e-10,0.0,,5.04 cm
4e-10,0.0,,5.04 cm
4.25e-10,0.0,,5.04 cm
4.5e-10,0.0,,5.04 cm
4.75e-10,0.0,,5.04 cm
5e-10,0.0,,5.04 cm
5.25e-10,0.0,,5.04 cm
5.5e-10,0.0,,5.04 cm
5.75e-10,0.0,,5.04 cm
6e-10,0.0,,5.04 cm
6.3e-10,0.0,,5.04 cm
6.6e-10,0.0,,5.04 cm
6.9e-10,0.0,,5.04 cm
7.2e-10,0.0,,5.04 cm
7.6e-10,0.0,,5.04 cm
8e-10,0.0,,5.04 cm
8.4e-10,0.0,,5.04 cm
8.8e-10,0.0,,5.04 cm
9.2e-10,0.0,,5.04 cm
9.6e-10,0.0,,5.04 cm
1e-09,0.0,,5.04 cm
1.05e-09,0.0,,5.04 cm
1.1e-09,0.0,,5.04 cm
1.15e-09,0.0,,5.04 cm
1.2e-09,0.0,,5.04 cm
1.275e-09,0.0,,5.04 cm
1.35e-09,0.0,,5.04 cm
1.425e-09,0.0,,5.04 cm
1.5e-09,0.0,,5.04 cm
1.6e-09,0.0,,5.04 cm
1.7e-09,0.0,,5.04 cm
1.8e-09,0.0,,5.04 cm
1.9e-09,0.0,,5.04 cm
2e-09,0.0,,5.04 cm
2.1e-09,0.0,,5.04 cm
2.2e-09,0.0,,5.04 cm
2.3e-09,0.0,,5.04 cm
2.4e-09,0.0,,5.04 cm
2.55e-09,0.0,,5.04 cm
2.7e-09,0.0,,5.04 cm
2.8e-09,0.0,,5.04 cm
3e-09,0.0,,5.04 cm
3.2e-09,0.0,,5.04 cm
3.4e-09,0.0,,5.04 cm
3.6e-09,0.0,,5.04 cm
3.8e-09,0.0,,5.04 cm
4e-09,0.0,,5.04 cm
4.25e-09,0.0,,5.04 cm
4.5e-09,0.0,,5.04 cm
4.75e-09,0.0,,5.04 cm
5e-09,0.0,,5.04 cm
5.25e-09,0.0,,5.04 cm
5.5e-09,0.0,,5.04 cm
5.75e-09,0.0,,5.04 cm
6e-09,0.0,,5.04 cm
6.3e-09,0.0,,5.04 cm
6.6e-09,0.0,,5.04 cm
6.9e-09,0.0,,5.04 cm
7.2e-09,0.0,,5.04 cm
7.6e-09,0.0,,5.04 cm
8e-09,0.0,,5.04 cm
8.4e-09,0.0,,5.04 cm
8.8e-09,0.0,,5.04 cm
9.2e-09,0.0,,5.04 cm
9.6e-09,0.0,,5.04 cm
1e-08,0.0,,5.04 cm
1.05e-08,0.0,,5.04 cm
1.1e-08,0.0,,5.04 cm
1.15e-08,0.0,,5.04 cm
1.2e-08,0.0,,5.04 cm
1.275e-08,0.0,,5.04 cm
1.35e-08,0.0,,5.04 cm
1.425e-08,0.0,,5.04 cm
1.5e-08,0.0,,5.04 cm
1.6e-08,0.0,,5.04 cm
1.7e-08,0.0,,5.04 cm
1.8e-08,0.0,,5.04 cm
1.9e-08,0.0,,5.04 cm
2e-08,0.0,,5.04 cm
2.1e-08,0.0,,5.04 cm
2.2e-08,0.0,,5.04 cm
2.3e-08,0.0,,5.04 cm
2.4e-08,0.0,,5.04 cm
2.55e-08,0.0,,5.04 cm
2.7e-08,0.0,,5.04 cm
2.8e-08,0.0,,5.04 cm
3e-08,0.0,,5.04 cm
3.2e-08,0.0,,5.04 cm
3.4e-08,0.0,,5.04 cm
3.6e-08,0.0,,5.04 cm
3.8e-08,0.0,,5.04 cm
4e-08,0.0,,5.04 cm
4.25e-08,0.0,,5.04 cm
4.5e-08,0.0,,5.04 cm
4.75e-08,0.0,,5.04 cm
5e-08,0.0,,5.04 cm
5.25e-08,0.0,,5.04 cm
5.5e-08,0.0,,5.04 cm
5.75e-08,0.0,,5.04 cm
6e-08,0.0,,5.04 cm
6.3e-08,0.0,,5.04 cm
6.6e-08,0.0,,5.04 cm
6.9e-08,0.0,,5.04 cm
7.2e-08,0.0,,5.04 cm
7.6e-08,0.0,,5.04 cm
8e-08,0.0,,5.04 cm
8.4e-08,0.0,,5.04 cm
8.8e-08,0.0,,5.04 cm
9.2e-08,0.0,,5.04 cm
9.6e-08,0.0,,5.04 cm
1e-07,0.0,,5.04 cm
1.05e-07,0.0,,5.04 cm
1.1e-07,0.0,,5.04 cm
1.15e-07,0.0,,5.04 cm
1.2e-07,0.0,,5.04 cm
1.275e-07,0.0,,5.04 cm
1.35e-07,0.0,,5.04 cm
1.425e-07,0.0,,5.04 cm
1.5e-07,0.0,,5.04 cm
1.6e-07,0.0,,5.04 cm
1.7e-07,0.0,,5.04 cm
1.8e-07,0.0,,5.04 cm
1.9e-07,0.0,,5.04 cm
2e-07,0.0,,5.04 cm
2.1e-07,0.0,,5.04 cm
2.2e-07,0.0,,5.04 cm
2.3e-07,0.0,,5.04 cm
2.4e-07,0.0,,5.04 cm
2.55e-07,2.9494850945625704e-11,0.7944118356785594,5.04 cm
2.7e-07,2.9494850945625704e-11,0.7944118356785594,5.04 cm
2.8e-07,2.9494850945625704e-11,0.7944118356785594,5.04 cm
3e-07,5.984687084375983e-11,0.5624185967635998,5.04 cm
3.2e-07,5.984687084375983e-11,0.5624185967635998,5.04 cm
3.4e-07,6.437253570559983e-11,0.5275858365221686,5.04 cm
3.6e-07,6.951545674371745e-11,0.4941263578904095,5.04 cm
3.8e-07,6.951545674371745e-11,0.4941263578904095,5.04 cm
4e-07,8.454042646137024e-11,0.436399215214496,5.04 cm
4.25e-07,8.712739646515199e-11,0.4244827499143818,5.04 cm
4.5e-07,9.364522614149413e-11,0.4010274901996781,5.04 cm
4.75e-07,1.0469634799125499e-10,0.3663854804430938,5.04 cm
5e-07,1.0997805273640922e-10,0.3520830693126787,5.04 cm
5.25e-07,1.2494621149418658e-10,0.3213081058455801,5.04 cm
5.5e-07,1.355979421015607e-10,0.30126433362738775,5.04 cm
5.75e-07,1.7016972810907027e-10,0.25538374476548703,5.04 cm
6e-07,1.7016972810907027e-10,0.25538374476548703,5.04 cm
6.3e-07,1.8685449535672083e-10,0.23834326281747842,5.04 cm
6.6e-07,2.6604415422253045e-10,0.22021862146614998,5.04 cm
6.9e-07,2.9023042411245725e-10,0.2069201211298118,5.04 cm
7.2e-07,2.949744172928527e-10,0.20422798800966438,5.04 cm
7.6e-07,3.160292262965965e-10,0.1938987168905458,5.04 cm
8e-07,3.5414831458826785e-10,0.1799303948036139,5.04 cm
8.4e-07,3.9349110910211694e-10,0.16891262597871123,5.04 cm
8.8e-07,4.082709019937495e-10,0.16371781974783445,5.04 cm
9.2e-07,4.508556282978133e-10,0.1541961041383901,5.04 cm
9.6e-07,4.5634682924981643e-10,0.15281662661492704,5.04 cm
1e-06,4.87267097762104e-10,0.14602699156852025,5.04 cm
1.05e-06,5.105917038682762e-10,0.1410315858767952,5.04 cm
1.1e-06,5.378498897149897e-10,0.13551720619225163,5.04 cm
1.15e-06,5.754547600443957e-10,0.12908188647777463,5.04 cm
1.2e-06,6.105479464764715e-10,0.12399061213319398,5.04 cm
1.275e-06,6.954650397962782e-10,0.11477885661921733,5.04 cm
1.35e-06,7.505188450236655e-10,0.1094366565174059,5.04 cm
1.425e-06,8.555950247906161e-10,0.10359753541649006,5.04 cm
1.5e-06,9.245721490341243e-10,0.09823626832668822,5.04 cm
1.6e-06,1.0011886328576162e-09,0.09300270056170262,5.04 cm
1.7e-06,1.0484867689542144e-09,0.08987668443845012,5.04 cm
1.8e-06,1.1563909853289922e-09,0.08367641179467242,5.04 cm
1.9e-06,1.2100550999473553e-09,0.08107042649440238,5.04 cm
2e-06,1.3008520812758004e-09,0.07763026875141199,5.04 cm
2.1e-06,1.3412208557754583e-09,0.07587661622395234,5.04 cm
2.2e-06,1.4593959932402725e-09,0.07949551602531416,5.04 cm
2.3e-06,1.5465795009544565e-09,0.07637883004469125,5.04 cm
2.4e-06,1.6228155459683424e-09,0.07460321923354145,5.04 cm
2.55e-06,1.708377207356556e-09,0.07212831651089381,5.04 cm
2.7e-06,1.7975282463564739e-09,0.06947043639884361,5.04 cm
2.8e-06,1.921893739555184e-09,0.07078590114893503,5.04 cm
3e-06,2.067150003586382e-09,0.06691886176781989,5.04 cm
3.2e-06,2.1561453453390064e-09,0.06463263626409266,5.04 cm
3.4e-06,2.2768672449202584e-09,0.06266831861979012,5.04 cm
3.6e-06,2.3832395115939913e-09,0.06061953256912164,5.04 cm
3.8e-06,2.468287279389205e-09,0.05905869794983876,5.04 cm
4e-06,2.6032286007872335e-09,0.05695430372674603,5.04 cm
4.25e-06,2.7491058002689455e-09,0.05487533537337691,5.04 cm
4.5e-06,2.908320137166107e-09,0.052526017117280145,5.04 cm
4.75e-06,3.0231538078147585e-09,0.05102563153833364,5.04 cm
5e-06,3.1071098413402615e-09,0.04986552025065167,5.04 cm
