Cells,Value,Error
Blanket_outboard_t3_1,0.112733,0.0002
Blanket_outboard_t3_2,0.0836409,0.0002
Blanket_outboard_t3_3,0.0836125,0.0002
Blanket_outboard_b2_1,0.0868064,0.0002
Blanket_outboard_b2_2,0.0638369,0.0002
Blanket_outboard_b2_3,0.0638696,0.0002
Blanket_outboard_m2_1,0.14367,0.0002
Blanket_outboard_m2_2,0.143555,0.0002
Blanket_outboard_m3_1,0.138416,0.0002
Blanket_outboard_m3_2,0.138359,0.0002
Blanket_outboard_t4,0.0714151,0.0002
Blanket_outboard_b1,0.0724089,0.0002
Blanket_t1_1,0.0286175,0.0003
Blanket_t1_2,0.0286249,0.0003
Blanket_outboard_t2_1,0.0348976,0.0003
Blanket_outboard_t2_2,0.0298161,0.0003
Blanket_outboard_t2_3,0.0298242,0.0003
Blanket_outboard_m1_1,0.0359163,0.0003
Blanket_outboard_m1_2,0.0359085,0.0003
Blanket_outboard_m4_1,0.0367158,0.0003
Blanket_outboard_m4_2,0.0367356,0.0003
Blanket_inboard_m_1,0.0997655,0.0002
Blanket_inboard_m_2,0.0609955,0.0002
Blanket_inboard_m_3,0.061014,0.0002
Blanket_inboard_b1_1,0.0396204,0.0003
Blanket_inboard_b1_2,0.0281537,0.0003
Blanket_inboard_b1_3,0.0281556,0.0003
Blanket_inboard_t2_1,0.0070723,0.0006
Blanket_inboard_t2_2,0.00592213,0.0007
Blanket_inboard_t2_3,0.00593122,0.0007
Blanket_inboard_t4_1,0.0385225,0.0003
Blanket_inboard_t4_2,0.0270361,0.0004
Blanket_inboard_t4_3,0.0270377,0.0004
Blanket_inboard_t3_1,0.0159838,0.0004
Blanket_inboard_t3_2,0.0126092,0.0005
Blanket_inboard_t3_3,0.0126122,0.0005
Blanket_inboard_b2_1,0.0114516,0.0005
Blanket_inboard_b2_2,0.00911364,0.0006
Blanket_inboard_b2_3,0.00911297,0.0006
Blanket_t1_3,0.00292067,0.0009
