Energy,Value,Error
0.01,1.78187e-13,1.0
0.02,9.01151e-08,0.0033
0.05,5.3513e-09,0.0109
0.1,2.2196e-07,0.0016
0.2,5.71403e-06,0.0003
0.3,3.01287e-06,0.0004
0.4,6.08685e-06,0.0003
0.6,2.55025e-05,0.0002
0.8,2.51662e-05,0.0002
1.0,2.56718e-05,0.0002
1.22,2.08646e-05,0.0002
1.44,2.13675e-05,0.0002
1.66,1.43271e-05,0.0002
2.0,1.71852e-05,0.0002
2.5,1.54328e-05,0.0002
3.0,9.76199e-06,0.0002
4.0,9.37526e-06,0.0002
5.0,3.64657e-06,0.0003
6.5,1.54109e-06,0.0004
8.0,2.62628e-07,0.0009
10.0,4.34078e-08,0.0022
12.0,3.50236e-10,0.0246
14.0,2.54623e-10,0.0311
20.0,1.73674e-10,0.0383
