Energy,Value,Error
1e-07,2.95244e-10,0.0112
4.14e-07,1.61937e-09,0.0057
5.316e-07,6.15052e-10,0.0098
6.826e-07,7.72729e-10,0.0085
8.764e-07,9.86945e-10,0.0079
1.125e-06,1.2371e-09,0.007
1.445e-06,1.57386e-09,0.0066
1.855e-06,1.9265e-09,0.0059
2.382e-06,2.40186e-09,0.0055
3.059e-06,2.94712e-09,0.0049
3.928e-06,3.68596e-09,0.0044
5.043e-06,4.55781e-09,0.004
6.476e-06,5.65255e-09,0.0036
8.315e-06,6.9295e-09,0.0032
1.068e-05,8.57024e-09,0.0029
1.371e-05,1.04489e-08,0.0026
1.76e-05,1.27767e-08,0.0024
2.26e-05,1.56424e-08,0.0022
2.902e-05,1.90548e-08,0.002
3.727e-05,2.32848e-08,0.0019
4.785e-05,2.83167e-08,0.0016
6.144e-05,3.43828e-08,0.0015
7.889e-05,4.18411e-08,0.0014
0.0001013,5.06653e-08,0.0012
0.0001301,6.1392e-08,0.0011
0.000167,7.38282e-08,0.001
0.0002145,8.92944e-08,0.0009
0.0002754,1.07293e-07,0.0008
0.0003536,1.28995e-07,0.0008
0.000454,1.54248e-07,0.0007
0.0005829,1.8449e-07,0.0006
0.0007485,2.19788e-07,0.0006
0.0009611,2.61102e-07,0.0005
0.001234,3.09336e-07,0.0005
0.001585,3.65779e-07,0.0005
0.002035,4.29332e-07,0.0004
0.002249,1.91848e-07,0.0006
0.002485,2.03745e-07,0.0006
0.002613,1.07377e-07,0.0008
0.002747,1.10203e-07,0.0008
0.003035,2.29814e-07,0.0006
0.003355,2.45398e-07,0.0006
0.003707,2.58935e-07,0.0005
0.004307,4.19225e-07,0.0004
0.005531,7.82287e-07,0.0003
0.007102,8.93255e-07,0.0003
0.009119,1.01287e-06,0.0003
0.01059,6.64204e-07,0.0003
0.01171,4.72044e-07,0.0004
0.01503,1.25667e-06,0.0002
0.0193,1.3686e-06,0.0002
0.02187,7.4017e-07,0.0003
0.02358,4.57825e-07,0.0004
0.02418,1.54674e-07,0.0007
0.02479,1.54315e-07,0.0007
0.02606,3.12123e-07,0.0005
0.027,2.23353e-07,0.0006
0.0285,3.43552e-07,0.0005
0.03183,7.10093e-07,0.0003
0.03431,4.96267e-07,0.0004
0.04087,9.91792e-07,0.0003
0.04631,8.52727e-07,0.0003
0.05248,8.63982e-07,0.0003
0.05656,4.88473e-07,0.0004
0.06738,1.18063e-06,0.0002
0.07202,4.69455e-07,0.0004
0.0795,7.24033e-07,0.0003
0.0825,2.81736e-07,0.0005
0.08652,3.71924e-07,0.0004
0.09804,1.04244e-06,0.0003
0.1111,1.16104e-06,0.0002
0.1168,5.07208e-07,0.0004
0.1228,5.32596e-07,0.0004
0.1291,5.52957e-07,0.0004
0.1357,5.62894e-07,0.0003
0.1426,5.26037e-07,0.0004
0.15,4.53521e-07,0.0004
0.1576,3.76354e-07,0.0004
0.1657,2.4598e-07,0.0006
0.1742,4.46332e-07,0.0004
0.1832,4.87036e-07,0.0004
0.1925,4.7657e-07,0.0004
0.2024,5.3238e-07,0.0004
0.2128,5.41962e-07,0.0004
0.2237,5.45767e-07,0.0004
0.2352,5.49478e-07,0.0003
0.2472,5.43294e-07,0.0004
0.2732,1.06116e-06,0.0003
0.2872,5.01003e-07,0.0004
0.2945,2.39915e-07,0.0005
0.2972,8.52785e-08,0.0009
0.2985,4.0074e-08,0.0013
0.302,1.05111e-07,0.0008
0.3337,7.64604e-07,0.0003
0.3688,5.52615e-07,0.0003
0.3877,2.59858e-07,0.0005
0.4076,1.24389e-07,0.0008
0.4505,4.48751e-07,0.0004
0.4979,4.55051e-07,0.0004
0.5234,1.37362e-07,0.0007
0.5502,1.29207e-07,0.0008
0.5784,1.61761e-07,0.0007
0.6081,1.84497e-07,0.0006
0.6393,2.60109e-07,0.0005
0.6721,1.23127e-07,0.0008
0.7065,1.59158e-07,0.0007
0.7427,1.66125e-07,0.0007
0.7808,2.02208e-07,0.0006
0.8209,4.02947e-07,0.0004
0.8629,3.58347e-07,0.0004
0.9072,2.42147e-07,0.0005
0.9617,4.47541e-07,0.0004
1.003,3.98204e-07,0.0004
1.108,7.43531e-07,0.0003
1.165,1.41262e-07,0.0007
1.225,1.32723e-07,0.0007
1.287,1.03513e-07,0.0008
1.353,1.38222e-07,0.0006
1.423,1.29546e-07,0.0007
1.496,1.20482e-07,0.0007
1.572,1.08696e-07,0.0007
1.653,1.60438e-07,0.0006
1.738,1.89311e-07,0.0005
1.827,1.60368e-07,0.0005
1.921,7.24612e-08,0.0009
2.019,7.93915e-08,0.0009
2.122,1.15934e-07,0.0007
2.231,9.92211e-08,0.0007
2.307,7.03145e-08,0.0008
2.346,3.33683e-08,0.0012
2.365,1.68481e-08,0.0017
2.385,1.32108e-08,0.002
2.466,7.17713e-08,0.0008
2.592,6.08709e-08,0.0009
2.725,6.95692e-08,0.0008
2.865,7.09928e-08,0.0008
3.012,7.70372e-08,0.0008
3.166,6.14282e-08,0.0009
3.329,7.56742e-08,0.0008
3.679,1.56919e-07,0.0005
4.066,1.52511e-07,0.0005
4.493,1.35277e-07,0.0005
4.724,5.55512e-08,0.0009
4.966,4.67307e-08,0.0009
5.22,4.98051e-08,0.0009
5.488,6.95415e-08,0.0007
5.77,5.2203e-08,0.0008
6.065,4.97655e-08,0.0009
6.376,5.37068e-08,0.0008
6.592,4.31393e-08,0.0009
6.703,2.31134e-08,0.0012
7.047,5.61051e-08,0.0008
7.408,5.74795e-08,0.0008
7.788,5.3034e-08,0.0008
8.187,5.1678e-08,0.0008
8.607,5.20134e-08,0.0008
9.048,5.25237e-08,0.0007
9.512,5.25331e-08,0.0007
10.0,6.12343e-08,0.0007
10.51,8.70975e-08,0.0005
11.05,9.31032e-08,0.0005
11.62,9.79787e-08,0.0005
12.21,9.75489e-08,0.0005
12.52,4.89781e-08,0.0007
12.84,5.01918e-08,0.0007
13.5,9.44217e-08,0.0005
13.84,4.28312e-08,0.0008
14.19,1.21934e-08,0.0015
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
