Energy,Value,Error
0.01,4.4570200445702004e-10,0.1259
0.02,4.27776e-12,1.0
0.05,3.9559e-08,0.0099
0.1,5.5264399999999996e-06,0.0006
0.2,1.0164399999999999e-05,0.0003
0.3,6.880640000000002e-06,0.0004
0.4,5.1976399999999986e-06,0.0004
0.6,4.111880000000001e-06,0.0003
0.8,2.586379999999999e-06,0.0004
1.0,1.9369650000000004e-06,0.0004
1.22,1.6116363636363638e-06,0.0004
1.44,1.4143000000000004e-06,0.0004
1.66,2.2755909090909093e-06,0.0004
2.0,2.426417647058823e-06,0.0003
2.5,9.75972e-07,0.0003
3.0,7.18234e-07,0.0004
4.0,3.84915e-07,0.0004
5.0,1.42796e-07,0.0006
6.5,6.891333333333333e-08,0.0007
8.0,2.6845933333333335e-08,0.0011
10.0,8.53655e-10,0.0056
12.0,1.34355e-10,0.0133
14.0,1.509615e-10,0.0131
20.0,2.0410833333333333e-11,0.0193
