Energy,Value,Error
0.01,4.41442e-12,0.1361
0.02,0.0,0.0
0.05,1.21272e-09,0.0106
0.1,2.85918e-07,0.0007
0.2,1.05578e-06,0.0003
0.3,7.00322e-07,0.0004
0.4,5.26825e-07,0.0005
0.6,8.82964e-07,0.0003
0.8,4.97316e-07,0.0004
1.0,5.23773e-07,0.0004
1.22,2.74807e-07,0.0005
1.44,2.78479e-07,0.0005
1.66,2.10355e-07,0.0005
2.0,2.79963e-07,0.0005
2.5,3.92471e-07,0.0004
3.0,3.04133e-07,0.0004
4.0,1.3765e-06,0.0002
5.0,2.13835e-07,0.0006
6.5,2.20535e-07,0.0005
8.0,2.35625e-08,0.0016
10.0,3.99608e-08,0.0013
12.0,3.67592e-09,0.0043
14.0,8.11945e-12,0.0818
20.0,2.30059e-13,0.4562
