Energy,Value,Error
0.01,3.3232100332321e-12,1.0
0.02,2.33417e-11,0.4117
0.05,1.4481566666666664e-10,0.1058
0.1,2.94888e-10,0.0567
0.2,7.97773e-08,0.0025
0.3,5.978680000000001e-10,0.0286
0.4,5.717099999999998e-09,0.0092
0.6,1.6969450000000006e-08,0.0038
0.8,3.331479999999999e-09,0.0086
1.0,4.91686e-09,0.007
1.22,7.424545454545455e-09,0.0055
1.44,1.5322454545454548e-08,0.0039
1.66,6.691727272727274e-08,0.0018
2.0,4.029235294117646e-09,0.006
2.5,4.919e-09,0.0049
3.0,4.7836e-09,0.0046
4.0,2.79993e-09,0.0042
5.0,2.04559e-09,0.0049
6.5,1.06382e-09,0.0056
8.0,1.8845666666666667e-10,0.0131
10.0,5.3549e-12,0.0652
12.0,9.42865e-13,0.1624
14.0,9.06305e-13,0.1577
20.0,1.11586e-12,0.0889
