Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,1.1330877337259747e-13,0.7123
8.764e-07,1.5999451250371915e-12,0.2248
1.125e-06,5.180170746844014e-11,0.051
1.445e-06,1.0474728974181921e-10,0.0356
1.855e-06,1.3303993665182068e-10,0.0331
2.382e-06,1.8172985616089337e-10,0.0278
3.059e-06,2.3367164564826234e-10,0.0243
3.928e-06,2.832308486508757e-10,0.0227
5.043e-06,3.820935383819504e-10,0.0196
6.476e-06,5.023952383289977e-10,0.0173
8.315e-06,6.369748160152587e-10,0.0153
1.068e-05,8.26633284556735e-10,0.0134
1.371e-05,1.042275185201402e-09,0.0123
1.76e-05,1.3609375076490064e-09,0.0112
2.26e-05,1.7807726922106681e-09,0.0092
2.902e-05,2.292887866568914e-09,0.0087
3.727e-05,2.9387402646803294e-09,0.0072
4.785e-05,3.786877280305524e-09,0.0064
6.144e-05,4.840394178405777e-09,0.0057
7.889e-05,6.229964763439967e-09,0.0051
0.0001013,8.008217057656609e-09,0.0044
0.0001301,1.02282829033875e-08,0.0039
0.000167,1.3189212101196824e-08,0.0035
0.0002145,1.6715396689596814e-08,0.003
0.0002754,2.146014950491333e-08,0.0027
0.0003536,2.7341651209645792e-08,0.0024
0.000454,3.483395266388224e-08,0.0021
0.0005829,4.4406085796255795e-08,0.0018
0.0007485,5.6573427391198196e-08,0.0016
0.0009611,7.136672808984095e-08,0.0014
0.001234,1.285624158284272e-07,0.0011
0.001585,6.108416153065512e-07,0.0005
0.002035,1.0597395226619484e-07,0.0013
0.002249,2.9718015165265513e-09,0.0231
0.002485,2.761592563002045e-08,0.0058
0.002613,7.173568556437981e-08,0.0047
0.002747,1.128344839967026e-07,0.0035
0.003035,1.7544680094200303e-07,0.0019
0.003355,2.515643753074386e-07,0.0016
0.003707,3.5937040571523685e-07,0.0012
0.004307,5.648609821447292e-07,0.0008
0.005531,7.981104802547176e-07,0.0005
0.007102,3.365658944209233e-07,0.0008
0.009119,7.471566714872078e-07,0.0005
0.01059,9.344365766448455e-07,0.0006
0.01171,1.0506896351592288e-06,0.0007
0.01503,1.7326093414921863e-06,0.0003
0.0193,1.6686922580659878e-06,0.0003
0.02187,1.6810715787663072e-06,0.0005
0.02358,2.645123602674992e-06,0.0005
0.02418,3.6714085758818125e-06,0.0007
0.02479,4.560476673259609e-06,0.0006
0.02606,1.1730777065207837e-06,0.001
0.027,2.08146994235966e-06,0.0008
0.0285,2.235439461477312e-06,0.0006
0.03183,2.9410211938436304e-06,0.0004
0.03431,4.239345706998992e-06,0.0004
0.04087,5.462460305911163e-06,0.0002
0.04631,3.902694192167892e-06,0.0003
0.05248,5.554901537543723e-06,0.0003
0.05656,7.589460850331352e-06,0.0003
0.06738,6.6734947152284636e-06,0.0002
0.07202,9.363693854505263e-06,0.0003
0.0795,6.711767713070726e-06,0.0003
0.0825,4.1989919067091335e-06,0.0006
0.08652,5.817100906337161e-06,0.0004
0.09804,6.548138222435297e-06,0.0002
0.1111,2.2544615482516247e-06,0.0004
0.1168,2.0339430727682586e-06,0.0007
0.1228,2.151198100168585e-06,0.0007
0.1291,2.0756628897340936e-06,0.0007
0.1357,2.1907260619042e-06,0.0007
0.1426,2.319296258145328e-06,0.0007
0.15,2.452216249400555e-06,0.0006
0.1576,2.5978412361471313e-06,0.0006
0.1657,2.7658113634770474e-06,0.0006
0.1742,2.9475579686854254e-06,0.0006
0.1832,3.158370888066503e-06,0.0006
0.1925,3.421160411528946e-06,0.0006
0.2024,3.7434259173960564e-06,0.0005
0.2128,4.138498507304619e-06,0.0005
0.2237,4.629441394903769e-06,0.0005
0.2352,5.322384805908408e-06,0.0004
0.2472,5.364668442848228e-06,0.0005
0.2732,4.856929053908815e-06,0.0003
0.2872,5.242551737460384e-06,0.0005
0.2945,5.443071589592684e-06,0.0006
0.2972,5.555838162198602e-06,0.0011
0.2985,5.5810127940341905e-06,0.0015
0.302,5.631622534971982e-06,0.0009
0.3337,5.958250814856641e-06,0.0003
0.3688,6.585792728864314e-06,0.0003
0.3877,7.119864872386364e-06,0.0004
0.4076,7.504087047906538e-06,0.0004
0.4505,8.060854265439274e-06,0.0003
0.4979,8.872746504685425e-06,0.0002
0.5234,9.54096371235393e-06,0.0003
0.5502,9.994601395611178e-06,0.0003
0.5784,1.0469867556202908e-05,0.0003
0.6081,1.0965443234891441e-05,0.0003
0.6393,1.141918404109007e-05,0.0003
0.6721,1.1855821366497904e-05,0.0003
0.7065,1.2253029614503864e-05,0.0003
0.7427,1.2576699427405007e-05,0.0003
0.7808,1.2798089876920463e-05,0.0003
0.8209,1.2804233385507448e-05,0.0003
0.8629,1.2484390463611952e-05,0.0003
0.9072,1.1805599682202853e-05,0.0003
0.9617,1.0508056329269081e-05,0.0003
1.003,8.290859050096198e-06,0.0004
1.108,6.005439112671318e-06,0.0003
1.165,6.037357252507488e-06,0.0004
1.225,6.031351368874568e-06,0.0004
1.287,6.042421742786365e-06,0.0004
1.353,5.986792283680511e-06,0.0004
1.423,5.783660249745491e-06,0.0004
1.496,5.668995199440739e-06,0.0004
1.572,5.5383829281341515e-06,0.0004
1.653,5.349309002960453e-06,0.0004
1.738,5.155812926403945e-06,0.0005
1.827,4.823824416858555e-06,0.0005
1.921,4.655395196578558e-06,0.0005
2.019,4.550786375819861e-06,0.0005
2.122,4.477326594099194e-06,0.0005
2.231,4.39167810233489e-06,0.0005
2.307,4.305801108811852e-06,0.0006
2.346,4.251388296306335e-06,0.0008
2.365,4.228359918333704e-06,0.0012
2.385,4.2104463680578685e-06,0.0012
2.466,4.1731489862061e-06,0.0006
2.592,4.118226457328819e-06,0.0005
2.725,3.970450871240689e-06,0.0005
2.865,3.8895669298587895e-06,0.0005
3.012,3.832843436559132e-06,0.0005
3.166,3.784063344348836e-06,0.0005
3.329,3.75262455938427e-06,0.0005
3.679,3.669116783015759e-06,0.0004
4.066,3.628969964287566e-06,0.0004
4.493,3.6334836350060483e-06,0.0003
4.724,3.658821552443508e-06,0.0005
4.966,3.693424212508106e-06,0.0005
5.22,3.734941065556901e-06,0.0005
5.488,3.7790547242047597e-06,0.0005
5.77,3.832068163517726e-06,0.0005
6.065,3.885327613421081e-06,0.0005
6.376,3.946794881936757e-06,0.0004
6.592,3.999087387054368e-06,0.0005
6.703,4.025464778578444e-06,0.0008
7.047,4.065334280481907e-06,0.0004
7.408,4.088132905105608e-06,0.0004
7.788,4.121775332707557e-06,0.0004
8.187,4.18662101577247e-06,0.0004
8.607,4.293190460075565e-06,0.0004
9.048,4.385114090269477e-06,0.0004
9.512,4.5450327629351055e-06,0.0004
10.0,5.035564636594692e-06,0.0004
10.51,1.006244371584589e-05,0.0003
11.05,1.0581810027893788e-05,0.0002
11.62,1.1162283823043904e-05,0.0002
12.21,1.1715624048257867e-05,0.0002
12.52,1.2092017480537548e-05,0.0003
12.84,1.240474032036007e-05,0.0003
13.5,1.2654279396768001e-05,0.0002
13.84,1.239125636131962e-05,0.0003
14.19,5.164819649368416e-06,0.0005
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
