Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,0.0,0.0
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,1.79522e-14,1.0
0.000454,1.64459e-14,1.0
0.0005829,7.82667e-14,0.5853
0.0007485,9.74717e-14,0.541
0.0009611,3.48449e-13,0.2919
0.001234,8.67325e-13,0.2122
0.001585,1.49384e-12,0.1346
0.002035,3.06785e-12,0.1158
0.002249,3.23858e-12,0.1198
0.002485,3.06094e-12,0.1226
0.002613,2.27277e-12,0.1191
0.002747,2.95401e-12,0.1106
0.003035,7.96567e-12,0.1018
0.003355,1.0633e-11,0.096
0.003707,1.21291e-11,0.0657
0.004307,2.70409e-11,0.0376
0.005531,7.63466e-11,0.025
0.007102,1.48917e-10,0.0192
0.009119,2.85296e-10,0.0139
0.01059,2.74009e-10,0.0148
0.01171,2.44901e-10,0.0136
0.01503,9.19918e-10,0.0074
0.0193,1.55734e-09,0.0055
0.02187,1.14004e-09,0.0061
0.02358,8.28e-10,0.0074
0.02418,3.09356e-10,0.0114
0.02479,3.15233e-10,0.0113
0.02606,6.84769e-10,0.0077
0.027,5.32204e-10,0.0088
0.0285,8.87635e-10,0.0068
0.03183,2.10803e-09,0.0044
0.03431,1.7286e-09,0.0049
0.04087,5.06936e-09,0.0028
0.04631,4.77762e-09,0.0027
0.05248,6.01224e-09,0.0025
0.05656,4.25484e-09,0.0028
0.06738,1.22681e-08,0.0016
0.07202,5.58766e-09,0.0024
0.0795,9.4285e-09,0.0019
0.0825,3.88515e-09,0.003
0.08652,5.29917e-09,0.0025
0.09804,1.55891e-08,0.0014
0.1111,1.73305e-08,0.0014
0.1168,7.73617e-09,0.002
0.1228,8.25831e-09,0.0019
0.1291,8.87654e-09,0.0019
0.1357,9.44846e-09,0.0018
0.1426,9.96777e-09,0.0018
0.15,1.08663e-08,0.0017
0.1576,1.12607e-08,0.0016
0.1657,1.21335e-08,0.0016
0.1742,1.28427e-08,0.0015
0.1832,1.36892e-08,0.0015
0.1925,1.41987e-08,0.0014
0.2024,1.52145e-08,0.0014
0.2128,1.59866e-08,0.0014
0.2237,1.66965e-08,0.0013
0.2352,1.75432e-08,0.0013
0.2472,1.82444e-08,0.0013
0.2732,3.90539e-08,0.0009
0.2872,2.0616e-08,0.0012
0.2945,1.06273e-08,0.0017
0.2972,3.8941e-09,0.0028
0.2985,1.88034e-09,0.004
0.302,5.04791e-09,0.0024
0.3337,4.46147e-08,0.0008
0.3688,4.70402e-08,0.0008
0.3877,2.42665e-08,0.0011
0.4076,2.47862e-08,0.0011
0.4505,5.0714e-08,0.0008
0.4979,5.14683e-08,0.0007
0.5234,2.57109e-08,0.001
0.5502,2.57648e-08,0.0011
0.5784,2.57899e-08,0.001
0.6081,2.58105e-08,0.001
0.6393,2.5506e-08,0.001
0.6721,2.52488e-08,0.001
0.7065,2.48509e-08,0.001
0.7427,2.44607e-08,0.0011
0.7808,2.40008e-08,0.0011
0.8209,2.34303e-08,0.0011
0.8629,2.26038e-08,0.0011
0.9072,2.19689e-08,0.0015
0.9617,2.46826e-08,0.0011
1.003,1.6932e-08,0.0013
1.108,3.17884e-08,0.001
1.165,1.61851e-08,0.0014
1.225,1.64009e-08,0.0014
1.287,1.63263e-08,0.0014
1.353,1.682e-08,0.0014
1.423,1.73255e-08,0.0014
1.496,1.74561e-08,0.0014
1.572,1.78078e-08,0.0014
1.653,1.89861e-08,0.0013
1.738,2.00034e-08,0.0013
1.827,2.11033e-08,0.0013
1.921,2.27876e-08,0.0012
2.019,2.43795e-08,0.0012
2.122,2.61608e-08,0.0011
2.231,2.83442e-08,0.0011
2.307,2.02269e-08,0.0013
2.346,1.0462e-08,0.0018
2.365,5.13926e-09,0.0026
2.385,5.40826e-09,0.0025
2.466,2.22171e-08,0.0012
2.592,3.53622e-08,0.001
2.725,3.84382e-08,0.0009
2.865,4.19955e-08,0.0009
3.012,4.5749e-08,0.0008
3.166,5.01278e-08,0.0008
3.329,5.55256e-08,0.0008
3.679,1.28085e-07,0.0005
4.066,1.55993e-07,0.0005
4.493,1.88672e-07,0.0004
4.724,1.07961e-07,0.0006
4.966,1.16122e-07,0.0005
5.22,1.24584e-07,0.0005
5.488,1.34656e-07,0.0005
5.77,1.4535e-07,0.0005
6.065,1.56862e-07,0.0005
6.376,1.71571e-07,0.0004
6.592,1.22962e-07,0.0005
6.703,6.44806e-08,0.0007
7.047,2.05319e-07,0.0004
7.408,2.22968e-07,0.0004
7.788,2.41316e-07,0.0004
8.187,2.59672e-07,0.0003
8.607,2.80524e-07,0.0003
9.048,3.01317e-07,0.0003
9.512,3.2155e-07,0.0003
10.0,3.42943e-07,0.0003
10.51,4.01455e-07,0.0003
11.05,4.03294e-07,0.0003
11.62,3.95439e-07,0.0003
12.21,3.68932e-07,0.0003
12.52,1.7513e-07,0.0004
12.84,1.6665e-07,0.0004
13.5,2.95267e-07,0.0003
13.84,1.25262e-07,0.0005
14.19,5.26078e-08,0.0008
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
