Energy,Value,Error
0.01,1.67759e-11,0.2336
0.02,0.0,0.0
0.05,7.00072e-14,0.7098
0.1,9.84387e-10,0.0265
0.2,3.20229e-08,0.0087
0.3,4.74708e-08,0.0035
0.4,4.06228e-08,0.0136
0.6,6.65185e-08,0.0051
0.8,6.49442e-08,0.004
1.0,2.61112e-08,0.0101
1.22,5.27503e-08,0.006
1.44,3.09668e-08,0.0054
1.66,1.54481e-08,0.0076
2.0,1.76838e-08,0.0135
2.5,2.83043e-08,0.0075
3.0,1.29125e-08,0.0094
4.0,3.11378e-08,0.007
5.0,1.52323e-08,0.0096
6.5,2.60629e-09,0.0069
8.0,2.47873e-10,0.0188
10.0,4.47516e-11,0.0433
12.0,9.83868e-13,0.2186
14.0,1.27386e-12,0.214
20.0,6.22515e-13,0.3414
