Energy,Value,Error
1e-07,1.0463920199942409e-12,0.0699
4.14e-07,1.5299475219173668e-09,0.0041
5.316e-07,1.0932731289252062e-08,0.0037
6.826e-07,2.1605789477546072e-08,0.0027
8.764e-07,3.950857870849289e-08,0.002
1.125e-06,6.713954923771993e-08,0.0015
1.445e-06,1.0645186502624139e-07,0.0012
1.855e-06,1.591666115219671e-07,0.001
2.382e-06,2.2434794808611383e-07,0.0009
3.059e-06,3.009966984894034e-07,0.0007
3.928e-06,3.851112001755484e-07,0.0007
5.043e-06,4.7388899567782993e-07,0.0006
6.476e-06,5.611632861838295e-07,0.0005
8.315e-06,6.443760571492346e-07,0.0005
1.068e-05,7.245325922303007e-07,0.0004
1.371e-05,7.778415651997263e-07,0.0004
1.76e-05,8.279744479882693e-07,0.0005
2.26e-05,8.65779366345962e-07,0.0004
2.902e-05,8.903661336486489e-07,0.0004
3.727e-05,9.051233525606206e-07,0.0004
4.785e-05,9.107964225787612e-07,0.0004
6.144e-05,9.092004737027624e-07,0.0004
7.889e-05,9.003238108005076e-07,0.0004
0.0001013,8.863147851711814e-07,0.0004
0.0001301,8.703885923037835e-07,0.0005
0.000167,8.495800284982738e-07,0.0004
0.0002145,8.281894138861905e-07,0.0005
0.0002754,8.065267096867072e-07,0.0005
0.0003536,7.832425128341555e-07,0.0005
0.000454,7.608423964239382e-07,0.0005
0.0005829,7.393251767145117e-07,0.0005
0.0007485,7.246109659133619e-07,0.0005
0.0009611,7.525461521717533e-07,0.0005
0.001234,2.5988791974717737e-06,0.0002
0.001585,3.428579666880142e-07,0.0005
0.002035,6.814054585718444e-08,0.0019
0.002249,8.190551006538053e-08,0.0027
0.002485,8.911963679387861e-08,0.0027
0.002613,9.527652700871145e-08,0.0038
0.002747,9.989138148802344e-08,0.0036
0.003035,1.0759862518268619e-07,0.0025
0.003355,1.1658579081758314e-07,0.0025
0.003707,1.2501308776968312e-07,0.0024
0.004307,1.3702560067311911e-07,0.0026
0.005531,1.6269613413292485e-07,0.0014
0.007102,2.034924481799217e-07,0.0015
0.009119,2.415109325721817e-07,0.0011
0.01059,2.80430605216374e-07,0.0014
0.01171,3.0276321756417325e-07,0.0016
0.01503,3.323378590477669e-07,0.001
0.0193,3.9241989755964665e-07,0.0009
0.02187,4.4785592459778395e-07,0.0013
0.02358,4.70674276551175e-07,0.0017
0.02418,4.820521377516464e-07,0.0025
0.02479,4.907543630307328e-07,0.0026
0.02606,5.001858876574643e-07,0.0019
0.027,5.097036825262379e-07,0.0021
0.0285,5.246912886125338e-07,0.0018
0.03183,5.496865783231971e-07,0.0012
0.03431,5.722786159491167e-07,0.0014
0.04087,6.022710153559054e-07,0.0009
0.04631,6.430606303321768e-07,0.001
0.05248,6.871239904844214e-07,0.001
0.05656,7.254466310191827e-07,0.0013
0.06738,7.768748322840027e-07,0.0008
0.07202,8.153343989053073e-07,0.0013
0.0795,8.429767563402822e-07,0.0011
0.0825,8.67707790309242e-07,0.0017
0.08652,8.831878471539287e-07,0.0014
0.09804,9.185123117426836e-07,0.0009
0.1111,9.67117400756907e-07,0.0009
0.1168,9.928871304341696e-07,0.0014
0.1228,1.007756519847076e-06,0.0014
0.1291,1.0222308932286837e-06,0.0013
0.1357,1.0411905560079167e-06,0.0014
0.1426,1.0609303475417127e-06,0.0014
0.15,1.080454045931535e-06,0.0013
0.1576,1.0998548977803804e-06,0.0013
0.1657,1.1202993560515459e-06,0.0013
0.1742,1.140202706401095e-06,0.0013
0.1832,1.1682186631900743e-06,0.0012
0.1925,1.1923695613080147e-06,0.0012
0.2024,1.2173193085513906e-06,0.0013
0.2128,1.2347500785941468e-06,0.0012
0.2237,1.2443168947859767e-06,0.0013
0.2352,1.2601688022255665e-06,0.0012
0.2472,1.2686311279417644e-06,0.0012
0.2732,1.290777362973362e-06,0.0008
0.2872,1.3106469389196936e-06,0.0012
0.2945,1.3209832998270093e-06,0.0017
0.2972,1.3215856493810146e-06,0.0027
0.2985,1.3301318361189447e-06,0.0039
0.302,1.3225691161602595e-06,0.0024
0.3337,1.330436406257232e-06,0.0008
0.3688,1.337228116165701e-06,0.0008
0.3877,1.3350907161373048e-06,0.0012
0.4076,1.3319992750558385e-06,0.0012
0.4505,1.311828425966786e-06,0.0008
0.4979,1.2762045023801342e-06,0.0008
0.5234,1.2415285644272904e-06,0.0012
0.5502,1.2111396888843216e-06,0.0012
0.5784,1.1786193457289752e-06,0.0012
0.6081,1.1417117726119567e-06,0.0012
0.6393,1.0942612738480662e-06,0.0012
0.6721,1.0489071927864445e-06,0.0013
0.7065,9.96763303464442e-07,0.0014
0.7427,9.399829294611513e-07,0.0014
0.7808,8.810830271659182e-07,0.0014
0.8209,8.175628759763229e-07,0.0014
