Energy,Value,Error
0.01,0.0,0.0
0.02,3.41547e-10,0.015
0.05,4.6494e-09,0.004
0.1,5.90022e-09,0.0035
0.2,6.78397e-09,0.0032
0.3,4.06234e-09,0.0042
0.4,3.1481e-09,0.0049
0.6,5.08542e-09,0.0038
0.8,2.89695e-09,0.0045
1.0,2.13549e-09,0.0048
1.22,1.89926e-09,0.0049
1.44,1.60554e-09,0.0052
1.66,1.43195e-09,0.0054
2.0,1.99671e-09,0.0046
2.5,2.6524e-09,0.0039
3.0,2.50262e-09,0.0039
4.0,4.22301e-08,0.001
5.0,1.98696e-11,0.0432
6.5,2.70827e-11,0.037
8.0,4.48825e-10,0.0096
10.0,1.4149e-10,0.0181
12.0,4.01736e-11,0.0313
14.0,3.09159e-11,0.0364
20.0,9.53376e-11,0.0202
