Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,2.57806e-14,0.7091
6.826e-07,7.44236e-14,0.4938
8.764e-07,4.26741e-13,0.2458
1.125e-06,6.30786e-13,0.1793
1.445e-06,1.70526e-12,0.1141
1.855e-06,3.8109e-12,0.0794
2.382e-06,6.45964e-12,0.0627
3.059e-06,9.68227e-12,0.0511
3.928e-06,1.16848e-11,0.0452
5.043e-06,1.52266e-11,0.0447
6.476e-06,1.13905e-11,0.0477
8.315e-06,1.00227e-11,0.059
1.068e-05,6.91101e-12,0.0732
1.371e-05,2.84822e-12,0.1072
1.76e-05,1.11035e-12,0.1484
2.26e-05,1.27507e-13,0.394
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,4.4832e-13,0.2244
6.144e-05,6.77768e-13,0.1764
7.889e-05,1.77517e-13,0.3114
0.0001013,3.77012e-13,0.228
0.0001301,1.9506e-13,0.3199
0.000167,0.0,0.0
0.0002145,1.53626e-14,1.0
0.0002754,0.0,0.0
0.0003536,4.76629e-14,0.5805
0.000454,9.3092e-14,0.4674
0.0005829,3.21664e-13,0.272
0.0007485,1.19012e-12,0.1436
0.0009611,5.11152e-12,0.0783
0.001234,1.70807e-11,0.049
0.001585,4.95217e-11,0.0261
0.002035,1.42751e-10,0.0163
0.002249,1.12622e-10,0.0203
0.002485,1.56812e-10,0.0158
0.002613,1.04529e-10,0.0205
0.002747,1.17972e-10,0.0202
0.003035,3.0858e-10,0.0174
0.003355,4.19045e-10,0.0097
0.003707,5.44907e-10,0.0081
0.004307,1.17917e-09,0.0059
0.005531,3.49022e-09,0.0034
0.007102,6.56246e-09,0.0024
0.009119,1.12555e-08,0.002
0.01059,1.00706e-08,0.002
0.01171,8.42297e-09,0.0022
0.01503,2.81379e-08,0.0012
0.0193,4.25297e-08,0.001
0.02187,2.83778e-08,0.0012
0.02358,1.94338e-08,0.0014
0.02418,6.92417e-09,0.0024
0.02479,7.10545e-09,0.0024
0.02606,1.48707e-08,0.0016
0.027,1.11059e-08,0.0019
0.0285,1.79386e-08,0.0014
0.03183,4.04309e-08,0.001
0.03431,3.01511e-08,0.0011
0.04087,7.93047e-08,0.0007
0.04631,6.54704e-08,0.0008
0.05248,7.38008e-08,0.0007
0.05656,4.85527e-08,0.0009
0.06738,1.25854e-07,0.0006
0.07202,5.18517e-08,0.0009
0.0795,8.08064e-08,0.0007
0.0825,3.15323e-08,0.0011
0.08652,4.15758e-08,0.001
0.09804,1.14503e-07,0.0006
0.1111,1.21031e-07,0.0006
0.1168,4.96558e-08,0.0009
0.1228,5.04444e-08,0.0011
0.1291,5.08464e-08,0.0009
0.1357,5.11631e-08,0.0009
0.1426,5.13466e-08,0.0009
0.15,5.2752e-08,0.0009
0.1576,5.17332e-08,0.0009
0.1657,5.24e-08,0.0009
0.1742,5.22393e-08,0.0009
0.1832,5.21487e-08,0.0009
0.1925,5.11723e-08,0.001
0.2024,5.19966e-08,0.001
0.2128,5.2072e-08,0.001
0.2237,5.20609e-08,0.001
0.2352,5.23733e-08,0.001
0.2472,5.21962e-08,0.001
0.2732,1.04661e-07,0.0007
0.2872,5.21328e-08,0.001
0.2945,2.60366e-08,0.0014
0.2972,9.41201e-09,0.0023
0.2985,4.52508e-09,0.0035
0.302,1.20415e-08,0.0021
0.3337,1.01596e-07,0.0007
0.3688,9.76279e-08,0.0007
0.3877,4.56609e-08,0.0011
0.4076,4.38462e-08,0.0011
0.4505,8.57566e-08,0.0008
0.4979,8.38189e-08,0.0008
0.5234,4.11768e-08,0.0011
0.5502,4.05748e-08,0.0011
0.5784,4.01917e-08,0.0012
0.6081,3.97988e-08,0.0012
0.6393,3.91957e-08,0.0012
0.6721,3.85138e-08,0.0012
0.7065,3.77013e-08,0.0012
0.7427,3.68958e-08,0.0012
0.7808,3.59598e-08,0.0012
0.8209,3.49772e-08,0.0012
0.8629,3.36523e-08,0.0012
0.9072,3.16722e-08,0.0013
0.9617,3.50428e-08,0.0012
1.003,2.37538e-08,0.0014
1.108,5.34121e-08,0.001
1.165,2.5416e-08,0.0014
1.225,2.43513e-08,0.0014
1.287,2.30724e-08,0.0014
1.353,2.23802e-08,0.0014
1.423,2.1711e-08,0.0015
1.496,2.09019e-08,0.0015
1.572,1.97291e-08,0.0015
1.653,1.8772e-08,0.0015
1.738,1.77962e-08,0.0015
1.827,1.67697e-08,0.0016
1.921,1.59214e-08,0.0016
2.019,1.4905e-08,0.0017
2.122,1.41823e-08,0.0018
2.231,1.32828e-08,0.0017
2.307,8.43807e-09,0.0023
2.346,4.07914e-09,0.0032
2.365,1.91943e-09,0.005
2.385,1.98091e-09,0.0046
2.466,7.59533e-09,0.0023
2.592,1.06306e-08,0.0019
2.725,9.89017e-09,0.002
2.865,9.17059e-09,0.0021
3.012,8.41275e-09,0.0021
3.166,7.75487e-09,0.0023
3.329,7.16806e-09,0.0024
3.679,1.27445e-08,0.0017
4.066,1.10539e-08,0.0018
4.493,9.72911e-09,0.002
4.724,4.66309e-09,0.0027
4.966,4.56595e-09,0.0028
5.22,4.54468e-09,0.0028
5.488,4.59586e-09,0.0027
5.77,4.71157e-09,0.0027
6.065,4.82568e-09,0.0026
6.376,5.08684e-09,0.0025
6.592,3.56965e-09,0.0029
6.703,1.85499e-09,0.004
7.047,5.86385e-09,0.0023
7.408,6.31363e-09,0.0022
7.788,6.70821e-09,0.0021
8.187,7.06062e-09,0.002
8.607,7.44617e-09,0.0019
9.048,7.89114e-09,0.0021
9.512,8.41141e-09,0.0018
10.0,1.09241e-08,0.0016
10.51,1.78764e-08,0.0012
11.05,1.85198e-08,0.0012
11.62,1.92639e-08,0.0012
12.21,2.06343e-08,0.0012
12.52,1.11126e-08,0.0016
12.84,1.15998e-08,0.0016
13.5,2.40352e-08,0.0011
13.84,1.14202e-08,0.0016
14.19,3.01855e-09,0.003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
