Energy,Value,Error
0.01,5.3444200534442e-08,0.0192
0.02,1.4380900000000001e-08,0.0368
0.05,3.5652999999999996e-10,0.1563
0.1,3.2534e-07,0.0035
0.2,3.5860899999999996e-06,0.0006
0.3,7.198080000000002e-06,0.0004
0.4,6.6028899999999975e-06,0.0004
0.6,7.079250000000002e-06,0.0003
0.8,3.054954999999999e-06,0.0004
1.0,3.2162950000000005e-06,0.0004
1.22,2.0338500000000004e-06,0.0004
1.44,1.1732727272727274e-06,0.0006
1.66,1.0848954545454547e-06,0.0006
2.0,9.491823529411763e-07,0.0005
2.5,7.66922e-07,0.0004
3.0,5.7718e-07,0.0005
4.0,4.62194e-07,0.0004
5.0,2.91598e-07,0.0005
6.5,1.6218200000000002e-07,0.0005
8.0,6.006446666666666e-08,0.0009
10.0,4.688605e-10,0.01
12.0,1.448255e-11,0.0612
14.0,1.145635e-11,0.0639
20.0,9.20685e-12,0.045
