Energy,Value,Error
0.01,9.6677700966777e-11,0.7563
0.02,5.3612e-08,0.0294
0.05,2.2834066666666665e-10,0.1389
0.1,7.47496e-08,0.0066
0.2,2.34325e-06,0.0009
0.3,5.211000000000001e-06,0.0005
0.4,4.718709999999998e-06,0.0005
0.6,5.781000000000002e-06,0.0003
0.8,2.1472749999999993e-06,0.0005
1.0,1.4287650000000003e-06,0.0006
1.22,1.4084636363636365e-06,0.0006
1.44,1.034618181818182e-06,0.0006
1.66,9.26109090909091e-07,0.0007
2.0,7.792499999999999e-07,0.0006
2.5,6.65636e-07,0.0005
3.0,5.5466e-07,0.0006
4.0,4.60972e-07,0.0004
5.0,2.67925e-07,0.0006
6.5,1.3841466666666667e-07,0.0006
8.0,9.737866666666668e-09,0.003
10.0,1.13209e-09,0.0081
12.0,7.8227e-11,0.0277
14.0,1.467415e-11,0.0634
20.0,8.707916666666666e-12,0.0482
