Energy,Value,Error
1e-07,1.858273705650364e-11,0.0153
4.14e-07,7.771896062850218e-10,0.0054
5.316e-07,1.7404754948032144e-09,0.0093
6.826e-07,2.16112690893784e-09,0.0092
8.764e-07,2.6540375406020997e-09,0.0086
1.125e-06,3.206438272885509e-09,0.0078
1.445e-06,3.813546773712772e-09,0.0069
1.855e-06,4.5382776516372616e-09,0.0069
2.382e-06,5.349446541178995e-09,0.0062
3.059e-06,6.133059183270398e-09,0.0061
3.928e-06,7.063204190392102e-09,0.0056
5.043e-06,8.084579643519472e-09,0.0055
6.476e-06,9.129718992366894e-09,0.0051
8.315e-06,1.0320570684177715e-08,0.0049
1.068e-05,1.1550557799502284e-08,0.0047
1.371e-05,1.2563549871581512e-08,0.0045
1.76e-05,1.3673873535708323e-08,0.0042
2.26e-05,1.4769466778633552e-08,0.0042
2.902e-05,1.5900392245642128e-08,0.004
3.727e-05,1.6770910757131222e-08,0.0038
4.785e-05,1.767887583149161e-08,0.0038
6.144e-05,1.8068164826803785e-08,0.0035
7.889e-05,1.8484808866440118e-08,0.0035
0.0001013,1.8497837149349854e-08,0.0039
0.0001301,1.8419773532791823e-08,0.0032
0.000167,1.8288406394771446e-08,0.0031
0.0002145,1.8514243480062614e-08,0.003
0.0002754,1.9553540097935766e-08,0.0028
0.0003536,2.3556729239088036e-08,0.0025
0.000454,4.715263916120526e-08,0.0023
0.0005829,6.384282629345727e-08,0.0022
0.0007485,6.787371606891414e-08,0.0021
0.0009611,7.295188206984365e-08,0.002
0.001234,7.9548209847394e-08,0.002
0.001585,8.24209532715308e-08,0.0018
0.002035,8.767666855530305e-08,0.0017
0.002249,1.0622777778256796e-07,0.0025
0.002485,1.1757645363509872e-07,0.0023
0.002613,1.4609569203573238e-07,0.0029
0.002747,1.6744210314125503e-07,0.0028
0.003035,2.6720522508151015e-07,0.0015
0.003355,1.4356095710809916e-06,0.0005
0.003707,8.984460601623245e-08,0.0029
0.004307,1.6818238688598838e-07,0.0017
0.005531,5.017810451702375e-07,0.0007
0.007102,3.5811122190435124e-06,0.0002
0.009119,2.817291524786222e-06,0.0003
0.01059,2.6751719924967372e-06,0.0004
0.01171,1.1237701031132456e-05,0.0002
0.01503,1.1206424979039176e-06,0.0005
0.0193,2.968716413410015e-06,0.0003
0.02187,2.9889992144118643e-06,0.0004
0.02358,2.6634677028256157e-06,0.0006
0.02418,3.2192287464559772e-06,0.0009
0.02479,3.514346945596799e-06,0.0009
0.02606,5.364059758652982e-06,0.0005
0.027,3.0748721614692227e-05,0.0002
0.0285,2.1888123195460152e-06,0.0008
0.03183,9.99093671057379e-06,0.0002
0.03431,7.336205419454241e-06,0.0003
0.04087,9.517291512149528e-06,0.0002
0.04631,1.271654419102858e-05,0.0002
0.05248,1.4612603136421374e-05,0.0002
0.05656,1.651839231397287e-05,0.0002
0.06738,1.8677010377158315e-05,0.0001
0.07202,2.102180285889594e-05,0.0002
0.0795,2.2100699177957503e-05,0.0001
0.0825,1.4103646454372399e-05,0.0003
0.08652,5.816449335210719e-06,0.0005
0.09804,6.097498069488223e-06,0.0003
0.1111,6.488074085312331e-06,0.0003
0.1168,6.738976681269769e-06,0.0005
0.1228,6.885742334807732e-06,0.0005
0.1291,7.035578952326359e-06,0.0005
0.1357,7.182897127604631e-06,0.0005
0.1426,7.345452998326009e-06,0.0005
0.15,7.5059417575979555e-06,0.0005
0.1576,7.666806160956312e-06,0.0005
0.1657,7.8211053427105e-06,0.0004
0.1742,7.984765262280186e-06,0.0004
0.1832,8.147036971510356e-06,0.0004
0.1925,8.310482668532451e-06,0.0004
0.2024,8.457224913671375e-06,0.0004
0.2128,8.583721727600046e-06,0.0004
0.2237,8.709147259135974e-06,0.0004
0.2352,8.824574769793658e-06,0.0004
0.2472,8.942132261318232e-06,0.0004
0.2732,9.097877543590021e-06,0.0003
0.2872,9.245496468741515e-06,0.0004
0.2945,9.308663566898018e-06,0.0006
