Energy,Value,Error
0.01,1.47295e-13,0.5886
0.02,3.10743e-10,0.0249
0.05,1.91738e-12,0.2092
0.1,1.95705e-09,0.0096
0.2,1.43665e-07,0.0018
0.3,3.09882e-07,0.0009
0.4,3.07833e-07,0.0008
0.6,5.76589e-07,0.0006
0.8,4.88625e-07,0.0006
1.0,2.05201e-07,0.0009
1.22,1.47318e-07,0.0013
1.44,1.51572e-07,0.0011
1.66,9.53556e-08,0.0014
2.0,1.39589e-07,0.0011
2.5,1.5681e-07,0.0011
3.0,1.35502e-07,0.0012
4.0,1.99034e-07,0.0011
5.0,1.15548e-07,0.0013
6.5,7.91557e-08,0.0017
8.0,1.03212e-08,0.0036
10.0,2.21942e-09,0.0075
12.0,1.03692e-10,0.0345
14.0,2.08985e-11,0.0655
20.0,4.32664e-11,0.0474
