Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,6.521618018139857e-14,1.0
8.764e-07,0.0,0.0
1.125e-06,1.870815439554575e-13,0.5816
1.445e-06,5.571768042420188e-13,0.3664
1.855e-06,1.3831907997275837e-12,0.2747
2.382e-06,1.1871271525319607e-12,0.2481
3.059e-06,1.067289896653911e-12,0.2981
3.928e-06,2.3235106266447214e-13,0.7354
5.043e-06,0.0,0.0
6.476e-06,1.0069296048116446e-12,0.2618
8.315e-06,7.323628118841157e-12,0.1062
1.068e-05,2.253877677003916e-11,0.0636
1.371e-05,9.351251752856675e-12,0.1099
1.76e-05,3.719599318804278e-12,0.1507
2.26e-05,1.0715893776179537e-11,0.1398
2.902e-05,2.558470322581718e-11,0.063
3.727e-05,4.08179797100263e-11,0.0718
4.785e-05,3.196167420802528e-11,0.0587
6.144e-05,3.167687075689229e-11,0.0577
7.889e-05,6.188563668508121e-11,0.0477
0.0001013,5.288524461916154e-10,0.0154
0.0001301,8.497944658854581e-10,0.0118
0.000167,6.049891534749553e-10,0.0144
0.0002145,5.048979585285362e-10,0.0164
0.0002754,3.9357005322442533e-10,0.019
0.0003536,4.4842849376019713e-10,0.0173
0.000454,6.838771131457649e-10,0.0152
0.0005829,1.149538993367405e-09,0.0102
0.0007485,1.8240706272396656e-09,0.0082
0.0009611,2.735368587112285e-09,0.007
0.001234,3.993686545586372e-09,0.0057
0.001585,5.754314335104563e-09,0.0047
0.002035,9.078697070249754e-09,0.0038
0.002249,1.1823399592354096e-08,0.0052
0.002485,1.359786527904549e-08,0.0048
0.002613,1.5292856277440147e-08,0.0065
0.002747,1.6398542355300963e-08,0.0063
0.003035,1.8388494514362813e-08,0.0048
0.003355,2.0852681432596107e-08,0.0039
0.003707,2.3983785996071183e-08,0.0037
0.004307,2.9376207976806366e-08,0.0031
0.005531,4.170041203056072e-08,0.0018
0.007102,6.439918984153604e-08,0.0014
0.009119,9.673670164906039e-08,0.0012
0.01059,1.357967138225638e-07,0.0013
0.01171,1.650611941303596e-07,0.0014
0.01503,2.2545339277341617e-07,0.0008
0.0193,3.6273505289770746e-07,0.0006
0.02187,5.135214832550166e-07,0.0007
0.02358,6.065268832712977e-07,0.0009
0.02418,6.606054435120394e-07,0.0014
0.02479,6.88988316328174e-07,0.0014
0.02606,7.35102062098713e-07,0.001
0.027,7.902601219251166e-07,0.0011
0.0285,8.547174963734599e-07,0.0009
0.03183,9.772937828858538e-07,0.0006
0.03431,1.1223120893973175e-06,0.0006
0.04087,1.3569202041470213e-06,0.0004
0.04631,1.6889985507076372e-06,0.0004
0.05248,2.0007239838126066e-06,0.0004
0.05656,2.257636941319868e-06,0.0005
0.06738,2.552303095797132e-06,0.0003
0.07202,2.785573575634453e-06,0.0005
0.0795,2.931684301122487e-06,0.0004
0.0825,3.0561855698938346e-06,0.0006
0.08652,3.145932527427951e-06,0.0005
0.09804,3.3465611358214106e-06,0.0003
0.1111,3.617452327723062e-06,0.0003
0.1168,3.7995798671363015e-06,0.0005
0.1228,3.929297218394084e-06,0.0005
0.1291,4.0384941151522875e-06,0.0005
0.1357,4.111833249067691e-06,0.0005
0.1426,4.1380576157563804e-06,0.0005
0.15,4.152235296023966e-06,0.0005
0.1576,4.1282646768814506e-06,0.0005
0.1657,4.075121829450163e-06,0.0005
0.1742,3.97066355148721e-06,0.0005
0.1832,3.834091258516065e-06,0.0005
0.1925,3.7399756942594393e-06,0.0005
0.2024,3.6941535214172908e-06,0.0005
0.2128,3.726977680844183e-06,0.0006
0.2237,3.7646303929369235e-06,0.0006
0.2352,3.777093304465447e-06,0.0006
0.2472,3.756055667446203e-06,0.0006
0.2732,3.71462218568646e-06,0.0004
0.2872,3.637940108127961e-06,0.0006
0.2945,3.5846416432255474e-06,0.0008
0.2972,3.5679591077869046e-06,0.0014
0.2985,3.557216902947389e-06,0.002
0.302,3.5580337304584958e-06,0.0012
0.3337,3.5839470995016366e-06,0.0004
0.3688,3.604953587018489e-06,0.0004
0.3877,3.609634948454608e-06,0.0006
0.4076,3.6355404113882968e-06,0.0006
0.4505,3.685774509551874e-06,0.0004
0.4979,3.660102894081069e-06,0.0004
0.5234,3.6272640193208578e-06,0.0006
0.5502,3.635063175768933e-06,0.0006
0.5784,3.643658916476024e-06,0.0006
0.6081,3.646287466591724e-06,0.0006
0.6393,3.65879648075042e-06,0.0006
0.6721,3.6609010196419357e-06,0.0006
0.7065,3.6407518649609583e-06,0.0006
0.7427,3.6360749081695987e-06,0.0006
0.7808,3.60756342938552e-06,0.0006
0.8209,3.5582856056873927e-06,0.0006
0.8629,3.517249647068457e-06,0.0006
0.9072,3.490423639241769e-06,0.0006
0.9617,3.4200086372226517e-06,0.0006
1.003,3.1722614767372457e-06,0.0007
1.108,2.9203078342655944e-06,0.0005
1.165,2.858276345562928e-06,0.0007
1.225,2.78452163873276e-06,0.0007
1.287,2.7167838720168135e-06,0.0007
1.353,2.649987712103884e-06,0.0007
1.423,2.5785753735099e-06,0.0007
1.496,2.4901873865712586e-06,0.0007
1.572,2.3993107555548225e-06,0.0007
1.653,2.303300210471557e-06,0.0007
1.738,2.2039275985392463e-06,0.0007
1.827,2.106276977706868e-06,0.0007
1.921,1.9990788873321502e-06,0.0007
2.019,1.8955530286128048e-06,0.0007
2.122,1.7949743140996926e-06,0.0008
2.231,1.6960913452077626e-06,0.0008
2.307,1.6154336685857461e-06,0.001
2.346,1.5675053028236625e-06,0.0014
2.365,1.5484973039613152e-06,0.0021
2.385,1.5276384723082203e-06,0.002
2.466,1.4934930601169422e-06,0.001
2.592,1.4195330199981783e-06,0.0008
2.725,1.334314584828507e-06,0.0009
2.865,1.2516107297641638e-06,0.0009
3.012,1.1740596216985793e-06,0.0009
3.166,1.0988585767361399e-06,0.001
3.329,1.0367727620126427e-06,0.001
3.679,9.537334901948699e-07,0.0007
4.066,8.776055447640124e-07,0.0007
4.493,8.447959854943978e-07,0.0007
4.724,8.374264558250273e-07,0.001
4.966,8.46041328399366e-07,0.001
5.22,8.621082506241171e-07,0.001
5.488,8.848673294574327e-07,0.001
5.77,9.12721052426598e-07,0.001
6.065,9.489142376816485e-07,0.0009
6.376,9.897433308293614e-07,0.0009
6.592,1.0228194344494481e-06,0.0011
6.703,1.0424714615491813e-06,0.0015
7.047,1.0739046755414674e-06,0.0009
7.408,1.1164645986514932e-06,0.0008
7.788,1.1624475533832457e-06,0.0008
8.187,1.2082133759220797e-06,0.0008
8.607,1.256656851025997e-06,0.0008
9.048,1.3145135720886987e-06,0.0007
9.512,1.3763531521843438e-06,0.0007
10.0,1.6501510975365236e-06,0.0007
10.51,3.1364382569576966e-06,0.0005
11.05,3.2933397096335983e-06,0.0005
11.62,3.4636833138553854e-06,0.0004
12.21,3.6454871781297146e-06,0.0004
12.52,3.7777164582237476e-06,0.0006
12.84,3.85503842890362e-06,0.0006
13.5,3.964337743945604e-06,0.0004
13.84,3.906511710288719e-06,0.0006
14.19,1.401563296984258e-06,0.0009
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
