Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,1.076964482403927e-12,0.3114
0.0001013,5.446664261677301e-12,0.1624
0.0001301,7.548888342037249e-11,0.0438
0.000167,1.9101933779554765e-10,0.0247
0.0002145,3.4875327915403385e-10,0.0196
0.0002754,8.206395166258033e-09,0.0047
0.0003536,1.530484636781218e-08,0.0038
0.000454,2.5818739679024975e-08,0.003
0.0005829,2.6763090440171436e-08,0.0029
0.0007485,2.2910148557803706e-08,0.0031
0.0009611,2.2635582846515302e-08,0.0029
0.001234,1.8396981390260703e-08,0.003
0.001585,1.7995195523727968e-08,0.0029
0.002035,2.7826580452819876e-08,0.0024
0.002249,3.5109962227759625e-08,0.0032
0.002485,4.771103090273997e-08,0.0025
0.002613,3.849714115844982e-08,0.0043
0.002747,4.424377908793422e-08,0.0039
0.003035,6.341546705860576e-08,0.0024
0.003355,7.607615407353783e-08,0.0022
0.003707,9.478641516139287e-08,0.0021
0.004307,1.2227677091453575e-07,0.0014
0.005531,2.775825603670673e-07,0.0007
0.007102,5.022083240525889e-07,0.0005
0.009119,7.103822759193279e-07,0.0004
0.01059,9.404613171046615e-07,0.0005
0.01171,1.1175134521886401e-06,0.0005
0.01503,1.3524527338244467e-06,0.0003
0.0193,1.714389858727721e-06,0.0003
0.02187,1.874278980275418e-06,0.0003
0.02358,1.8812731470909078e-06,0.0004
0.02418,1.8359769035977565e-06,0.0008
0.02479,1.8148828368371654e-06,0.0007
0.02606,7.471153782693264e-07,0.0009
0.027,5.721019225635419e-07,0.0014
0.0285,6.03598617300155e-07,0.001
0.03183,6.667598507402391e-07,0.0007
0.03431,7.362049236895389e-07,0.0008
0.04087,8.393316725726642e-07,0.0005
0.04631,9.755795191735435e-07,0.0005
0.05248,1.0967647486101765e-06,0.0005
0.05656,1.198794543992137e-06,0.0006
0.06738,1.3264325547178505e-06,0.0004
0.07202,1.4544920468875293e-06,0.0006
0.0795,1.5431547244540223e-06,0.0005
0.0825,1.61291438683773e-06,0.0008
0.08652,1.6581497302057744e-06,0.0007
0.09804,1.7410805909220039e-06,0.0004
0.1111,1.8592438803005293e-06,0.0004
0.1168,1.9429699755717137e-06,0.0006
0.1228,1.9924962860194393e-06,0.0007
0.1291,2.038245551275393e-06,0.0006
0.1357,2.0850085071353033e-06,0.0006
0.1426,2.1264012976856537e-06,0.0006
0.15,2.1716173401737954e-06,0.0006
0.1576,2.2088266607845796e-06,0.0006
0.1657,2.24676406974753e-06,0.0006
0.1742,2.285990604569346e-06,0.0006
0.1832,2.3162365846142485e-06,0.0006
0.1925,2.3489579787671735e-06,0.0006
0.2024,2.3729314715763188e-06,0.0006
0.2128,2.410709757062825e-06,0.0006
0.2237,2.4446325260922515e-06,0.0006
0.2352,2.4874752749197624e-06,0.0006
0.2472,2.523516692172522e-06,0.0006
0.2732,2.5788848968722007e-06,0.0004
0.2872,2.6307706713005653e-06,0.0006
0.2945,2.6534087550940727e-06,0.0008
0.2972,2.665316065430346e-06,0.0013
0.2985,2.6691441704478635e-06,0.0019
0.302,2.676629811425967e-06,0.0012
0.3337,2.727525875142134e-06,0.0004
0.3688,2.814689255826598e-06,0.0004
0.3877,2.875622484767752e-06,0.0006
0.4076,2.9133070199218953e-06,0.0006
0.4505,2.9428477504324033e-06,0.0004
0.4979,2.971586401761286e-06,0.0004
0.5234,2.977872241064678e-06,0.0006
0.5502,2.972653415257228e-06,0.0006
0.5784,2.960697942459738e-06,0.0006
0.6081,2.929763211793388e-06,0.0006
0.6393,2.8601273331901545e-06,0.0006
0.6721,2.7724928985115795e-06,0.0006
0.7065,2.6657951690560546e-06,0.0006
0.7427,2.539815063737995e-06,0.0006
0.7808,2.394114818880752e-06,0.0006
0.8209,2.2252188805166225e-06,0.0007
0.8629,2.0256321342651205e-06,0.0007
0.9072,1.8240666906787041e-06,0.0009
0.9617,1.5955555076036578e-06,0.0008
1.003,1.3836180824111103e-06,0.001
1.108,1.0955686772107695e-06,0.0007
1.165,7.517567399828178e-07,0.0012
1.225,6.164326922754468e-07,0.0014
1.287,5.475209865767289e-07,0.0014
1.353,4.973443477218427e-07,0.0015
1.423,4.635333731839417e-07,0.0016
1.496,4.3550194745433923e-07,0.0016
1.572,4.07038292045649e-07,0.0017
1.653,3.729127131860724e-07,0.0017
1.738,3.492756187137745e-07,0.0018
1.827,3.3082933740141043e-07,0.0018
1.921,3.0762434641226596e-07,0.0019
2.019,2.765731571806416e-07,0.002
2.122,2.5636346018220235e-07,0.002
2.231,2.388918128944964e-07,0.0021
2.307,2.243935666869678e-07,0.0027
2.346,2.1673226098130596e-07,0.0038
2.365,2.11523992841964e-07,0.0059
2.385,2.0912701414854643e-07,0.0056
2.466,2.0716365982774116e-07,0.0028
2.592,1.9479405193724674e-07,0.0023
2.725,1.801601375642185e-07,0.0024
2.865,1.6624596723801452e-07,0.0025
3.012,1.5803674070007335e-07,0.0025
3.166,1.4947502434334935e-07,0.0026
3.329,1.3957234428231204e-07,0.0026
3.679,1.3011831386788475e-07,0.0019
4.066,1.216881967471806e-07,0.002
4.493,1.1668629326883659e-07,0.002
4.724,1.1678824517588016e-07,0.0027
4.966,1.1747662717101191e-07,0.0027
5.22,1.2068368818942998e-07,0.0028
5.488,1.222560275312712e-07,0.0026
5.77,1.2580937343514059e-07,0.0026
6.065,1.2848342739135586e-07,0.0026
6.376,1.3333033613851836e-07,0.0024
6.592,1.3620093281594838e-07,0.0029
6.703,1.3833724929876745e-07,0.0042
7.047,1.4218089886130783e-07,0.0023
7.408,1.496918352447582e-07,0.0022
7.788,1.610806016371186e-07,0.0022
8.187,1.7095419184321448e-07,0.002
8.607,1.8298904549993513e-07,0.002
9.048,2.05513885879042e-07,0.0021
9.512,2.2425326304258796e-07,0.0017
10.0,2.7835578903630445e-07,0.0016
10.51,4.6920423148575475e-07,0.0012
11.05,5.04879493772158e-07,0.0011
11.62,5.365434608356454e-07,0.0011
12.21,5.671188569459625e-07,0.001
12.52,5.989810764762865e-07,0.0014
12.84,6.06630513235841e-07,0.0014
13.5,6.098947382369458e-07,0.001
13.84,6.055256579433547e-07,0.0014
14.19,1.7235832294290058e-07,0.0025
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
