Energy,Value,Error
0.01,9.36573e-14,0.7157
0.02,1.48957e-10,0.0274
0.05,1.07888e-13,0.5789
0.1,1.07343e-10,0.0351
0.2,1.67212e-08,0.0036
0.3,5.25424e-08,0.0018
0.4,6.21001e-08,0.0015
0.6,1.43615e-07,0.001
0.8,6.68532e-08,0.0013
1.0,5.92987e-08,0.0014
1.22,6.52876e-08,0.0013
1.44,4.69501e-08,0.0014
1.66,5.04569e-08,0.0014
2.0,7.57947e-08,0.0012
2.5,1.31591e-07,0.0009
3.0,4.84971e-08,0.0015
4.0,6.84226e-08,0.0013
5.0,3.12791e-08,0.0025
6.5,1.93213e-08,0.0024
8.0,7.07314e-09,0.004
10.0,2.01486e-09,0.0074
12.0,1.82697e-10,0.0263
14.0,1.79747e-11,0.068
20.0,1.45997e-11,0.0809
