Energy,Value,Error
0.01,7.5088700750887e-11,0.4032
0.02,4.694849999999999e-08,0.0176
0.05,2.37497e-10,0.1278
0.1,2.3886199999999997e-08,0.0123
0.2,3.29702e-07,0.0023
0.3,1.09523e-06,0.0012
0.4,1.2622499999999996e-06,0.0011
0.6,1.4026200000000003e-06,0.0007
0.8,7.535299999999997e-07,0.0009
1.0,6.377300000000001e-07,0.0009
1.22,4.6605909090909094e-07,0.001
1.44,4.110109090909091e-07,0.001
1.66,3.684609090909091e-07,0.0011
2.0,3.204941176470587e-07,0.0009
2.5,2.66762e-07,0.0008
3.0,2.18898e-07,0.0009
4.0,1.54832e-07,0.0008
5.0,8.85415e-08,0.001
6.5,4.26172e-08,0.0012
8.0,4.8513e-09,0.0035
10.0,2.480255e-11,0.0407
12.0,7.3585e-13,0.2744
14.0,1.322875e-12,0.1712
20.0,1.393545e-12,0.11
