Energy,Value,Error
0.01,6.07419e-13,0.3528
0.02,4.6915e-10,0.0477
0.05,1.59559e-10,0.0334
0.1,1.91314e-09,0.0111
0.2,2.5652e-08,0.003
0.3,8.01282e-08,0.0014
0.4,9.58305e-08,0.0012
0.6,2.04074e-07,0.0008
0.8,1.23283e-07,0.0009
1.0,1.07742e-07,0.001
1.22,7.70943e-08,0.0011
1.44,6.84482e-08,0.0012
1.66,5.41105e-08,0.0013
2.0,7.62691e-08,0.0011
2.5,9.21985e-08,0.001
3.0,7.08629e-08,0.0011
4.0,1.09521e-07,0.0009
5.0,5.39053e-08,0.0013
6.5,3.03115e-08,0.0017
8.0,3.07547e-09,0.0051
10.0,2.93691e-11,0.0506
12.0,3.54822e-12,0.1549
14.0,4.18961e-12,0.1474
20.0,9.86574e-12,0.0934
