Energy,Value,Error
0.01,3.646800036468001e-12,1.0
0.02,1.48115e-08,0.0528
0.05,0.0,0.0
0.1,1.464556e-09,0.1739
0.2,1.05609e-07,0.0056
0.3,3.8155100000000005e-07,0.0031
0.4,4.6053199999999985e-07,0.0026
0.6,5.311500000000001e-07,0.0017
0.8,2.7691649999999987e-07,0.0021
1.0,3.1739200000000007e-07,0.0024
1.22,1.9895454545454548e-07,0.0035
1.44,1.888977272727273e-07,0.0026
1.66,2.7167318181818184e-07,0.0024
2.0,1.282776470588235e-07,0.0026
2.5,1.171598e-07,0.0025
3.0,8.13786e-08,0.0029
4.0,6.08133e-08,0.0026
5.0,4.54801e-08,0.0023
6.5,1.3002133333333333e-08,0.0039
8.0,1.2672533333333334e-09,0.0111
10.0,5.6751e-11,0.0328
12.0,5.59805e-12,0.0866
14.0,1.5289e-12,0.2233
20.0,5.232833333333333e-13,0.1715
