Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,1.60957e-14,1.0
1.445e-06,0.0,0.0
1.855e-06,1.0255e-14,1.0
2.382e-06,1.30698e-13,0.8438
3.059e-06,7.99362e-14,0.8918
3.928e-06,1.1468e-14,1.0
5.043e-06,1.15597e-14,1.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,8.70253e-14,0.6189
2.902e-05,1.42512e-14,1.0
3.727e-05,1.01739e-14,1.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,9.04676e-14,0.6457
0.0001013,1.14698e-13,0.4629
0.0001301,1.50812e-12,0.1368
0.000167,2.0786e-12,0.1045
0.0002145,2.1674e-12,0.1095
0.0002754,2.08843e-12,0.1081
0.0003536,1.00454e-12,0.1639
0.000454,4.0526e-12,0.1213
0.0005829,1.49792e-11,0.0495
0.0007485,2.11275e-11,0.0375
0.0009611,1.08803e-11,0.0482
0.001234,8.21282e-12,0.0548
0.001585,1.36954e-11,0.051
0.002035,2.03266e-11,0.0441
0.002249,1.04108e-11,0.0507
0.002485,1.15236e-11,0.0553
0.002613,6.61297e-12,0.0632
0.002747,8.08992e-12,0.0733
0.003035,1.70384e-11,0.06
0.003355,2.12098e-11,0.0433
0.003707,2.26864e-11,0.0392
0.004307,4.12865e-11,0.0304
0.005531,1.05028e-10,0.0214
0.007102,1.69121e-10,0.0133
0.009119,2.76122e-10,0.0112
0.01059,2.57482e-10,0.0118
0.01171,2.25555e-10,0.0125
0.01503,8.06646e-10,0.0067
0.0193,1.32189e-09,0.0051
0.02187,9.11918e-10,0.0061
0.02358,6.47967e-10,0.0085
0.02418,2.25628e-10,0.0121
0.02479,2.29408e-10,0.0123
0.02606,3.93099e-10,0.0098
0.027,2.90835e-10,0.0117
0.0285,5.02907e-10,0.0099
0.03183,1.24682e-09,0.0055
0.03431,1.06579e-09,0.0072
0.04087,3.23917e-09,0.0035
0.04631,3.03062e-09,0.0035
0.05248,3.71091e-09,0.0033
0.05656,2.51355e-09,0.0039
0.06738,6.6947e-09,0.0026
0.07202,2.83571e-09,0.004
0.0795,4.40131e-09,0.0032
0.0825,1.71934e-09,0.0049
0.08652,2.21382e-09,0.0045
0.09804,5.91796e-09,0.0029
0.1111,5.89781e-09,0.0029
0.1168,2.32392e-09,0.0048
0.1228,2.26896e-09,0.0049
0.1291,2.1757e-09,0.0049
0.1357,2.07919e-09,0.005
0.1426,1.961e-09,0.0055
0.15,1.89736e-09,0.0056
0.1576,1.74783e-09,0.006
0.1657,1.67222e-09,0.0062
0.1742,1.58895e-09,0.0062
0.1832,1.52318e-09,0.0068
0.1925,1.45571e-09,0.0072
0.2024,1.4295e-09,0.0072
0.2128,1.38139e-09,0.0072
0.2237,1.37244e-09,0.0074
0.2352,1.36374e-09,0.0082
0.2472,1.31174e-09,0.0076
0.2732,2.55047e-09,0.0056
0.2872,1.24096e-09,0.0084
0.2945,5.976e-10,0.0109
0.2972,2.14207e-10,0.0184
0.2985,1.02417e-10,0.0269
0.302,2.75699e-10,0.0186
0.3337,2.15171e-09,0.0062
0.3688,1.81177e-09,0.0066
0.3877,8.06129e-10,0.0097
0.4076,7.91152e-10,0.0102
0.4505,1.53579e-09,0.0072
0.4979,1.47713e-09,0.0076
0.5234,7.40327e-10,0.0104
0.5502,7.45487e-10,0.011
0.5784,7.37018e-10,0.0115
0.6081,7.2077e-10,0.0112
0.6393,7.07618e-10,0.0118
0.6721,6.94927e-10,0.012
0.7065,6.83061e-10,0.012
0.7427,6.7614e-10,0.0115
0.7808,6.64577e-10,0.0113
0.8209,6.61286e-10,0.0121
0.8629,6.54909e-10,0.0122
0.9072,6.55264e-10,0.012
0.9617,7.46083e-10,0.0105
1.003,5.35946e-10,0.0127
1.108,1.24979e-09,0.0082
1.165,6.15051e-10,0.0115
1.225,6.02692e-10,0.0127
1.287,5.87668e-10,0.012
1.353,5.90025e-10,0.0133
1.423,5.67058e-10,0.0117
1.496,5.48433e-10,0.0119
1.572,5.44336e-10,0.0122
1.653,5.27042e-10,0.0138
1.738,5.21089e-10,0.0124
1.827,4.99031e-10,0.013
1.921,4.93007e-10,0.0129
2.019,4.77576e-10,0.0125
2.122,4.80611e-10,0.0128
2.231,4.65625e-10,0.0123
2.307,3.05755e-10,0.0152
2.346,1.56769e-10,0.0208
2.365,7.171e-11,0.0318
2.385,7.47682e-11,0.0311
2.466,2.99375e-10,0.0158
2.592,4.37195e-10,0.0125
2.725,4.22781e-10,0.013
2.865,4.27125e-10,0.0124
3.012,4.35056e-10,0.0124
3.166,4.29586e-10,0.0123
3.329,4.24334e-10,0.0132
3.679,8.39854e-10,0.0109
4.066,8.19711e-10,0.0089
4.493,7.51408e-10,0.0089
4.724,3.58799e-10,0.0126
4.966,3.5476e-10,0.0129
5.22,3.43111e-10,0.0134
5.488,3.21629e-10,0.0169
5.77,3.15417e-10,0.0133
6.065,3.1544e-10,0.0148
6.376,3.07041e-10,0.0133
6.592,2.07222e-10,0.0177
6.703,1.05137e-10,0.0237
7.047,3.16097e-10,0.0132
7.408,3.34032e-10,0.0125
7.788,3.47566e-10,0.0124
8.187,3.5992e-10,0.0122
8.607,3.95068e-10,0.0116
9.048,4.20135e-10,0.0119
9.512,4.38325e-10,0.0105
10.0,5.79449e-10,0.009
10.51,9.03835e-10,0.0069
11.05,1.00477e-09,0.0071
11.62,1.08256e-09,0.0061
12.21,1.15943e-09,0.006
12.52,6.20683e-10,0.008
12.84,6.57702e-10,0.0077
13.5,1.38469e-09,0.0055
13.84,6.72602e-10,0.0074
14.19,1.3854e-10,0.0154
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
