Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,0.0,0.0
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,1.5189579508083672e-12,0.2568
0.000454,1.0111756212930476e-11,0.1086
0.0005829,1.305966021734828e-11,0.0896
0.0007485,1.652472762331107e-11,0.0765
0.0009611,2.1612332553393202e-11,0.0724
0.001234,3.018335654484921e-11,0.0681
0.001585,3.7400286744804285e-11,0.0657
0.002035,4.735798147779596e-11,0.0504
0.002249,6.617611417386908e-11,0.0643
0.002485,7.788470488020994e-11,0.0776
0.002613,7.454118635340591e-11,0.0857
0.002747,8.184554244828428e-11,0.0759
0.003035,9.909227774729068e-11,0.0704
0.003355,1.2596524767643786e-10,0.0515
0.003707,1.2938809982092038e-10,0.0472
0.004307,1.625437558217266e-10,0.0359
0.005531,2.5543981109270955e-10,0.0271
0.007102,4.0076749043015986e-10,0.0175
0.009119,6.961293474511068e-10,0.0163
0.01059,1.104640509679429e-09,0.0148
0.01171,1.466175023268564e-09,0.0156
0.01503,2.541595454914434e-09,0.0077
0.0193,5.496029276400895e-09,0.0055
0.02187,9.690207512114705e-09,0.0056
0.02358,1.3071692283798256e-08,0.0066
0.02418,1.4839206463622692e-08,0.0097
0.02479,1.608131755254131e-08,0.0092
0.02606,1.7816996849578462e-08,0.0064
0.027,2.0290589200642952e-08,0.0072
0.0285,2.2508277129992632e-08,0.0058
0.03183,2.7809110147573733e-08,0.0035
0.03431,3.4476905338507596e-08,0.0038
0.04087,4.589017870432972e-08,0.0025
0.04631,6.169950277577197e-08,0.0022
0.05248,7.577348622327876e-08,0.002
0.05656,8.653346664522712e-08,0.0025
0.06738,9.763650053373922e-08,0.0017
0.07202,1.0655790837563549e-07,0.0023
0.0795,1.1092854047431488e-07,0.0019
0.0825,1.1455033284537637e-07,0.0032
0.08652,1.1522572965818335e-07,0.0028
0.09804,1.1456483888325705e-07,0.0017
0.1111,1.1106061073309289e-07,0.0018
0.1168,1.0737367823081795e-07,0.003
0.1228,1.0324042091464409e-07,0.0037
0.1291,9.77406041077251e-08,0.0032
0.1357,8.625076314326748e-08,0.0035
0.1426,8.104290118829857e-08,0.0037
0.15,7.632958423608886e-08,0.0041
0.1576,6.889080501084198e-08,0.0042
0.1657,6.245148146768857e-08,0.0057
0.1742,5.7272803250693376e-08,0.0049
0.1832,5.2866945191076285e-08,0.0052
0.1925,4.94952295110749e-08,0.0053
0.2024,4.664506660031082e-08,0.0056
0.2128,4.5892555095565784e-08,0.0056
0.2237,4.427431954606375e-08,0.0057
0.2352,4.3216935585239275e-08,0.0064
0.2472,4.1800178861759066e-08,0.0061
0.2732,4.029931999195586e-08,0.0045
0.2872,3.839321969177986e-08,0.0065
0.2945,3.7587879024317406e-08,0.0096
0.2972,3.8144771486101566e-08,0.0152
0.2985,3.615045534221835e-08,0.0211
0.302,3.7279304137010474e-08,0.0126
0.3337,3.656090298657184e-08,0.0046
0.3688,3.5531798547077496e-08,0.0049
0.3877,3.509689679233262e-08,0.007
0.4076,3.4325015478029733e-08,0.007
0.4505,3.321785765020538e-08,0.005
0.4979,2.9088122500224904e-08,0.0052
0.5234,2.5267716967178314e-08,0.0085
0.5502,2.338299645871857e-08,0.0089
0.5784,2.2008320856441846e-08,0.0095
0.6081,2.05045880144832e-08,0.0092
0.6393,1.9949160805802874e-08,0.009
0.6721,1.9149562100898378e-08,0.0094
0.7065,1.818899453861152e-08,0.0104
0.7427,1.7922994927141375e-08,0.011
0.7808,1.7252398766168957e-08,0.0107
0.8209,1.7290791717902585e-08,0.0101
0.8629,1.6691353883764823e-08,0.0108
0.9072,1.6074325173303364e-08,0.012
0.9617,1.5713901114230035e-08,0.01
1.003,1.523714327254453e-08,0.0117
1.108,1.4835717026302203e-08,0.0077
1.165,1.4204806557859972e-08,0.0108
1.225,1.3759783829471535e-08,0.0105
1.287,1.334986471088455e-08,0.0118
1.353,1.3003189985758335e-08,0.0131
1.423,1.2285993489169548e-08,0.0115
1.496,1.2256364183085994e-08,0.0126
1.572,1.1847281717058027e-08,0.0122
1.653,1.1414039272418208e-08,0.0118
1.738,1.07922692132791e-08,0.0118
1.827,1.0827678956670711e-08,0.0128
1.921,1.024189335086023e-08,0.0121
2.019,9.733691733105539e-09,0.0122
2.122,9.580136780586989e-09,0.0126
2.231,9.327766735713873e-09,0.013
2.307,8.964577843061122e-09,0.0158
2.346,8.67352576314398e-09,0.022
2.365,8.40271719263065e-09,0.0315
2.385,9.051285260764801e-09,0.03
2.466,8.671853655793982e-09,0.0162
2.592,8.713592537190942e-09,0.0131
2.725,8.678811343891167e-09,0.0131
2.865,8.727957691242503e-09,0.0122
3.012,8.705838800617065e-09,0.0131
3.166,8.387143742946187e-09,0.0127
3.329,8.308069713171855e-09,0.0132
3.679,7.604275992547167e-09,0.0093
4.066,6.669390217397053e-09,0.0095
4.493,5.9715255033005364e-09,0.0102
4.724,5.458193594403831e-09,0.0138
4.966,5.526254877331333e-09,0.0161
5.22,5.337760805958443e-09,0.0146
5.488,5.101396313261947e-09,0.0147
5.77,5.189331314893329e-09,0.0152
6.065,5.140841233179304e-09,0.0143
6.376,5.1970148764839375e-09,0.0141
6.592,5.511790749174705e-09,0.0182
6.703,5.438522759714394e-09,0.0245
7.047,5.660081374923592e-09,0.0137
7.408,6.1475220745944144e-09,0.0132
7.788,6.571979318328791e-09,0.0123
8.187,7.350174023235148e-09,0.0126
8.607,8.174613941332908e-09,0.0116
9.048,9.247954755391533e-09,0.0111
9.512,1.0222049607377473e-08,0.0099
10.0,1.3270989608839662e-08,0.0085
10.51,2.142591836012258e-08,0.0067
11.05,2.3470736180530075e-08,0.0074
11.62,2.5445091546824016e-08,0.0059
12.21,2.7428579948568132e-08,0.0056
12.52,2.8646927985388912e-08,0.0077
12.84,2.9809810978819607e-08,0.0074
13.5,3.093105147306761e-08,0.0051
13.84,3.042958002318112e-08,0.0075
14.19,6.396634080778614e-09,0.0145
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
