Energy,Value,Error
0.01,3.6341100363411e-11,0.4258
0.02,4.9619e-12,1.0
0.05,8.028266666666666e-09,0.0304
0.1,4.40306e-09,0.0338
0.2,6.46684e-08,0.005
0.3,2.0717700000000006e-07,0.0027
0.4,3.005589999999999e-07,0.0021
0.6,3.242965000000001e-07,0.0014
0.8,1.8501599999999994e-07,0.0018
1.0,1.3627250000000003e-07,0.0019
1.22,1.1398954545454548e-07,0.002
1.44,1.000068181818182e-07,0.0021
1.66,8.982500000000001e-08,0.0022
2.0,8.211970588235292e-08,0.0019
2.5,6.80136e-08,0.0017
3.0,5.00908e-08,0.002
4.0,3.06938e-08,0.0018
5.0,1.56626e-08,0.0024
6.5,5.92654e-09,0.0032
8.0,1.59598e-10,0.0215
10.0,1.099425e-11,0.0957
12.0,1.168135e-12,0.2959
14.0,1.072755e-12,0.5282
20.0,4.375666666666667e-13,0.2368
