Energy,Value,Error
0.01,2.7465900274659e-10,0.2212
0.02,0.0,0.0
0.05,4.610933333333333e-08,0.0116
0.1,1.625214e-09,0.0406
0.2,2.50428e-07,0.0028
0.3,1.2587400000000004e-06,0.0011
0.4,1.3885799999999996e-06,0.001
0.6,1.7585000000000004e-06,0.0006
0.8,9.454749999999996e-07,0.0008
1.0,8.940900000000002e-07,0.0008
1.22,7.203227272727273e-07,0.0008
1.44,6.169818181818183e-07,0.0009
1.66,5.430454545454546e-07,0.0009
2.0,4.7508823529411753e-07,0.0008
2.5,3.96372e-07,0.0007
3.0,3.1772e-07,0.0008
4.0,1.99085e-07,0.0007
5.0,9.00645e-08,0.001
6.5,2.9651466666666666e-08,0.0015
8.0,5.876846666666666e-09,0.0034
10.0,3.29535e-10,0.013
12.0,1.357135e-11,0.0568
14.0,8.0989e-12,0.0927
20.0,4.22e-12,0.087
