Energy,Value,Error
1e-07,4.53677044630594e-06,0.0
4.14e-07,2.8031335308331935e-06,0.0001
5.316e-07,3.320071304745895e-07,0.0011
6.826e-07,3.1615720388714225e-07,0.0011
8.764e-07,3.0496623140226923e-07,0.0012
1.125e-06,2.951916838152242e-07,0.0011
1.445e-06,2.877168881356172e-07,0.0012
1.855e-06,2.8015812263910717e-07,0.0012
2.382e-06,2.746211321641421e-07,0.0012
3.059e-06,2.6892203463138786e-07,0.0012
3.928e-06,2.6358697438420454e-07,0.0012
5.043e-06,2.590591308739924e-07,0.0013
6.476e-06,2.546410157363169e-07,0.0013
8.315e-06,2.505004070851041e-07,0.0013
1.068e-05,2.477658648192445e-07,0.0013
1.371e-05,2.415341641999467e-07,0.0013
1.76e-05,2.3758573966513868e-07,0.0013
2.26e-05,2.3489607722192083e-07,0.0013
2.902e-05,2.3174723911846916e-07,0.0013
3.727e-05,2.276791001448505e-07,0.0013
4.785e-05,2.2517631897031843e-07,0.0014
6.144e-05,2.2133647918691845e-07,0.0013
7.889e-05,2.1796896460987803e-07,0.0013
0.0001013,2.1531969579617908e-07,0.0013
0.0001301,2.1256391640289348e-07,0.0018
0.000167,2.0962918222459621e-07,0.0014
0.0002145,2.0605201128925094e-07,0.0014
0.0002754,2.03893047663137e-07,0.0014
0.0003536,2.0070876958384711e-07,0.0014
0.000454,1.980531678184792e-07,0.0014
0.0005829,1.95154061588811e-07,0.0014
0.0007485,1.9258120167182978e-07,0.0015
0.0009611,1.902556765203681e-07,0.0015
0.001234,1.8777836234335197e-07,0.0014
0.001585,1.8501780040149763e-07,0.0015
0.002035,1.8272514933983084e-07,0.0015
0.002249,1.8118038241190748e-07,0.0024
0.002485,1.798931966660124e-07,0.0023
0.002613,1.8004302806815679e-07,0.0036
0.002747,1.786987571251895e-07,0.0034
0.003035,1.7827723514347527e-07,0.0025
0.003355,1.7679707545628085e-07,0.0024
0.003707,1.7643075517597643e-07,0.0024
0.004307,1.7518818100886244e-07,0.002
0.005531,1.7357660576787376e-07,0.0015
0.007102,1.7157064458816586e-07,0.0015
0.009119,1.693758335275444e-07,0.0015
0.01059,1.6764626019786926e-07,0.002
0.01171,1.6601908838161481e-07,0.0024
0.01503,1.6470822175843476e-07,0.0016
0.0193,1.609097819887888e-07,0.0016
0.02187,1.3789455344820529e-07,0.0024
0.02358,1.524884872622236e-07,0.003
0.02418,1.5279172315663514e-07,0.0053
