Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,2.40525e-13,0.4305
3.059e-06,4.26699e-13,0.3535
3.928e-06,8.01704e-13,0.182
5.043e-06,1.44662e-12,0.1314
6.476e-06,2.71301e-12,0.088
8.315e-06,5.40878e-12,0.0709
1.068e-05,1.01729e-11,0.0506
1.371e-05,1.50932e-11,0.0416
1.76e-05,2.26331e-11,0.0343
2.26e-05,3.86675e-11,0.0265
2.902e-05,4.4458e-11,0.0237
3.727e-05,3.28968e-12,0.0956
4.785e-05,3.20615e-11,0.0319
6.144e-05,4.44491e-12,0.0707
7.889e-05,3.73402e-14,0.7105
0.0001013,2.19119e-13,0.2692
0.0001301,3.6893e-12,0.1176
0.000167,8.15815e-12,0.2111
0.0002145,9.22983e-10,0.0064
0.0002754,1.58722e-09,0.0046
0.0003536,2.195e-09,0.004
0.000454,2.80922e-09,0.0035
0.0005829,3.91946e-09,0.003
0.0007485,5.42117e-09,0.0025
0.0009611,7.06222e-09,0.0022
0.001234,9.04172e-09,0.002
0.001585,1.15353e-08,0.0017
0.002035,1.58749e-08,0.0015
0.002249,7.87472e-09,0.0021
0.002485,8.74457e-09,0.0019
0.002613,4.78055e-09,0.0026
0.002747,5.02888e-09,0.0026
0.003035,1.08347e-08,0.0017
0.003355,1.20249e-08,0.0017
0.003707,1.32976e-08,0.0016
0.004307,2.29832e-08,0.0012
0.005531,4.8304e-08,0.0008
0.007102,2.81385e-08,0.0011
0.009119,1.97622e-08,0.0013
0.01059,2.03698e-08,0.0013
0.01171,1.87903e-08,0.0013
0.01503,7.43317e-08,0.0007
0.0193,1.42218e-07,0.0005
0.02187,1.10652e-07,0.0006
0.02358,8.22489e-08,0.0006
0.02418,3.05106e-08,0.0011
0.02479,3.17817e-08,0.001
0.02606,6.88726e-08,0.0007
0.027,5.32621e-08,0.0008
0.0285,8.88778e-08,0.0006
0.03183,2.11929e-07,0.0004
0.03431,1.68644e-07,0.0005
0.04087,4.81968e-07,0.0003
0.04631,4.24516e-07,0.0003
0.05248,4.89671e-07,0.0003
0.05656,3.18078e-07,0.0004
0.06738,7.70134e-07,0.0002
0.07202,2.9119e-07,0.0004
0.0795,4.2669e-07,0.0003
0.0825,1.58844e-07,0.0005
0.08652,2.04405e-07,0.0005
0.09804,5.55168e-07,0.0003
0.1111,6.20251e-07,0.0003
0.1168,2.71456e-07,0.0004
0.1228,2.85501e-07,0.0004
0.1291,2.99192e-07,0.0004
0.1357,3.11723e-07,0.0004
0.1426,3.23845e-07,0.0004
0.15,3.44082e-07,0.0004
0.1576,3.50075e-07,0.0004
0.1657,3.69648e-07,0.0004
0.1742,3.85045e-07,0.0004
0.1832,4.05656e-07,0.0004
0.1925,4.18162e-07,0.0004
0.2024,4.44954e-07,0.0004
0.2128,4.64074e-07,0.0004
0.2237,4.81002e-07,0.0004
0.2352,5.00232e-07,0.0003
0.2472,5.14946e-07,0.0003
0.2732,1.0886e-06,0.0002
0.2872,5.71913e-07,0.0003
0.2945,2.94792e-07,0.0005
0.2972,1.08324e-07,0.0008
0.2985,5.21246e-08,0.0011
0.302,1.39873e-07,0.0007
0.3337,1.24073e-06,0.0002
0.3688,1.31569e-06,0.0002
0.3877,6.84986e-07,0.0003
0.4076,7.01964e-07,0.0003
0.4505,1.41788e-06,0.0002
0.4979,1.41132e-06,0.0002
0.5234,6.91788e-07,0.0003
0.5502,6.76004e-07,0.0003
0.5784,6.54983e-07,0.0003
0.6081,6.28276e-07,0.0003
0.6393,5.91727e-07,0.0003
0.6721,5.47766e-07,0.0004
0.7065,4.94432e-07,0.0004
0.7427,4.42499e-07,0.0004
0.7808,3.89292e-07,0.0004
0.8209,3.36002e-07,0.0005
0.8629,2.82234e-07,0.0005
0.9072,2.28328e-07,0.0006
0.9617,2.08083e-07,0.0006
1.003,1.18719e-07,0.0008
1.108,2.32834e-07,0.0006
1.165,9.28166e-08,0.0009
1.225,7.92358e-08,0.001
1.287,7.10114e-08,0.001
1.353,6.60173e-08,0.0011
1.423,6.04896e-08,0.0011
1.496,5.55285e-08,0.0012
1.572,5.03884e-08,0.0012
1.653,4.70371e-08,0.0013
1.738,4.38524e-08,0.0013
1.827,4.07804e-08,0.0013
1.921,3.87406e-08,0.0014
2.019,3.51394e-08,0.0014
2.122,3.23058e-08,0.0015
2.231,3.00487e-08,0.0015
2.307,1.87855e-08,0.0019
2.346,8.96464e-09,0.0027
2.365,4.22898e-09,0.0039
2.385,4.36202e-09,0.0038
2.466,1.67208e-08,0.002
2.592,2.33451e-08,0.0017
2.725,2.15034e-08,0.0017
2.865,1.95627e-08,0.0018
3.012,1.7947e-08,0.0019
3.166,1.63359e-08,0.0019
3.329,1.50372e-08,0.0021
3.679,2.59806e-08,0.0015
4.066,2.16651e-08,0.0016
4.493,1.80775e-08,0.0018
4.724,8.34395e-09,0.0026
4.966,8.04029e-09,0.0026
5.22,8.01726e-09,0.0026
5.488,8.04596e-09,0.0026
5.77,8.30436e-09,0.0025
6.065,8.65131e-09,0.0025
6.376,9.12316e-09,0.0024
6.592,6.34731e-09,0.0028
6.703,3.37565e-09,0.0192
7.047,1.03884e-08,0.0022
7.408,1.12034e-08,0.0021
7.788,1.20628e-08,0.002
8.187,1.26748e-08,0.002
8.607,1.35724e-08,0.0019
9.048,1.44398e-08,0.0018
9.512,1.48708e-08,0.0018
10.0,1.74905e-08,0.0017
10.51,3.02144e-08,0.0012
11.05,3.18273e-08,0.0012
11.62,3.33284e-08,0.0011
12.21,3.47672e-08,0.0011
12.52,1.84735e-08,0.0015
12.84,1.88687e-08,0.0014
13.5,3.95546e-08,0.001
13.84,2.00239e-08,0.0014
14.19,6.12472e-09,0.0023
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
