Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,9.618854038523076e-13,0.4305
3.059e-06,1.7057889415399177e-12,0.3535
3.928e-06,3.2062731738033577e-12,0.182
5.043e-06,5.789473097325944e-12,0.1314
6.476e-06,1.0847618826414278e-11,0.088
8.315e-06,2.1638748659797704e-11,0.0709
1.068e-05,4.064092549859464e-11,0.0506
1.371e-05,6.043258957662872e-11,0.0416
1.76e-05,9.061452993995967e-11,0.0343
2.26e-05,1.5463845113692836e-10,0.0265
2.902e-05,1.7780686438396587e-10,0.0237
3.727e-05,1.3148019298574272e-11,0.0956
4.785e-05,1.2830635304627998e-10,0.0319
6.144e-05,1.7780353280887258e-11,0.0707
7.889e-05,1.4936475023904525e-13,0.7105
0.0001013,8.763640562433682e-13,0.2692
0.0001301,1.4744403375728228e-11,0.1176
0.000167,3.267305880062033e-11,0.2111
0.0002145,3.6872723798625136e-09,0.0064
0.0002754,6.351043217996039e-09,0.0046
0.0003536,8.782046411110113e-09,0.004
0.000454,1.123998820392545e-08,0.0035
0.0005829,1.5682955967795054e-08,0.003
0.0007485,2.1679861970829666e-08,0.0025
0.0009611,2.824805990576479e-08,0.0022
0.001234,3.617588886190992e-08,0.002
0.001585,4.6081573789766785e-08,0.0017
0.002035,6.352210929692217e-08,0.0015
0.002249,7.87551904365538e-08,0.0021
0.002485,8.763236871314758e-08,0.0019
0.002613,9.518016320331166e-08,0.0026
0.002747,1.005566428399117e-07,0.0026
0.003035,1.0867082013710641e-07,0.0017
0.003355,1.1996067941080857e-07,0.0017
0.003707,1.3328100859686663e-07,0.0016
0.004307,1.532022526021303e-07,0.0012
0.005531,1.9311787685268112e-07,0.0008
0.007102,1.1255048684534213e-07,0.0011
0.009119,7.905394975433001e-08,0.0013
0.01059,1.362072788217122e-07,0.0013
0.01171,1.8690675336822706e-07,0.0013
0.01503,2.977972885600663e-07,0.0007
0.0193,5.687425720583143e-07,0.0005
0.02187,8.85139957429144e-07,0.0006
0.02358,1.0925286450967703e-06,0.0006
0.02418,1.2142579941453359e-06,0.0011
0.02479,1.275630612790964e-06,0.001
0.02606,1.3785210251452578e-06,0.0007
0.027,1.5030805032295622e-06,0.0008
0.0285,1.6438388715356786e-06,0.0006
0.03183,1.917820049939036e-06,0.0004
0.03431,2.2477590245203483e-06,0.0005
0.04087,2.754741316362398e-06,0.0003
0.04631,3.397170988118086e-06,0.0003
0.05248,3.915043274139933e-06,0.0003
0.05656,4.2484108822813896e-06,0.0004
0.06738,4.3996038068241425e-06,0.0002
0.07202,4.372509767766157e-06,0.0004
0.0795,4.318149375523247e-06,0.0003
0.0825,4.288297695898735e-06,0.0005
0.08652,4.296270841950295e-06,0.0005
0.09804,4.441345507390755e-06,0.0003
0.1111,4.95982020403721e-06,0.0003
0.1168,5.425607055230097e-06,0.0004
0.1228,5.699311527219532e-06,0.0004
0.1291,5.9802181240040345e-06,0.0004
0.1357,6.2520571666144475e-06,0.0004
0.1426,6.529535744754184e-06,0.0004
0.15,6.801143553434911e-06,0.0004
0.1576,7.082970690697728e-06,0.0004
0.1657,7.375443762302163e-06,0.0004
0.1742,7.697029935521253e-06,0.0004
0.1832,8.052822427071517e-06,0.0004
0.1925,8.444697298862905e-06,0.0004
0.2024,8.872500882369786e-06,0.0004
0.2128,9.261693308380234e-06,0.0004
0.2237,9.629069943705013e-06,0.0004
0.2352,9.978626214724074e-06,0.0003
0.2472,1.0348279313930205e-05,0.0003
0.2732,1.0885303110583657e-05,0.0002
0.2872,1.1444048519346478e-05,0.0003
0.2945,1.1744623560182157e-05,0.0005
0.2972,1.1869419616916146e-05,0.0008
0.2985,1.1942528818256685e-05,0.0011
0.302,1.1998969338644506e-05,0.0007
0.3337,1.2430250171956923e-05,0.0002
0.3688,1.3155307428334677e-05,0.0002
0.3877,1.3705927964535078e-05,0.0003
0.4076,1.4024005986205655e-05,0.0003
0.4505,1.4168630366399193e-05,0.0002
0.4979,1.4107391056050466e-05,0.0002
0.5234,1.3850514552066775e-05,0.0003
0.5502,1.3537446270782844e-05,0.0003
0.5784,1.3103899805024135e-05,0.0003
0.6081,1.2547032880171657e-05,0.0003
0.6393,1.1826383190570634e-05,0.0003
0.6721,1.0948026161509358e-05,0.0004
0.7065,9.905268340723574e-06,0.0004
0.7427,8.855471711808175e-06,0.0004
0.7808,7.781662737511279e-06,0.0004
0.8209,6.709001779291359e-06,0.0005
0.8629,5.6562742127766e-06,0.0005
0.9072,4.560711028646283e-06,0.0006
0.9617,3.5667528255490673e-06,0.0006
1.003,2.823400232830308e-06,0.0008
1.108,2.338604618703402e-06,0.0006
1.165,1.8502447431761982e-06,0.0009
1.225,1.5777814303858836e-06,0.001
1.287,1.4382613634619694e-06,0.001
1.353,1.3200708820563035e-06,0.0011
1.423,1.1991680921455547e-06,0.0011
1.496,1.1099581811814457e-06,0.0012
1.572,1.0168420040809002e-06,0.0012
1.653,9.361897803410815e-07,0.0013
1.738,8.745431683634578e-07,0.0013
1.827,8.165838086252914e-07,0.0013
1.921,7.721772325896595e-07,0.0014
2.019,7.062279580732516e-07,0.0014
2.122,6.4927536273336e-07,0.0015
2.231,5.998837082575945e-07,0.0015
2.307,5.607936072103015e-07,0.0019
2.346,5.347627320122356e-07,0.0027
2.365,5.24279388380568e-07,0.0039
2.385,5.179868139188694e-07,0.0038
2.466,5.006485303678896e-07,0.002
2.592,4.6847256600926326e-07,0.0017
2.725,4.2973581743460223e-07,0.0017
2.865,3.904736614139313e-07,0.0018
3.012,3.586820375217788e-07,0.0019
3.166,3.276048162707715e-07,0.0019
3.329,2.9952793375748113e-07,0.0021
3.679,2.5988651926351624e-07,0.0015
4.066,2.166104091945134e-07,0.0016
4.493,1.810267813126389e-07,0.0018
4.724,1.6642874949579697e-07,0.0026
4.966,1.6093844949076678e-07,0.0026
5.22,1.607222066955795e-07,0.0026
5.488,1.6070549855585784e-07,0.0026
5.77,1.6572859614405974e-07,0.0025
6.065,1.7350346682667775e-07,0.0025
6.376,1.8243985101254096e-07,0.0024
6.592,1.9051922093418342e-07,0.0028
6.703,2.0215416192803683e-07,0.0192
7.047,2.0757368210166395e-07,0.0022
7.408,2.242541174667674e-07,0.0021
7.788,2.4114222829573645e-07,0.002
8.187,2.5368147726201084e-07,0.002
8.607,2.7129447297633217e-07,0.0019
9.048,2.88981450109181e-07,0.0018
9.512,2.9735402800300644e-07,0.0018
10.0,3.495937161175525e-07,0.0017
10.51,6.0742117689566e-07,0.0012
11.05,6.35234329091623e-07,0.0012
11.62,6.626277047625209e-07,0.0011
12.21,7.01977169012093e-07,0.0011
12.52,7.368156852437243e-07,0.0015
12.84,7.476325540063822e-07,0.0014
13.5,7.891288497140093e-07,0.001
13.84,8.050370630945291e-07,0.0014
14.19,2.452385412932865e-07,0.0023
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
