Energy,Value,Error
0.01,2.2490900224909002e-10,0.1785
0.02,0.0,0.0
0.05,3.1451733333333326e-08,0.0145
0.1,9.212999999999999e-10,0.0578
0.2,1.09995e-07,0.0046
0.3,5.10708e-07,0.0018
0.4,7.965019999999998e-07,0.0016
0.6,9.251500000000003e-07,0.0009
0.8,1.0258049999999997e-06,0.0008
1.0,1.3860100000000004e-06,0.0007
1.22,2.6646e-07,0.0014
1.44,1.8965136363636365e-07,0.0017
1.66,1.9420227272727275e-07,0.0017
2.0,1.4708176470588233e-07,0.0015
2.5,1.01826e-07,0.0016
3.0,6.85396e-08,0.0019
4.0,4.27403e-08,0.0017
5.0,2.17032e-08,0.0024
6.5,6.955866666666667e-09,0.0035
8.0,9.664e-10,0.009
10.0,5.98335e-11,0.0357
12.0,8.92695e-12,0.067
14.0,1.085575e-11,0.0706
20.0,2.9046666666666667e-12,0.0656
