Energy,Value,Error
0.01,8.94946e-12,0.1207
0.02,1.56976e-13,0.8015
0.05,3.20601e-09,0.008
0.1,5.47794e-11,0.0512
0.2,2.50882e-08,0.003
0.3,9.36937e-08,0.0015
0.4,1.63234e-07,0.001
0.6,4.91461e-07,0.0006
0.8,2.99688e-07,0.0006
1.0,2.7681e-07,0.0006
1.22,2.89981e-07,0.0006
1.44,8.43506e-07,0.0004
1.66,1.60873e-07,0.0009
2.0,1.39507e-07,0.0009
2.5,1.85996e-07,0.0008
3.0,1.27862e-07,0.001
4.0,1.07384e-07,0.0011
5.0,4.48579e-08,0.0017
6.5,2.1036e-08,0.0025
8.0,3.32492e-09,0.0061
10.0,3.04256e-10,0.0236
12.0,5.45171e-11,0.0436
14.0,1.27104e-10,0.0314
20.0,8.71177e-11,0.0331
