Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,1.4623379135692465e-13,1.0
2.382e-06,1.0189166802033638e-11,0.0959
3.059e-06,8.033737066872548e-11,0.0382
3.928e-06,2.129359496682219e-10,0.0272
5.043e-06,3.8268184252907054e-10,0.0209
6.476e-06,5.707393832454924e-10,0.0185
8.315e-06,7.410802737386743e-10,0.0171
1.068e-05,5.372141565061606e-10,0.0181
1.371e-05,5.664964688508558e-10,0.0194
1.76e-05,1.7914717292811956e-09,0.0114
2.26e-05,1.8133780401674633e-09,0.0109
2.902e-05,1.1604159581331994e-09,0.013
3.727e-05,1.074181761983541e-09,0.0127
4.785e-05,3.397970345340206e-10,0.0213
6.144e-05,1.3914518198126288e-11,0.084
7.889e-05,1.5455648754455667e-13,1.0
0.0001013,0.0,0.0
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,3.278636774232316e-13,0.5963
0.0002754,0.0,0.0
0.0003536,3.7478053215573626e-13,0.4648
0.000454,5.746269020878255e-13,0.4847
0.0005829,2.3817209458564336e-12,0.4363
0.0007485,2.1947282540557123e-12,0.2004
0.0009611,6.366695162881351e-12,0.1707
0.001234,1.0059785182827754e-11,0.1169
0.001585,1.7760898686821272e-11,0.0957
0.002035,4.0353099271596735e-11,0.0657
0.002249,6.16951595399141e-11,0.0784
0.002485,7.538688418671076e-11,0.0663
0.002613,1.0709343729401953e-10,0.1019
0.002747,1.0837661306823942e-10,0.0782
0.003035,1.718550982930051e-10,0.0591
0.003355,1.9393688063517717e-10,0.0442
0.003707,2.9460419065753977e-10,0.0608
0.004307,3.5910927436822663e-10,0.0303
0.005531,6.895536379604801e-10,0.0172
0.007102,1.4494267575447495e-09,0.0116
0.009119,3.074740295585484e-09,0.0108
0.01059,5.722440247332419e-09,0.0068
0.01171,7.889915331390005e-09,0.0071
0.01503,1.361939722273658e-08,0.0035
0.0193,3.1789725657151934e-08,0.0022
0.02187,5.8989492199588654e-08,0.0022
0.02358,7.891828476168534e-08,0.0024
0.02418,9.232557046724741e-08,0.004
0.02479,9.873085612983564e-08,0.0037
0.02606,1.1107833980939261e-07,0.0025
0.027,1.275809920118702e-07,0.0028
0.0285,1.4604282991589595e-07,0.0021
0.03183,1.8525108789411543e-07,0.0013
0.03431,2.3269831869082715e-07,0.0014
0.04087,3.187618786103175e-07,0.0008
0.04631,4.6123520689647907e-07,0.0008
0.05248,6.412416351125353e-07,0.0007
0.05656,8.398277459425447e-07,0.0007
0.06738,1.1351630677762546e-06,0.0004
0.07202,1.4159519748728701e-06,0.0006
0.0795,1.61755776696462e-06,0.0006
0.0825,1.7541649369039065e-06,0.0007
0.08652,1.7996037199140764e-06,0.0006
0.09804,1.7712966011773047e-06,0.0004
0.1111,1.83436685365364e-06,0.0004
0.1168,2.08311123761216e-06,0.0006
0.1228,2.2470380259207926e-06,0.0005
0.1291,2.4261506193672746e-06,0.0005
0.1357,2.6183697163876777e-06,0.0005
0.1426,2.820214246821e-06,0.0005
0.15,3.0303338104786245e-06,0.0005
0.1576,3.227261032524809e-06,0.0005
0.1657,3.384142863157132e-06,0.0004
0.1742,3.4804500307070736e-06,0.0004
0.1832,3.586544825909172e-06,0.0004
0.1925,3.7229312843890058e-06,0.0004
0.2024,3.908411673902858e-06,0.0004
0.2128,4.103972269197124e-06,0.0004
0.2237,4.293005892610834e-06,0.0004
0.2352,4.488119693816038e-06,0.0004
0.2472,4.667663864262599e-06,0.0004
0.2732,4.921144942734985e-06,0.0003
0.2872,5.144602193557375e-06,0.0004
0.2945,5.255622629476205e-06,0.0005
0.2972,5.3131113580241564e-06,0.0009
0.2985,5.3297423506162636e-06,0.0012
0.302,5.351964273234686e-06,0.0008
0.3337,5.480859399364214e-06,0.0003
0.3688,5.695720480344149e-06,0.0003
0.3877,5.8397050366481295e-06,0.0004
0.4076,5.914138713795115e-06,0.0004
0.4505,5.802065526863908e-06,0.0003
0.4979,5.074160633185682e-06,0.0003
0.5234,4.678203554774692e-06,0.0004
0.5502,4.404570324248974e-06,0.0004
0.5784,4.126855256061849e-06,0.0005
0.6081,3.911217112461305e-06,0.0005
0.6393,3.7534711823843374e-06,0.0005
0.6721,3.602040234113727e-06,0.0005
0.7065,3.4326425040712172e-06,0.0005
0.7427,3.2820953881289587e-06,0.0005
0.7808,3.062735897420806e-06,0.0006
0.8209,2.738095052988447e-06,0.0006
0.8629,2.541890358721158e-06,0.0006
0.9072,2.2413055946417903e-06,0.0007
0.9617,1.984928981217024e-06,0.0007
1.003,1.751995008147078e-06,0.0009
1.108,1.5814814487288173e-06,0.0006
1.165,1.4388243056575797e-06,0.0009
1.225,1.3041759645980177e-06,0.0009
1.287,1.2338341927021428e-06,0.001
1.353,1.14214596365423e-06,0.001
1.423,1.0225845163907587e-06,0.0011
1.496,9.609842969110426e-07,0.0012
1.572,8.978360291647312e-07,0.0012
1.653,8.287521952373834e-07,0.0012
1.738,7.831708732441289e-07,0.0013
1.827,7.318946059642139e-07,0.0013
1.921,6.930691594461073e-07,0.0013
2.019,6.322898135700532e-07,0.0014
2.122,5.845443829002772e-07,0.0015
2.231,5.421167000937081e-07,0.0016
2.307,5.100742577838661e-07,0.0019
2.346,4.859395884568073e-07,0.0027
2.365,4.770183967375619e-07,0.0039
2.385,4.671953640746736e-07,0.0039
2.466,4.553887151375117e-07,0.002
2.592,4.259279340652476e-07,0.0017
2.725,3.9450505055329695e-07,0.0017
2.865,3.601023566754526e-07,0.0018
3.012,3.3288658948983145e-07,0.0019
3.166,3.068446190484879e-07,0.0019
3.329,2.8459057856338016e-07,0.002
3.679,2.576918392974486e-07,0.0015
4.066,2.341291263474749e-07,0.0015
4.493,2.215621599919602e-07,0.0015
4.724,2.2342754694744325e-07,0.0021
4.966,2.2866647261946654e-07,0.0021
5.22,2.3758129535410498e-07,0.002
5.488,2.4908077970691885e-07,0.0019
5.77,2.6337011922811107e-07,0.0019
6.065,2.7765576506085466e-07,0.0018
6.376,2.9340844904740295e-07,0.0018
6.592,3.0386136508302135e-07,0.0021
6.703,3.091291151944215e-07,0.003
7.047,3.184119220602851e-07,0.0017
7.408,3.3078853464310457e-07,0.0017
7.788,3.422725146907112e-07,0.0016
8.187,3.537586479160256e-07,0.0016
8.607,3.6752201728355567e-07,0.0016
9.048,3.825214782127775e-07,0.0015
9.512,4.0031456984273803e-07,0.0015
10.0,4.844642754638495e-07,0.0014
10.51,9.447330864044216e-07,0.001
11.05,1.0125651931184702e-06,0.0009
11.62,1.090638551445428e-06,0.0009
12.21,1.1820293093914654e-06,0.0008
12.52,1.2502394322255289e-06,0.0011
12.84,1.2917302114157554e-06,0.0011
13.5,1.3591926770466856e-06,0.0007
13.84,1.3826090122214381e-06,0.001
14.19,4.4724745923695305e-07,0.0017
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
