Energy,Value,Error
0.01,1.9151600191516e-09,0.1016
0.02,7.729889999999999e-10,0.1271
0.05,1.8979433333333333e-07,0.0061
0.1,2.86896e-08,0.0109
0.2,1.6514e-07,0.0037
0.3,1.1816800000000003e-06,0.0013
0.4,1.4140699999999995e-06,0.0011
0.6,2.3676700000000002e-06,0.0006
0.8,1.1732449999999996e-06,0.0008
1.0,9.366150000000002e-07,0.0009
1.22,8.190500000000001e-07,0.0009
1.44,7.624363636363637e-07,0.0009
1.66,6.216863636363637e-07,0.001
2.0,5.325999999999999e-07,0.0009
2.5,4.38308e-07,0.0008
3.0,3.45728e-07,0.001
4.0,2.25381e-07,0.0008
5.0,1.27987e-07,0.001
6.5,6.247633333333334e-08,0.0011
8.0,2.9682466666666665e-08,0.0017
10.0,1.109885e-08,0.0024
12.0,3.445815e-09,0.0057
14.0,7.899e-10,0.0089
20.0,2.3742333333333333e-11,0.0278
