Energy,Value,Error
1e-07,3.13122e-05,0.0
4.14e-07,4.3962e-06,0.0001
5.316e-07,1.4438e-07,0.0008
6.826e-07,1.3762e-07,0.0008
8.764e-07,1.32284e-07,0.0008
1.125e-06,1.27719e-07,0.0009
1.445e-06,1.24231e-07,0.0009
1.855e-06,1.20952e-07,0.0009
2.382e-06,1.17963e-07,0.0009
3.059e-06,1.15485e-07,0.0009
3.928e-06,1.13019e-07,0.0009
5.043e-06,1.10342e-07,0.001
6.476e-06,1.08514e-07,0.0009
8.315e-06,1.06305e-07,0.0009
1.068e-05,1.0485e-07,0.0009
1.371e-05,1.01625e-07,0.0009
1.76e-05,9.98022e-08,0.0009
2.26e-05,9.8006e-08,0.001
2.902e-05,9.65609e-08,0.001
3.727e-05,9.49786e-08,0.001
4.785e-05,9.34205e-08,0.001
6.144e-05,9.17178e-08,0.001
7.889e-05,9.01684e-08,0.0011
0.0001013,8.85614e-08,0.001
0.0001301,8.71594e-08,0.001
0.000167,8.55245e-08,0.001
0.0002145,8.4316e-08,0.0011
0.0002754,8.28698e-08,0.0011
0.0003536,8.17853e-08,0.0011
0.000454,8.04213e-08,0.0011
0.0005829,7.93854e-08,0.0011
0.0007485,7.81609e-08,0.0011
0.0009611,7.72196e-08,0.0011
0.001234,7.59718e-08,0.0011
0.001585,7.50641e-08,0.0011
0.002035,7.403e-08,0.0011
0.002249,2.94181e-08,0.0018
0.002485,2.92677e-08,0.0017
0.002613,1.4643e-08,0.0028
0.002747,1.45998e-08,0.0025
0.003035,2.89333e-08,0.0017
0.003355,2.89721e-08,0.0018
0.003707,2.86389e-08,0.0018
0.004307,4.29137e-08,0.0014
0.005531,7.09848e-08,0.0011
0.007102,7.04721e-08,0.0011
0.009119,6.9773e-08,0.0012
0.01059,4.1497e-08,0.0015
0.01171,2.79073e-08,0.0018
0.01503,6.8844e-08,0.0011
0.0193,6.86638e-08,0.0011
0.02187,3.43092e-08,0.0017
0.02358,2.05806e-08,0.0021
0.02418,6.85149e-09,0.0035
0.02479,6.86416e-09,0.0037
0.02606,1.36868e-08,0.0025
0.027,9.70839e-09,0.003
0.0285,1.48724e-08,0.0025
0.03183,3.03319e-08,0.0017
0.03431,2.06473e-08,0.002
0.04087,4.83805e-08,0.0013
0.04631,3.45823e-08,0.0016
0.05248,3.49048e-08,0.0017
0.05656,2.09612e-08,0.002
0.06738,4.93783e-08,0.0013
0.07202,1.89527e-08,0.0021
0.0795,2.82728e-08,0.0018
0.0825,1.06199e-08,0.0028
0.08652,1.38418e-08,0.0025
0.09804,3.65615e-08,0.0015
0.1111,3.71169e-08,0.0015
0.1168,1.50959e-08,0.0024
0.1228,1.5193e-08,0.0024
0.1291,1.5195e-08,0.0023
0.1357,1.53358e-08,0.0024
0.1426,1.53844e-08,0.0024
0.15,1.58902e-08,0.0024
0.1576,1.56189e-08,0.0023
0.1657,1.59578e-08,0.0023
0.1742,1.61503e-08,0.0023
0.1832,1.64084e-08,0.0024
0.1925,1.6277e-08,0.0023
0.2024,1.66973e-08,0.0022
0.2128,1.69359e-08,0.0022
0.2237,1.70662e-08,0.0022
0.2352,1.7366e-08,0.0022
0.2472,1.74793e-08,0.0022
0.2732,3.58052e-08,0.0015
0.2872,1.83764e-08,0.0022
0.2945,9.33356e-09,0.003
0.2972,3.42284e-09,0.0049
0.2985,1.63443e-09,0.0077
0.302,4.36554e-09,0.0044
0.3337,3.82277e-08,0.0015
0.3688,3.97383e-08,0.0014
0.3877,2.05038e-08,0.002
0.4076,2.09277e-08,0.002
0.4505,4.32411e-08,0.0014
0.4979,4.50659e-08,0.0014
0.5234,2.32465e-08,0.0019
0.5502,2.3929e-08,0.0018
0.5784,2.45175e-08,0.0019
0.6081,2.52114e-08,0.0019
0.6393,2.5874e-08,0.0019
0.6721,2.6526e-08,0.0018
0.7065,2.71704e-08,0.0017
0.7427,2.79603e-08,0.0017
0.7808,2.88382e-08,0.0017
0.8209,2.97909e-08,0.0016
0.8629,3.04375e-08,0.0016
0.9072,3.14361e-08,0.0019
0.9617,3.78139e-08,0.0014
1.003,2.80209e-08,0.0016
1.108,6.93852e-08,0.0011
1.165,3.64472e-08,0.0023
1.225,3.74846e-08,0.0014
1.287,3.76801e-08,0.0014
1.353,3.92339e-08,0.002
1.423,4.0452e-08,0.0013
1.496,4.1471e-08,0.0014
1.572,4.17944e-08,0.0013
1.653,4.22934e-08,0.0013
1.738,4.29618e-08,0.0013
1.827,4.32029e-08,0.0013
1.921,4.34683e-08,0.0012
2.019,4.49649e-08,0.0013
2.122,3.90503e-08,0.0013
2.231,4.27664e-08,0.0012
2.307,2.68757e-08,0.0015
2.346,1.32576e-08,0.0022
2.365,6.32336e-09,0.0031
2.385,6.60249e-09,0.003
2.466,2.59012e-08,0.0015
2.592,3.70854e-08,0.0013
2.725,3.30945e-08,0.0014
2.865,2.48887e-08,0.0017
3.012,2.20565e-08,0.0018
3.166,3.42992e-08,0.0013
3.329,2.02304e-08,0.0019
3.679,3.91969e-08,0.0014
4.066,6.84284e-08,0.001
4.493,8.82292e-08,0.0009
4.724,5.65507e-08,0.001
4.966,6.18992e-08,0.0009
5.22,6.36383e-08,0.0009
5.488,5.67639e-08,0.0009
5.77,6.12527e-08,0.0009
6.065,5.13837e-08,0.001
6.376,3.49687e-08,0.0012
6.592,4.47988e-08,0.0009
6.703,2.83667e-08,0.0011
7.047,8.18932e-08,0.0007
7.408,5.41475e-08,0.0008
7.788,1.46059e-08,0.0017
8.187,1.74209e-08,0.0015
8.607,3.21442e-08,0.001
9.048,2.26054e-08,0.0012
9.512,1.74985e-08,0.0014
10.0,3.17316e-08,0.001
10.51,4.63814e-08,0.0009
11.05,3.48699e-08,0.0011
11.62,2.92264e-08,0.0011
12.21,2.47765e-08,0.0011
12.52,1.30719e-08,0.0015
12.84,1.13443e-08,0.0016
13.5,1.37343e-08,0.0015
13.84,2.95902e-09,0.0032
14.19,5.75822e-10,0.0073
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
