Energy,Value,Error
0.01,3.5682100356821e-09,0.109
0.02,0.0,0.0
0.05,2.822416666666666e-07,0.0053
0.1,9.348079999999999e-08,0.006
0.2,3.11246e-07,0.0027
0.3,8.590790000000002e-07,0.0016
0.4,1.1483899999999996e-06,0.0012
0.6,1.8737800000000005e-06,0.0006
0.8,1.1586299999999996e-06,0.0007
1.0,1.0489150000000002e-06,0.0008
1.22,9.19659090909091e-07,0.0007
1.44,8.163909090909092e-07,0.0008
1.66,7.319363636363637e-07,0.0008
2.0,6.482970588235293e-07,0.0007
2.5,5.4098e-07,0.0006
3.0,4.19194e-07,0.0007
4.0,2.4289e-07,0.0007
5.0,9.88271e-08,0.0011
6.5,3.2986400000000003e-08,0.0015
8.0,2.8924066666666666e-09,0.005
10.0,6.2626e-12,0.1261
12.0,3.28816e-12,0.1236
14.0,8.55175e-12,0.0995
20.0,4.6988666666666665e-12,0.0863
