Energy,Value,Error
0.01,6.8516700685167e-09,0.051
0.02,2.4824700000000003e-08,0.0426
0.05,4.648899999999999e-07,0.0054
0.1,1.299878e-08,0.0206
0.2,5.92939e-07,0.0023
0.3,1.5049900000000003e-06,0.0013
0.4,2.1191499999999994e-06,0.001
0.6,3.2531550000000007e-06,0.0006
0.8,2.0955299999999992e-06,0.0006
1.0,1.8959650000000004e-06,0.0006
1.22,1.6933318181818183e-06,0.0006
1.44,1.506509090909091e-06,0.0006
1.66,1.3431636363636367e-06,0.0007
2.0,1.180561764705882e-06,0.0006
2.5,9.70692e-07,0.0005
3.0,6.97724e-07,0.0006
4.0,3.71877e-07,0.0006
5.0,1.40363e-07,0.0009
6.5,3.997493333333333e-08,0.0014
8.0,5.7695066666666666e-09,0.0038
10.0,5.83455e-11,0.0362
12.0,1.137235e-11,0.0878
14.0,1.83404e-11,0.0722
20.0,1.1173066666666667e-11,0.0499
