Energy,Value,Error
0.01,1.4480700144807e-09,0.103
0.02,0.0,0.0
0.05,9.754599999999999e-08,0.0107
0.1,3.75354e-09,0.0308
0.2,8.53056e-08,0.009
0.3,3.1821000000000004e-07,0.0065
0.4,7.251739999999997e-07,0.0023
0.6,1.1438850000000004e-06,0.0012
0.8,1.1030899999999996e-06,0.0011
1.0,6.535200000000002e-07,0.0017
1.22,5.815045454545455e-07,0.0017
1.44,5.503e-07,0.0018
1.66,5.039318181818182e-07,0.0017
2.0,4.594823529411764e-07,0.0017
2.5,3.86006e-07,0.0014
3.0,2.95756e-07,0.0018
4.0,1.62442e-07,0.0016
5.0,5.66258e-08,0.0025
6.5,1.20482e-08,0.0039
8.0,4.1439533333333336e-10,0.0154
10.0,2.866945e-11,0.0497
12.0,3.70398e-12,0.1163
14.0,4.219995e-12,0.1409
20.0,1.7685166666666666e-12,0.1078
