Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,6.617226818408754e-14,1.0
1.76e-05,5.900067621400505e-12,0.1245
2.26e-05,7.740300847533218e-11,0.038
2.902e-05,3.2822200099161827e-10,0.0183
3.727e-05,6.705462664391981e-10,0.0131
4.785e-05,8.103971965529961e-10,0.0118
6.144e-05,2.974011306145927e-10,0.0206
7.889e-05,7.170349633732497e-13,0.7199
0.0001013,5.2319716857749645e-11,0.0477
0.0001301,1.5839652811967712e-09,0.011
0.000167,7.373610686123459e-09,0.006
0.0002145,5.237501349614403e-09,0.0064
0.0002754,5.184405851632885e-09,0.0048
0.0003536,3.972301634165016e-09,0.0069
0.000454,1.0456171454383229e-08,0.0041
0.0005829,1.8043606040080533e-08,0.003
0.0007485,2.097093951837587e-08,0.0022
0.0009611,4.4839498225147964e-08,0.0015
0.001234,2.1739453764336455e-08,0.0029
0.001585,8.053579253263446e-08,0.0012
0.002035,6.330683301296609e-08,0.0016
0.002249,1.4014921942401087e-07,0.0015
0.002485,9.768548319698935e-08,0.0019
0.002613,8.598179996060319e-08,0.0031
0.002747,2.099302481235148e-07,0.0019
0.003035,2.4166311403448946e-07,0.0011
0.003355,1.2395607663690015e-07,0.0019
0.003707,2.7337160067050435e-07,0.0012
0.004307,3.576954504543716e-07,0.0008
0.005531,2.3647384769420356e-07,0.0007
0.007102,4.465900601229381e-07,0.0005
0.009119,6.049114053066094e-07,0.0004
0.01059,7.889668444547233e-07,0.0005
0.01171,9.250363895711618e-07,0.0005
0.01503,1.1780451881489762e-06,0.0003
0.0193,1.924098135712111e-06,0.0002
0.02187,3.84362179359577e-06,0.0002
0.02358,7.207384994299461e-06,0.0002
0.02418,1.0144924044285651e-05,0.0003
0.02479,1.2266872280998585e-05,0.0003
0.02606,2.832696719503585e-06,0.0004
0.027,7.113557398780351e-07,0.0012
0.0285,7.783292540527733e-07,0.001
0.03183,9.099847051690404e-07,0.0007
0.03431,1.0631525390650434e-06,0.0007
0.04087,1.3085947181607232e-06,0.0004
0.04631,1.6631906272449626e-06,0.0004
0.05248,2.018529411071949e-06,0.0004
0.05656,2.338003041077434e-06,0.0005
0.06738,2.7407904603367526e-06,0.0003
0.07202,3.0782805123529725e-06,0.0005
0.0795,3.2703031534626114e-06,0.0004
0.0825,3.3865198010074863e-06,0.0006
0.08652,3.436175936622891e-06,0.0005
0.09804,3.5532892059848287e-06,0.0003
0.1111,3.74984992662777e-06,0.0003
0.1168,3.8618995167230025e-06,0.0005
0.1228,3.917439497940676e-06,0.0005
0.1291,3.963239692450894e-06,0.0005
0.1357,4.021017637609986e-06,0.0005
0.1426,4.080937157620887e-06,0.0005
0.15,4.1425499293346796e-06,0.0005
0.1576,4.204966931793784e-06,0.0005
0.1657,4.259823174804746e-06,0.0005
0.1742,4.317189318429415e-06,0.0005
0.1832,4.3893535894260414e-06,0.0005
0.1925,4.468220320251986e-06,0.0005
0.2024,4.548075449946091e-06,0.0005
0.2128,4.5695775495716134e-06,0.0005
0.2237,4.558214599880667e-06,0.0005
0.2352,4.529212566727671e-06,0.0005
0.2472,4.4968089188371864e-06,0.0005
0.2732,4.445845371951067e-06,0.0004
0.2872,4.384397674166328e-06,0.0006
0.2945,4.3581385222405154e-06,0.0008
0.2972,4.362672436297387e-06,0.0013
0.2985,4.353529069577596e-06,0.0019
0.302,4.341059706374357e-06,0.0012
0.3337,4.270675016362645e-06,0.0004
0.3688,4.096744051233191e-06,0.0004
0.3877,3.956111881755273e-06,0.0006
0.4076,3.861214622060324e-06,0.0006
0.4505,3.6692963368756305e-06,0.0004
0.4979,3.3771793923589563e-06,0.0005
0.5234,3.1433885608070503e-06,0.0007
0.5502,2.9902559964135787e-06,0.0007
0.5784,2.8254341774738254e-06,0.0007
0.6081,2.6594814518658357e-06,0.0007
0.6393,2.4917613999381524e-06,0.0008
0.6721,2.3255106888162067e-06,0.0008
0.7065,2.146182876661251e-06,0.0008
0.7427,1.987216370218198e-06,0.0008
0.7808,1.82903216003976e-06,0.0009
0.8209,1.6571235592878557e-06,0.001
0.8629,1.5445099315139096e-06,0.001
0.9072,1.3697812976961796e-06,0.001
0.9617,1.176848623234189e-06,0.001
1.003,1.0423552547171566e-06,0.0013
1.108,9.0145567515126e-07,0.0009
1.165,7.806038337984744e-07,0.0014
1.225,6.51164043140574e-07,0.0015
1.287,5.92662990915244e-07,0.0016
1.353,5.304154553229247e-07,0.0017
1.423,4.588211209041614e-07,0.0018
1.496,4.211698474353023e-07,0.0019
1.572,3.855485235642971e-07,0.002
1.653,3.5729067529279854e-07,0.002
1.738,3.388315322493634e-07,0.002
1.827,3.0162443786928257e-07,0.0022
1.921,2.7743535510907753e-07,0.0024
2.019,2.583503961322168e-07,0.0023
2.122,2.399877763868733e-07,0.0024
2.231,2.239369933563545e-07,0.0025
2.307,2.1109458906720165e-07,0.0031
2.346,2.0402748235506264e-07,0.0046
2.365,1.997366388589174e-07,0.0064
2.385,1.9885638734357003e-07,0.0063
2.466,1.917245415918375e-07,0.0032
2.592,1.8243260989323294e-07,0.0028
2.725,1.7089949597074862e-07,0.0028
2.865,1.6062639761651654e-07,0.0029
3.012,1.5076037382979258e-07,0.0029
3.166,1.4141079471909832e-07,0.0031
3.329,1.3349123324456423e-07,0.003
3.679,1.2911700363724042e-07,0.0021
4.066,1.2602538399803934e-07,0.0022
4.493,1.207970106649831e-07,0.0021
4.724,1.1848006817724444e-07,0.003
4.966,1.1839438360879608e-07,0.003
5.22,1.220474872581268e-07,0.0034
5.488,1.2606975614715488e-07,0.0029
5.77,1.3264019289482065e-07,0.0028
6.065,1.3978070351464076e-07,0.003
6.376,1.4679061346748567e-07,0.0026
6.592,1.542716102795063e-07,0.0031
6.703,1.5929195811047464e-07,0.0043
7.047,1.6613527422717348e-07,0.0024
7.408,1.7687959945833724e-07,0.0023
7.788,1.8988940954585883e-07,0.0023
8.187,2.0575243431069503e-07,0.0022
8.607,2.206331424998863e-07,0.002
9.048,2.307500808808895e-07,0.002
9.512,2.4767438181225214e-07,0.0019
10.0,3.2556058474567943e-07,0.0017
10.51,5.745395682279208e-07,0.0012
11.05,6.12581104862141e-07,0.0012
11.62,6.545020238736562e-07,0.0011
12.21,6.981792817651713e-07,0.0011
12.52,7.265093993170197e-07,0.0015
12.84,7.476959506413602e-07,0.0015
13.5,7.790658837935918e-07,0.001
13.84,7.381218423925413e-07,0.0014
14.19,2.1511706676731622e-07,0.0025
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
